[1740780342.9746475]	Q_Header<(2621443, 50268, 257, 173, 250, 8, 58, 0, 37)>	Q_Data<(0, 0, 0, 0, 63, 68, 81, 79, 0, 79, 49, 0, 68, 108, 0, 52, 74, 50, 63, 55, 132, 151, 104, 75, 55, 77, 36, 52, 18, 0, 0, 19, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33392646223060346, y=-0.9385463735551067, z=0.08673176801858663, w=-0.010070894949378463)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.06888888888888889, z=-0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.15, z=0.06)>	COMP<94>
[1740780342.984676]	Q_Header<(2621443, 50269, 257, 173, 250, 8, 58, 1, 36)>	Q_Data<(0, 0, 0, 0, 0, 0, 69, 77, 10, 80, 100, 84, 0, 94, 0, 9, 68, 64, 47, 44, 148, 202, 102, 68, 70, 102, 70, 77, 53, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33435723302926995, y=-0.9383121108723926, z=0.0877092632097592, w=-0.009094419080204677)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04, y=0.07888888888888888, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.17, z=-0.01)>	COMP<94>
[1740780342.994602]	Q_Header<(2621443, 50270, 257, 173, 250, 8, 58, 2, 35)>	Q_Data<(0, 0, 2, 0, 0, 85, 77, 0, 91, 90, 61, 91, 0, 0, 0, 28, 101, 91, 57, 25, 146, 231, 125, 95, 78, 103, 84, 87, 63, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33435723302926995, y=-0.9383121108723926, z=0.0877092632097592, w=-0.009094419080204677)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04, y=0.07888888888888888, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.17, z=-0.01)>	COMP<94>
[1740780343.0046284]	Q_Header<(2621443, 50271, 257, 173, 250, 8, 58, 3, 34)>	Q_Data<(0, 0, 51, 0, 40, 56, 60, 79, 77, 77, 101, 0, 0, 0, 0, 0, 124, 126, 100, 51, 113, 158, 91, 81, 72, 73, 75, 68, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33435723302926995, y=-0.9383121108723926, z=0.0877092632097592, w=-0.009094419080204677)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04, y=0.07888888888888888, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.17, z=-0.01)>	COMP<94>
[1740780343.0148916]	Q_Header<(2621443, 50272, 257, 173, 250, 8, 58, 4, 44)>	Q_Data<(0, 0, 66, 0, 54, 0, 69, 71, 83, 94, 90, 0, 0, 0, 0, 0, 150, 165, 153, 105, 117, 195, 158, 85, 32, 3, 44, 25, 16, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 40, 49, 0, 0, 0, 0, 0, 0, 0, 27, 69, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33471358174523175, y=-0.9380403059523098, z=0.08935461044402249, w=-0.007934494096805276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.058888888888888886, y=0.07888888888888888, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.15, z=-0.08)>	COMP<94>
[1740780343.0264537]	Q_Header<(2621443, 50273, 257, 173, 250, 8, 58, 5, 48)>	Q_Data<(0, 0, 63, 0, 63, 0, 41, 79, 0, 57, 72, 57, 57, 60, 0, 36, 190, 202, 190, 149, 253, 253, 78, 129, 38, 50, 0, 19, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 11, 65, 54, 0, 0, 0, 0, 0, 0, 0, 38, 66, 50, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33471358174523175, y=-0.9380403059523098, z=0.08935461044402249, w=-0.007934494096805276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.058888888888888886, y=0.07888888888888888, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.15, z=-0.08)>	COMP<94>
[1740780343.0347335]	Q_Header<(2621443, 50274, 257, 173, 250, 8, 58, 6, 52)>	Q_Data<(0, 0, 65, 0, 62, 0, 60, 89, 93, 94, 51, 0, 122, 0, 0, 105, 222, 213, 184, 162, 253, 253, 192, 125, 73, 52, 31, 35, 28, 0, 0, 28, 0, 18, 0, 0, 0, 0, 0, 52, 48, 0, 0, 0, 0, 0, 33, 50, 29, 22, 9, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33471358174523175, y=-0.9380403059523098, z=0.08935461044402249, w=-0.007934494096805276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.058888888888888886, y=0.07888888888888888, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.15, z=-0.08)>	COMP<94>
[1740780343.0447125]	Q_Header<(2621443, 50275, 257, 173, 250, 8, 58, 7, 51)>	Q_Data<(0, 0, 65, 0, 61, 0, 67, 73, 17, 88, 0, 0, 91, 0, 40, 44, 214, 193, 136, 157, 253, 253, 210, 66, 102, 54, 36, 38, 41, 0, 0, 29, 0, 13, 0, 0, 0, 0, 0, 40, 35, 8, 0, 0, 0, 0, 0, 50, 44, 161, 102, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3348408530213637, y=-0.9378717731546253, z=0.0906987800929177, w=-0.007202191151389157)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.07, y=0.07444444444444444, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.08, z=0.15)>	COMP<91>
[1740780343.0546145]	Q_Header<(2621443, 50276, 257, 173, 250, 8, 58, 8, 44)>	Q_Data<(0, 0, 67, 0, 61, 0, 50, 83, 93, 84, 18, 28, 113, 80, 146, 0, 196, 153, 49, 129, 253, 248, 216, 81, 81, 35, 11, 19, 30, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 149, 128, 253, 244, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3348408530213637, y=-0.9378717731546253, z=0.0906987800929177, w=-0.007202191151389157)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.07, y=0.07444444444444444, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.08, z=0.15)>	COMP<91>
[1740780343.0646358]	Q_Header<(2621443, 50277, 257, 173, 250, 8, 58, 9, 41)>	Q_Data<(0, 0, 67, 0, 61, 0, 0, 89, 91, 80, 100, 98, 122, 111, 148, 0, 202, 120, 85, 85, 194, 138, 189, 106, 41, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 173, 253, 202, 253, 253, 250, 19, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3348408530213637, y=-0.9378717731546253, z=0.0906987800929177, w=-0.007202191151389157)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.07, y=0.07444444444444444, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.08, z=0.15)>	COMP<91>
[1740780343.0746486]	Q_Header<(2621443, 50278, 257, 173, 250, 8, 58, 10, 43)>	Q_Data<(0, 0, 66, 0, 61, 0, 0, 66, 57, 76, 86, 71, 123, 0, 145, 111, 206, 128, 82, 54, 125, 128, 163, 131, 51, 0, 30, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 218, 253, 236, 253, 253, 253, 40, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3348408530213637, y=-0.9378717731546253, z=0.0906987800929177, w=-0.007202191151389157)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.07, y=0.07444444444444444, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.08, z=0.15)>	COMP<91>
