[1740779693.0698676]	Q_Header<(2621443, 50804, 257, 173, 250, 8, 58, 0, 42)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 98, 172, 252, 253, 253, 253, 167, 253, 253, 191, 97, 35, 106, 114, 253, 253, 253, 224, 41, 183, 137, 38, 0, 28, 129, 208, 253, 253, 223, 62, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7685279991715546, y=-0.6327905253661593, z=0.04125833286530899, w=0.08508005327550405)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.013333333333333334, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.09, z=0.05)>	COMP<165>
[1740779693.0799353]	Q_Header<(2621443, 50805, 257, 173, 250, 8, 58, 1, 44)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 27, 171, 253, 253, 253, 253, 93, 253, 253, 144, 142, 50, 120, 124, 253, 253, 226, 178, 48, 105, 75, 0, 0, 32, 144, 246, 253, 253, 218, 96, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7688931118797434, y=-0.6324234342989286, z=0.04070897806189783, w=0.08477476840776024)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03222222222222222, y=0.013333333333333334, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.11, z=0.02)>	COMP<168>
[1740779693.089907]	Q_Header<(2621443, 50806, 257, 173, 250, 8, 58, 2, 45)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 98, 125, 242, 253, 253, 195, 176, 188, 189, 253, 236, 102, 110, 113, 253, 253, 253, 66, 57, 56, 44, 0, 0, 30, 152, 253, 253, 253, 187, 83, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7688931118797434, y=-0.6324234342989286, z=0.04070897806189783, w=0.08477476840776024)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03222222222222222, y=0.013333333333333334, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.11, z=0.02)>	COMP<168>
[1740779693.0998409]	Q_Header<(2621443, 50807, 257, 173, 250, 8, 58, 3, 48)>	Q_Data<(0, 0, 53, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 77, 107, 250, 253, 253, 253, 253, 147, 253, 253, 253, 167, 103, 157, 253, 253, 253, 206, 80, 69, 24, 0, 0, 21, 139, 216, 219, 220, 131, 55, 0, 0, 0, 0, 3, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7688931118797434, y=-0.6324234342989286, z=0.04070897806189783, w=0.08477476840776024)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03222222222222222, y=0.013333333333333334, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.11, z=0.02)>	COMP<168>
[1740779693.109914]	Q_Header<(2621443, 50808, 257, 173, 250, 8, 58, 4, 43)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 18, 148, 105, 182, 253, 253, 253, 253, 253, 244, 253, 253, 253, 253, 111, 209, 253, 253, 253, 253, 94, 60, 46, 0, 0, 16, 102, 112, 110, 93, 68, 0, 0, 0, 0, 0, 0, 0, 0, 64, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7691683715013932, y=-0.6321438520583977, z=0.040222342232932716, w=0.08459509307260205)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=0.021111111111111112, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.11, z=-0.04)>	COMP<168>
[1740779693.11994]	Q_Header<(2621443, 50809, 257, 173, 250, 8, 58, 5, 51)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 10, 145, 134, 203, 253, 253, 203, 253, 253, 253, 227, 152, 253, 253, 123, 216, 253, 204, 193, 241, 77, 69, 29, 0, 0, 0, 72, 66, 42, 0, 24, 0, 0, 0, 0, 0, 0, 6, 0, 100, 104, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7691683715013932, y=-0.6321438520583977, z=0.040222342232932716, w=0.08459509307260205)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=0.021111111111111112, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.11, z=-0.04)>	COMP<168>
[1740779693.1297922]	Q_Header<(2621443, 50810, 257, 173, 250, 8, 58, 6, 58)>	Q_Data<(0, 0, 61, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 121, 211, 253, 253, 241, 253, 253, 253, 226, 253, 185, 253, 93, 173, 227, 162, 113, 110, 51, 42, 70, 0, 44, 51, 0, 21, 0, 0, 0, 69, 95, 55, 0, 0, 34, 100, 119, 158, 105, 89, 108, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7691683715013932, y=-0.6321438520583977, z=0.040222342232932716, w=0.08459509307260205)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=0.021111111111111112, z=0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.11, z=-0.04)>	COMP<168>
[1740779693.1410773]	Q_Header<(2621443, 50811, 257, 173, 250, 8, 58, 7, 53)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 162, 253, 253, 253, 250, 153, 229, 253, 253, 253, 253, 108, 89, 136, 178, 203, 106, 19, 109, 147, 50, 101, 85, 48, 0, 0, 0, 36, 141, 213, 174, 10, 0, 80, 179, 185, 214, 153, 184, 159, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.769419479844748, y=-0.6319054319238995, z=0.039673382666911484, w=0.08435171514718719)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=0.02, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.14, z=0.02)>	COMP<165>
[1740779693.1499102]	Q_Header<(2621443, 50812, 257, 173, 250, 8, 58, 8, 62)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 199, 246, 253, 253, 253, 188, 243, 253, 253, 253, 186, 98, 66, 195, 253, 149, 53, 193, 253, 55, 132, 90, 36, 0, 0, 32, 103, 239, 253, 253, 84, 34, 93, 193, 186, 232, 253, 253, 163, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 174, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.769419479844748, y=-0.6319054319238995, z=0.039673382666911484, w=0.08435171514718719)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=0.02, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.14, z=0.02)>	COMP<165>
[1740779693.159992]	Q_Header<(2621443, 50813, 257, 173, 250, 8, 58, 9, 75)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 39, 134, 253, 253, 253, 253, 253, 213, 253, 253, 247, 246, 167, 100, 175, 234, 115, 134, 253, 253, 100, 146, 62, 33, 16, 18, 0, 149, 253, 253, 253, 133, 87, 122, 231, 204, 232, 253, 253, 94, 0, 21, 27, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 99, 162, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 253, 253, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.769419479844748, y=-0.6319054319238995, z=0.039673382666911484, w=0.08435171514718719)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=0.02, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.14, z=0.02)>	COMP<165>
[1740779693.1700368]	Q_Header<(2621443, 50814, 257, 173, 250, 8, 58, 10, 79)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 74, 108, 229, 232, 253, 253, 253, 191, 253, 253, 155, 253, 214, 154, 126, 142, 131, 219, 253, 253, 129, 150, 20, 126, 112, 40, 71, 184, 253, 253, 253, 156, 143, 131, 181, 142, 213, 253, 253, 168, 137, 49, 30, 0, 26, 0, 0, 56, 67, 0, 0, 0, 0, 0, 156, 250, 173, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.769419479844748, y=-0.6319054319238995, z=0.039673382666911484, w=0.08435171514718719)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=0.02, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.14, z=0.02)>	COMP<165>
