[1740780462.9654648]	Q_Header<(2621443, 62268, 257, 173, 250, 8, 58, 0, 30)>	Q_Data<(0, 0, 41, 79, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 39, 33, 14, 21, 27, 62, 128, 118, 45, 44, 0, 0, 13, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7031829453913051, y=-0.7056853758019503, z=0.07391324944613058, w=-0.04559306138419451)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.03222222222222222, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.11, z=0.0)>	COMP<137>
[1740780462.975447]	Q_Header<(2621443, 62269, 257, 173, 250, 8, 58, 1, 23)>	Q_Data<(0, 0, 30, 79, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 38, 33, 19, 41, 57, 88, 152, 140, 59, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7034298036731567, y=-0.7053829276399716, z=0.07452388635877868, w=-0.04547116735240796)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.03222222222222222, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.13, z=0.14)>	COMP<139>
[1740780462.9853773]	Q_Header<(2621443, 62270, 257, 173, 250, 8, 58, 2, 23)>	Q_Data<(0, 0, 0, 79, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 25, 26, 0, 40, 71, 108, 137, 122, 47, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7034298036731567, y=-0.7053829276399716, z=0.07452388635877868, w=-0.04547116735240796)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.03222222222222222, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.13, z=0.14)>	COMP<139>
[1740780462.9953976]	Q_Header<(2621443, 62271, 257, 173, 250, 8, 58, 3, 22)>	Q_Data<(0, 0, 0, 0, 13, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 19, 24, 0, 23, 65, 107, 107, 75, 22, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7034298036731567, y=-0.7053829276399716, z=0.07452388635877868, w=-0.04547116735240796)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.03222222222222222, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.13, z=0.14)>	COMP<139>
[1740780463.0053542]	Q_Header<(2621443, 62272, 257, 173, 250, 8, 58, 4, 23)>	Q_Data<(0, 0, 67, 26, 76, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 24, 30, 13, 0, 49, 87, 88, 10, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7034298036731567, y=-0.7053829276399716, z=0.07452388635877868, w=-0.04547116735240796)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.03222222222222222, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.13, z=0.14)>	COMP<139>
[1740780463.0154579]	Q_Header<(2621443, 62273, 257, 173, 250, 8, 58, 5, 20)>	Q_Data<(0, 0, 76, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29, 32, 9, 0, 32, 56, 66, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7038209992767918, y=-0.7049196705097275, z=0.07532001674681824, w=-0.045289669713240784)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.03222222222222222, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.11, z=0.16)>	COMP<138>
[1740780463.0254893]	Q_Header<(2621443, 62274, 257, 173, 250, 8, 58, 6, 25)>	Q_Data<(0, 0, 76, 0, 14, 29, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 35, 0, 0, 14, 31, 41, 23, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7038209992767918, y=-0.7049196705097275, z=0.07532001674681824, w=-0.045289669713240784)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.03222222222222222, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.11, z=0.16)>	COMP<138>
[1740780463.0354002]	Q_Header<(2621443, 62275, 257, 173, 250, 8, 58, 7, 21)>	Q_Data<(0, 0, 59, 80, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 41, 0, 0, 0, 10, 21, 20, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7038209992767918, y=-0.7049196705097275, z=0.07532001674681824, w=-0.045289669713240784)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.03222222222222222, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.11, z=0.16)>	COMP<138>
[1740780463.0456295]	Q_Header<(2621443, 62276, 257, 173, 250, 8, 58, 8, 21)>	Q_Data<(0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 36, 43, 16, 0, 0, 12, 0, 17, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7041396063458478, y=-0.7045668384897692, z=0.0756811226375012, w=-0.0452255740922487)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=0.016666666666666666, z=-0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.13, z=0.06)>	COMP<138>
[1740780463.0554554]	Q_Header<(2621443, 62277, 257, 173, 250, 8, 58, 9, 17)>	Q_Data<(0, 0, 33, 79, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 42, 44, 33, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7041396063458478, y=-0.7045668384897692, z=0.0756811226375012, w=-0.0452255740922487)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=0.016666666666666666, z=-0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.13, z=0.06)>	COMP<138>
[1740780463.065462]	Q_Header<(2621443, 62278, 257, 173, 250, 8, 58, 10, 15)>	Q_Data<(0, 0, 77, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 42, 30, 46, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7041396063458478, y=-0.7045668384897692, z=0.0756811226375012, w=-0.0452255740922487)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=0.016666666666666666, z=-0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.13, z=0.06)>	COMP<138>
