[1740780088.0028183]	Q_Header<(2621443, 24768, 257, 173, 250, 8, 58, 0, 55)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 70, 107, 182, 197, 253, 253, 253, 253, 253, 132, 224, 253, 153, 178, 253, 253, 230, 211, 247, 147, 125, 14, 0, 0, 49, 22, 45, 135, 135, 0, 58, 0, 107, 98, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 123, 104, 46, 145, 205, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5503488230521609, y=-0.829948241750392, z=0.08398358439833352, w=-0.0353390227955197)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=0.017777777777777778, z=0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.09, z=0.09)>	COMP<167>
[1740780088.012842]	Q_Header<(2621443, 24769, 257, 173, 250, 8, 58, 1, 53)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 87, 119, 154, 210, 253, 253, 253, 253, 253, 219, 207, 221, 186, 202, 222, 205, 157, 161, 182, 66, 58, 49, 0, 0, 28, 53, 47, 42, 17, 25, 0, 0, 48, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 127, 69, 95, 82, 138, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5495705409086816, y=-0.8304594379835097, z=0.08423004736272552, w=-0.03485170800298281)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.03, z=0.042222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.13, z=0.0)>	COMP<170>
[1740780088.02284]	Q_Header<(2621443, 24770, 257, 173, 250, 8, 58, 2, 50)>	Q_Data<(0, 0, 23, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 118, 199, 211, 205, 253, 253, 253, 253, 194, 253, 253, 253, 213, 154, 103, 101, 88, 134, 193, 111, 0, 91, 83, 31, 0, 70, 29, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 133, 101, 144, 60, 103, 103, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5495705409086816, y=-0.8304594379835097, z=0.08423004736272552, w=-0.03485170800298281)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.03, z=0.042222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.13, z=0.0)>	COMP<170>
[1740780088.0327864]	Q_Header<(2621443, 24771, 257, 173, 250, 8, 58, 3, 56)>	Q_Data<(0, 0, 59, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 154, 222, 237, 253, 253, 253, 253, 253, 253, 253, 253, 253, 230, 100, 104, 84, 106, 184, 234, 164, 66, 128, 159, 101, 25, 44, 0, 0, 0, 0, 0, 0, 51, 64, 49, 50, 132, 108, 126, 59, 0, 0, 0, 0, 0, 0, 0, 0, 27, 192, 212, 95, 97, 0, 125, 91, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5495705409086816, y=-0.8304594379835097, z=0.08423004736272552, w=-0.03485170800298281)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.03, z=0.042222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.13, z=0.0)>	COMP<170>
[1740780088.0445867]	Q_Header<(2621443, 24772, 257, 173, 250, 8, 58, 4, 67)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 91, 212, 221, 233, 253, 253, 253, 234, 253, 253, 197, 253, 253, 172, 86, 97, 128, 227, 253, 253, 185, 90, 141, 203, 129, 43, 0, 0, 0, 32, 21, 0, 0, 70, 124, 78, 57, 187, 160, 172, 102, 0, 0, 0, 0, 0, 0, 0, 0, 49, 224, 244, 70, 57, 80, 70, 0, 53, 97, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5490126999696823, y=-0.8308127706489511, z=0.08453391767181878, w=-0.03448495558453257)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.03666666666666667, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.13, z=-0.17)>	COMP<170>
[1740780088.0528536]	Q_Header<(2621443, 24773, 257, 173, 250, 8, 58, 5, 66)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 115, 253, 235, 177, 253, 253, 210, 253, 208, 253, 83, 253, 253, 79, 164, 141, 168, 253, 253, 253, 160, 80, 120, 189, 122, 0, 28, 0, 0, 33, 50, 24, 0, 50, 114, 32, 71, 187, 167, 170, 110, 0, 0, 0, 0, 0, 0, 0, 0, 32, 199, 217, 70, 115, 96, 0, 0, 85, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5490126999696823, y=-0.8308127706489511, z=0.08453391767181878, w=-0.03448495558453257)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.03666666666666667, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.13, z=-0.17)>	COMP<170>
[1740780088.062913]	Q_Header<(2621443, 24774, 257, 173, 250, 8, 58, 6, 65)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 101, 247, 251, 197, 152, 253, 253, 253, 223, 253, 245, 253, 226, 177, 209, 183, 165, 253, 253, 199, 104, 14, 74, 136, 122, 96, 99, 50, 21, 0, 44, 50, 0, 129, 248, 223, 37, 152, 131, 133, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 147, 25, 99, 88, 24, 0, 43, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5490126999696823, y=-0.8308127706489511, z=0.08453391767181878, w=-0.03448495558453257)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.03666666666666667, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.13, z=-0.17)>	COMP<170>
[1740780088.0733793]	Q_Header<(2621443, 24775, 257, 173, 250, 8, 58, 7, 66)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 103, 193, 253, 252, 253, 253, 253, 253, 215, 253, 253, 253, 117, 174, 225, 221, 119, 253, 253, 119, 36, 18, 34, 59, 141, 132, 135, 89, 39, 25, 29, 37, 58, 149, 253, 253, 142, 133, 107, 90, 43, 0, 0, 0, 0, 85, 50, 0, 0, 0, 42, 40, 0, 72, 71, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5485233098804803, y=-0.8311162691267943, z=0.08489995816665717, w=-0.03405763958087326)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.03666666666666667, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.12, z=-0.1)>	COMP<166>
[1740780088.0828555]	Q_Header<(2621443, 24776, 257, 173, 250, 8, 58, 8, 64)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 74, 89, 248, 253, 253, 253, 253, 253, 162, 253, 253, 167, 95, 146, 225, 240, 68, 197, 168, 84, 37, 62, 70, 136, 160, 136, 136, 129, 83, 108, 53, 30, 111, 39, 253, 253, 211, 144, 98, 91, 36, 0, 0, 0, 25, 149, 106, 0, 0, 0, 0, 0, 37, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5485233098804803, y=-0.8311162691267943, z=0.08489995816665717, w=-0.03405763958087326)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.03666666666666667, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.12, z=-0.1)>	COMP<166>
[1740780088.0928476]	Q_Header<(2621443, 24777, 257, 173, 250, 8, 58, 9, 62)>	Q_Data<(0, 0, 67, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 106, 106, 243, 253, 253, 253, 253, 253, 237, 253, 239, 108, 103, 104, 184, 209, 75, 127, 110, 50, 72, 99, 100, 170, 213, 181, 125, 161, 135, 191, 67, 21, 122, 201, 253, 237, 217, 137, 70, 70, 35, 0, 0, 0, 33, 153, 111, 0, 0, 0, 0, 0, 0, 0, 21, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5485233098804803, y=-0.8311162691267943, z=0.08489995816665717, w=-0.03405763958087326)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.03666666666666667, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.12, z=-0.1)>	COMP<166>
[1740780088.102882]	Q_Header<(2621443, 24778, 257, 173, 250, 8, 58, 10, 67)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 139, 160, 248, 253, 253, 253, 253, 147, 237, 176, 126, 110, 69, 74, 101, 138, 50, 68, 31, 72, 94, 152, 99, 181, 239, 253, 253, 218, 175, 227, 59, 0, 118, 253, 253, 233, 206, 114, 0, 19, 12, 0, 0, 0, 0, 112, 70, 30, 0, 0, 0, 0, 0, 41, 50, 63, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5485233098804803, y=-0.8311162691267943, z=0.08489995816665717, w=-0.03405763958087326)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.03666666666666667, z=0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.12, z=-0.1)>	COMP<166>
