[1740779753.0304396]	Q_Header<(2621443, 56804, 257, 173, 250, 8, 58, 0, 82)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 253, 192, 117, 30, 156, 253, 253, 108, 250, 253, 253, 253, 253, 253, 184, 253, 203, 253, 245, 147, 168, 139, 57, 58, 99, 180, 121, 87, 103, 81, 163, 150, 253, 189, 216, 253, 253, 144, 217, 253, 147, 65, 70, 0, 58, 0, 13, 150, 253, 253, 253, 253, 123, 118, 110, 162, 66, 0, 16, 74, 50, 208, 240, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 253, 253, 235, 253, 104, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8086907573100134, y=-0.5801211809986171, z=0.03460586108639831, w=0.09100059767164)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.03666666666666667, z=0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=-0.05, z=-0.1)>	COMP<156>
[1740779753.0407832]	Q_Header<(2621443, 56805, 257, 173, 250, 8, 58, 1, 82)>	Q_Data<(0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 253, 164, 172, 79, 183, 253, 253, 73, 172, 189, 244, 253, 253, 234, 213, 239, 208, 253, 245, 118, 138, 152, 126, 84, 170, 107, 82, 117, 142, 114, 78, 118, 198, 102, 191, 221, 253, 204, 253, 253, 161, 17, 18, 52, 72, 0, 0, 145, 253, 253, 253, 253, 138, 203, 253, 253, 192, 0, 31, 0, 0, 61, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 142, 253, 43, 210, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8091913293428543, y=-0.5794586273028405, z=0.033996045440033935, w=0.09100198159980358)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.034444444444444444, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.05, z=-0.19)>	COMP<156>
[1740779753.0504296]	Q_Header<(2621443, 56806, 257, 173, 250, 8, 58, 2, 78)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 216, 174, 224, 99, 252, 253, 195, 89, 68, 78, 148, 245, 253, 253, 253, 149, 194, 253, 204, 69, 159, 215, 153, 207, 208, 253, 253, 236, 232, 86, 65, 75, 98, 99, 149, 253, 216, 236, 253, 253, 146, 16, 36, 67, 75, 30, 51, 115, 253, 253, 253, 253, 130, 220, 253, 253, 253, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8091913293428543, y=-0.5794586273028405, z=0.033996045440033935, w=0.09100198159980358)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.034444444444444444, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.05, z=-0.19)>	COMP<156>
[1740779753.0603766]	Q_Header<(2621443, 56807, 257, 173, 250, 8, 58, 3, 68)>	Q_Data<(0, 0, 53, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 203, 251, 253, 241, 253, 253, 80, 93, 54, 124, 204, 81, 253, 253, 253, 98, 101, 176, 171, 126, 230, 231, 94, 253, 253, 253, 253, 253, 189, 164, 169, 168, 87, 32, 112, 253, 172, 233, 253, 253, 120, 60, 76, 40, 108, 104, 48, 65, 168, 226, 214, 121, 119, 181, 253, 253, 253, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8091913293428543, y=-0.5794586273028405, z=0.033996045440033935, w=0.09100198159980358)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.034444444444444444, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.05, z=-0.19)>	COMP<156>
[1740779753.0703897]	Q_Header<(2621443, 56808, 257, 173, 250, 8, 58, 4, 70)>	Q_Data<(0, 0, 62, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 210, 253, 246, 253, 253, 253, 91, 86, 30, 104, 219, 197, 204, 253, 223, 64, 19, 124, 98, 190, 253, 169, 134, 253, 253, 253, 253, 253, 253, 253, 253, 253, 230, 187, 112, 158, 66, 200, 238, 217, 105, 76, 108, 109, 79, 132, 143, 33, 67, 136, 106, 0, 46, 89, 253, 253, 166, 80, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8091913293428543, y=-0.5794586273028405, z=0.033996045440033935, w=0.09100198159980358)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.034444444444444444, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.05, z=-0.19)>	COMP<156>
[1740779753.0805032]	Q_Header<(2621443, 56809, 257, 173, 250, 8, 58, 5, 70)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 196, 253, 182, 253, 253, 253, 101, 27, 91, 47, 195, 228, 154, 212, 126, 74, 75, 112, 84, 198, 232, 147, 209, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 138, 226, 123, 145, 156, 111, 63, 54, 108, 242, 225, 208, 246, 120, 109, 134, 0, 0, 0, 0, 128, 195, 127, 73, 81, 222, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8097106714965554, y=-0.5788094601086865, z=0.033325948035362526, w=0.09076132734172908)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04666666666666667, y=0.03111111111111111, z=0.05555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=-0.05, z=-0.09)>	COMP<150>
[1740779753.0904775]	Q_Header<(2621443, 56810, 257, 173, 250, 8, 58, 6, 73)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 146, 166, 207, 253, 253, 253, 152, 143, 197, 129, 124, 190, 164, 141, 51, 56, 179, 171, 91, 155, 165, 188, 253, 228, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 246, 99, 27, 63, 0, 21, 137, 253, 253, 241, 253, 144, 76, 104, 0, 0, 0, 0, 37, 79, 94, 221, 242, 209, 190, 0, 0, 0, 0, 0, 0, 120, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8097106714965554, y=-0.5788094601086865, z=0.033325948035362526, w=0.09076132734172908)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04666666666666667, y=0.03111111111111111, z=0.05555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=-0.05, z=-0.09)>	COMP<150>
[1740779753.100475]	Q_Header<(2621443, 56811, 257, 173, 250, 8, 58, 7, 83)>	Q_Data<(0, 0, 62, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 88, 122, 253, 253, 253, 253, 208, 253, 253, 199, 138, 223, 213, 179, 109, 202, 253, 253, 63, 104, 84, 163, 253, 241, 253, 253, 253, 253, 253, 253, 253, 253, 253, 167, 253, 253, 253, 94, 0, 50, 52, 96, 133, 253, 245, 201, 253, 183, 76, 69, 0, 0, 0, 0, 0, 165, 203, 253, 253, 249, 195, 91, 151, 166, 51, 0, 89, 219, 173, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 35, 220, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8097106714965554, y=-0.5788094601086865, z=0.033325948035362526, w=0.09076132734172908)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04666666666666667, y=0.03111111111111111, z=0.05555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=-0.05, z=-0.09)>	COMP<150>
[1740779753.1105995]	Q_Header<(2621443, 56812, 257, 173, 250, 8, 58, 8, 83)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50, 143, 220, 253, 253, 253, 204, 253, 253, 253, 201, 251, 235, 245, 146, 253, 253, 253, 60, 86, 47, 111, 226, 187, 162, 253, 253, 253, 253, 193, 236, 253, 236, 0, 253, 253, 253, 83, 0, 0, 97, 136, 89, 192, 168, 163, 210, 187, 97, 0, 0, 0, 0, 0, 0, 243, 253, 253, 253, 253, 202, 166, 253, 253, 121, 0, 134, 253, 218, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 253, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.810435131605824, y=-0.5779492590130703, z=0.03228800908416033, w=0.09015007451286354)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06, y=0.03111111111111111, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.08, z=-0.11)>	COMP<151>
[1740779753.1205328]	Q_Header<(2621443, 56813, 257, 173, 250, 8, 58, 9, 89)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 89, 142, 211, 97, 253, 78, 253, 253, 253, 199, 251, 237, 253, 156, 253, 253, 253, 18, 156, 128, 79, 132, 128, 128, 249, 238, 253, 246, 130, 73, 191, 141, 79, 253, 253, 186, 70, 0, 0, 95, 132, 0, 70, 145, 200, 150, 135, 78, 50, 0, 0, 0, 0, 0, 211, 253, 253, 253, 253, 175, 208, 253, 253, 162, 0, 118, 250, 199, 101, 0, 0, 0, 0, 0, 0, 36, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 153, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.810435131605824, y=-0.5779492590130703, z=0.03228800908416033, w=0.09015007451286354)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06, y=0.03111111111111111, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.08, z=-0.11)>	COMP<151>
[1740779753.1305895]	Q_Header<(2621443, 56814, 257, 173, 250, 8, 58, 10, 85)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 71, 117, 253, 253, 229, 253, 253, 253, 155, 251, 234, 236, 129, 170, 253, 253, 141, 228, 163, 86, 100, 221, 191, 223, 204, 166, 237, 147, 129, 103, 49, 94, 181, 191, 86, 78, 72, 0, 67, 91, 0, 0, 152, 197, 134, 32, 0, 72, 0, 0, 0, 0, 0, 100, 253, 253, 253, 253, 132, 190, 246, 253, 135, 0, 83, 165, 136, 32, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.810435131605824, y=-0.5779492590130703, z=0.03228800908416033, w=0.09015007451286354)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06, y=0.03111111111111111, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.08, z=-0.11)>	COMP<151>
