[1740780113.003028]	Q_Header<(2621443, 27268, 257, 173, 250, 8, 58, 0, 58)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 198, 253, 253, 253, 253, 150, 253, 232, 76, 40, 68, 68, 212, 250, 124, 22, 63, 141, 179, 215, 253, 253, 190, 253, 227, 71, 0, 36, 0, 26, 0, 82, 67, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 24, 70, 66, 0, 91, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.40203385726285923, y=-0.9108779847868395, z=0.09100235026247505, w=-0.019714124168195468)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03111111111111111, y=0.025555555555555557, z=0.13777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.09, z=0.0)>	COMP<135>
[1740780113.0149026]	Q_Header<(2621443, 27269, 257, 173, 250, 8, 58, 1, 50)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 223, 253, 227, 253, 253, 253, 170, 227, 91, 50, 49, 40, 193, 214, 99, 21, 41, 82, 64, 253, 253, 253, 217, 181, 123, 34, 0, 18, 0, 79, 96, 103, 136, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.40019955171193056, y=-0.911725011967793, z=0.09069643645629538, w=-0.019286725383707497)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.03222222222222222, z=0.13777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.08, z=0.11)>	COMP<135>
[1740780113.0244517]	Q_Header<(2621443, 27270, 257, 173, 250, 8, 58, 2, 56)>	Q_Data<(0, 0, 15, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 253, 253, 223, 253, 253, 253, 197, 182, 94, 20, 16, 9, 148, 143, 65, 0, 0, 0, 48, 192, 253, 253, 206, 185, 95, 7, 0, 0, 0, 107, 154, 70, 140, 64, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 91, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.40019955171193056, y=-0.911725011967793, z=0.09069643645629538, w=-0.019286725383707497)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.03222222222222222, z=0.13777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.08, z=0.11)>	COMP<135>
[1740780113.034368]	Q_Header<(2621443, 27271, 257, 173, 250, 8, 58, 3, 52)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 253, 253, 253, 253, 253, 253, 218, 135, 83, 33, 8, 16, 94, 88, 62, 17, 0, 10, 32, 76, 186, 253, 215, 194, 57, 0, 0, 0, 0, 111, 164, 17, 96, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 47, 0, 0, 0, 57, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.40019955171193056, y=-0.911725011967793, z=0.09069643645629538, w=-0.019286725383707497)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.03222222222222222, z=0.13777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.08, z=0.11)>	COMP<135>
[1740780113.0435128]	Q_Header<(2621443, 27272, 257, 173, 250, 8, 58, 4, 52)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 253, 253, 253, 253, 253, 177, 191, 112, 0, 40, 42, 60, 72, 53, 45, 42, 0, 0, 0, 0, 83, 184, 178, 147, 44, 76, 89, 20, 0, 83, 127, 67, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 75, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.397758190364159, y=-0.9128236144063774, z=0.0905133337900948, w=-0.018676385798900207)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.044444444444444446, z=0.13333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.08, z=0.03)>	COMP<135>
[1740780113.0567791]	Q_Header<(2621443, 27273, 257, 173, 250, 8, 58, 5, 53)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 150, 253, 253, 253, 253, 178, 187, 131, 121, 101, 73, 86, 68, 118, 117, 37, 13, 0, 0, 0, 55, 149, 143, 90, 91, 249, 210, 97, 40, 41, 51, 56, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 124, 0, 72, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.397758190364159, y=-0.9128236144063774, z=0.0905133337900948, w=-0.018676385798900207)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.044444444444444446, z=0.13333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.08, z=0.03)>	COMP<135>
[1740780113.0659027]	Q_Header<(2621443, 27274, 257, 173, 250, 8, 58, 6, 53)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 190, 253, 253, 253, 253, 253, 189, 234, 234, 163, 95, 137, 120, 186, 213, 117, 28, 0, 0, 0, 15, 89, 68, 81, 176, 253, 253, 130, 45, 0, 16, 24, 68, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 122, 5, 61, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.397758190364159, y=-0.9128236144063774, z=0.0905133337900948, w=-0.018676385798900207)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.044444444444444446, z=0.13333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.08, z=0.03)>	COMP<135>
[1740780113.072977]	Q_Header<(2621443, 27275, 257, 173, 250, 8, 58, 7, 51)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 231, 253, 253, 253, 253, 253, 249, 253, 245, 180, 113, 220, 206, 220, 253, 180, 50, 0, 0, 0, 26, 36, 0, 12, 199, 253, 185, 110, 0, 0, 0, 0, 77, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 44, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.397758190364159, y=-0.9128236144063774, z=0.0905133337900948, w=-0.018676385798900207)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=0.044444444444444446, z=0.13333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.08, z=0.03)>	COMP<135>
[1740780113.083041]	Q_Header<(2621443, 27276, 257, 173, 250, 8, 58, 8, 49)>	Q_Data<(0, 0, 65, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 207, 253, 253, 253, 253, 253, 253, 253, 195, 198, 169, 253, 253, 234, 253, 173, 72, 30, 27, 0, 0, 0, 21, 100, 164, 201, 94, 47, 0, 0, 0, 11, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 44, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3959297937825225, y=-0.913623105153473, z=0.0905749674692868, w=-0.018127200362788528)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.04555555555555556, z=0.1322222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.09, z=-0.11)>	COMP<135>
[1740780113.0945807]	Q_Header<(2621443, 27277, 257, 173, 250, 8, 58, 9, 51)>	Q_Data<(0, 0, 67, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 65, 128, 251, 253, 253, 253, 222, 253, 253, 253, 223, 253, 253, 139, 157, 134, 104, 76, 33, 0, 0, 0, 22, 97, 130, 182, 129, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 93, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3959297937825225, y=-0.913623105153473, z=0.0905749674692868, w=-0.018127200362788528)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.04555555555555556, z=0.1322222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.09, z=-0.11)>	COMP<135>
[1740780113.1035683]	Q_Header<(2621443, 27278, 257, 173, 250, 8, 58, 10, 43)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 176, 253, 194, 253, 253, 253, 253, 253, 253, 253, 222, 253, 253, 207, 200, 163, 120, 47, 96, 46, 0, 0, 0, 42, 80, 139, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 71, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3959297937825225, y=-0.913623105153473, z=0.0905749674692868, w=-0.018127200362788528)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.04555555555555556, z=0.1322222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.09, z=-0.11)>	COMP<135>
