[1740780033.00492]	Q_Header<(2621443, 19268, 257, 173, 250, 8, 58, 0, 43)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 176, 253, 151, 216, 253, 117, 253, 253, 253, 253, 253, 253, 253, 253, 253, 209, 73, 7, 39, 15, 30, 31, 0, 0, 11, 42, 0, 29, 39, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 60, 63, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.22314345018061252, y=-0.9707594570904382, z=0.08850054780139173, w=-0.0008544880477375753)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=0.021111111111111112, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.14, z=-0.02)>	COMP<186>
[1740780033.014126]	Q_Header<(2621443, 19269, 257, 173, 250, 8, 58, 1, 43)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 253, 154, 179, 253, 253, 253, 253, 253, 253, 234, 180, 253, 253, 253, 253, 187, 76, 55, 55, 45, 42, 29, 0, 26, 0, 0, 0, 0, 39, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 40, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.22314711740130566, y=-0.9707754109047501, z=0.08831889466074652, w=-0.0004882869089744106)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=0.011111111111111112, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.13, z=-0.06)>	COMP<186>
[1740780033.0268223]	Q_Header<(2621443, 19270, 257, 173, 250, 8, 58, 2, 38)>	Q_Data<(0, 0, 21, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 220, 181, 253, 253, 253, 253, 253, 253, 208, 128, 233, 253, 253, 253, 253, 253, 253, 118, 107, 41, 50, 47, 17, 18, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.22314711740130566, y=-0.9707754109047501, z=0.08831889466074652, w=-0.0004882869089744106)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=0.011111111111111112, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.13, z=-0.06)>	COMP<186>
[1740780033.0348716]	Q_Header<(2621443, 19271, 257, 173, 250, 8, 58, 3, 37)>	Q_Data<(0, 0, 60, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71, 150, 170, 253, 253, 253, 253, 220, 253, 106, 112, 235, 253, 253, 253, 253, 253, 253, 207, 148, 36, 67, 112, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.22314711740130566, y=-0.9707754109047501, z=0.08831889466074652, w=-0.0004882869089744106)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=0.011111111111111112, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.13, z=-0.06)>	COMP<186>
[1740780033.0458493]	Q_Header<(2621443, 19272, 257, 173, 250, 8, 58, 4, 47)>	Q_Data<(0, 0, 63, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 31, 104, 182, 253, 253, 253, 200, 253, 253, 136, 111, 253, 253, 253, 228, 253, 253, 253, 253, 185, 0, 77, 119, 117, 52, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.22314952158017715, y=-0.9707858700034785, z=0.08819777316284354, w=-0.0004882921697596874)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=0.005555555555555556, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.13, z=-0.07)>	COMP<183>
[1740780033.055563]	Q_Header<(2621443, 19273, 257, 173, 250, 8, 58, 5, 53)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 96, 225, 253, 253, 253, 204, 253, 253, 168, 156, 253, 253, 253, 228, 253, 253, 253, 253, 200, 72, 86, 45, 100, 78, 0, 0, 0, 0, 3, 23, 0, 0, 0, 0, 0, 0, 0, 0, 84, 50, 0, 0, 13, 40, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.22314952158017715, y=-0.9707858700034785, z=0.08819777316284354, w=-0.0004882921697596874)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=0.005555555555555556, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.13, z=-0.07)>	COMP<183>
[1740780033.0670152]	Q_Header<(2621443, 19274, 257, 173, 250, 8, 58, 6, 62)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 88, 253, 253, 253, 253, 253, 253, 178, 154, 210, 253, 253, 253, 134, 205, 193, 253, 253, 168, 147, 174, 214, 106, 165, 56, 0, 0, 0, 67, 94, 63, 0, 0, 0, 0, 0, 0, 27, 195, 179, 0, 0, 75, 144, 111, 129, 108, 40, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.22314952158017715, y=-0.9707858700034785, z=0.08819777316284354, w=-0.0004882921697596874)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=0.005555555555555556, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.13, z=-0.07)>	COMP<183>
[1740780033.0731494]	Q_Header<(2621443, 19275, 257, 173, 250, 8, 58, 7, 64)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 241, 253, 227, 159, 253, 253, 253, 180, 228, 253, 253, 253, 170, 89, 147, 189, 203, 114, 208, 228, 253, 249, 253, 220, 155, 74, 37, 72, 119, 86, 0, 0, 0, 0, 0, 0, 142, 253, 253, 83, 0, 91, 161, 165, 205, 150, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 79, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.22314952158017715, y=-0.9707858700034785, z=0.08819777316284354, w=-0.0004882921697596874)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=0.005555555555555556, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.13, z=-0.07)>	COMP<183>
[1740780033.0825236]	Q_Header<(2621443, 19276, 257, 173, 250, 8, 58, 8, 63)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 177, 218, 134, 248, 253, 253, 253, 177, 227, 253, 253, 253, 177, 97, 120, 101, 49, 71, 223, 253, 253, 253, 253, 253, 253, 161, 95, 27, 66, 0, 0, 0, 0, 0, 0, 58, 205, 253, 253, 98, 0, 12, 96, 131, 194, 151, 99, 0, 0, 0, 17, 0, 0, 0, 0, 0, 88, 214, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2231375006316292, y=-0.9707946075073015, z=0.08813198876150782, w=-0.0004882658657147248)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.0, z=-0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.14, z=-0.03)>	COMP<182>
[1740780033.0950956]	Q_Header<(2621443, 19277, 257, 173, 250, 8, 58, 9, 63)>	Q_Data<(0, 0, 67, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 88, 80, 253, 253, 253, 253, 253, 123, 234, 253, 253, 238, 151, 85, 88, 100, 87, 54, 197, 253, 253, 253, 253, 253, 253, 230, 129, 116, 130, 76, 42, 0, 0, 0, 0, 108, 200, 253, 253, 99, 0, 0, 0, 56, 108, 105, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 198, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2231375006316292, y=-0.9707946075073015, z=0.08813198876150782, w=-0.0004882658657147248)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.0, z=-0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.14, z=-0.03)>	COMP<182>
[1740780033.104098]	Q_Header<(2621443, 19278, 257, 173, 250, 8, 58, 10, 63)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 52, 165, 253, 253, 253, 174, 253, 154, 222, 183, 253, 253, 194, 51, 174, 148, 8, 44, 132, 253, 253, 253, 253, 253, 253, 244, 123, 253, 253, 104, 79, 0, 0, 0, 54, 179, 244, 203, 175, 39, 17, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 103, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2231375006316292, y=-0.9707946075073015, z=0.08813198876150782, w=-0.0004882658657147248)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.0, z=-0.0044444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.14, z=-0.03)>	COMP<182>
