[1740780395.4649339]	Q_Header<(2621443, 55518, 257, 173, 250, 8, 58, 0, 29)>	Q_Data<(0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 18, 65, 0, 0, 111, 138, 125, 45, 67, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35253528219696495, y=-0.9307761519223884, z=0.09619037478227437, w=-0.011047244819537855)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.03, z=0.034444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.04, z=0.02)>	COMP<103>
[1740780395.475072]	Q_Header<(2621443, 55519, 257, 173, 250, 8, 58, 1, 25)>	Q_Data<(0, 0, 0, 5, 45, 49, 75, 0, 0, 0, 0, 0, 63, 59, 0, 0, 112, 91, 60, 33, 52, 21, 22, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35211445692576276, y=-0.9309151840928641, z=0.09631419882628768, w=-0.011657802266046227)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.03333333333333333, z=0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.07, z=-0.01)>	COMP<103>
[1740780395.4849553]	Q_Header<(2621443, 55520, 257, 173, 250, 8, 58, 2, 32)>	Q_Data<(0, 0, 0, 0, 50, 34, 48, 0, 0, 0, 0, 65, 68, 0, 0, 0, 70, 48, 56, 61, 23, 43, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35211445692576276, y=-0.9309151840928641, z=0.09631419882628768, w=-0.011657802266046227)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.03333333333333333, z=0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.07, z=-0.01)>	COMP<103>
[1740780395.494936]	Q_Header<(2621443, 55521, 257, 173, 250, 8, 58, 3, 34)>	Q_Data<(0, 0, 0, 59, 82, 0, 0, 0, 0, 0, 0, 75, 67, 0, 0, 0, 35, 9, 63, 75, 66, 42, 35, 0, 0, 0, 0, 0, 0, 0, 11, 0, 29, 24, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35211445692576276, y=-0.9309151840928641, z=0.09631419882628768, w=-0.011657802266046227)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.03333333333333333, z=0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.07, z=-0.01)>	COMP<103>
[1740780395.5049937]	Q_Header<(2621443, 55522, 257, 173, 250, 8, 58, 4, 35)>	Q_Data<(0, 0, 37, 64, 81, 63, 0, 0, 36, 0, 0, 36, 94, 0, 0, 0, 29, 19, 59, 101, 101, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 22, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35211445692576276, y=-0.9309151840928641, z=0.09631419882628768, w=-0.011657802266046227)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.03333333333333333, z=0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=0.07, z=-0.01)>	COMP<103>
[1740780395.5150182]	Q_Header<(2621443, 55523, 257, 173, 250, 8, 58, 5, 32)>	Q_Data<(0, 0, 63, 56, 81, 59, 0, 0, 35, 0, 0, 0, 111, 0, 0, 0, 0, 51, 75, 141, 98, 43, 33, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35169314671832824, y=-0.9310529781397742, z=0.09643789861418928, w=-0.01232940222789002)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.023333333333333334, y=-0.035555555555555556, z=0.034444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.1, z=0.12)>	COMP<101>
[1740780395.5249488]	Q_Header<(2621443, 55524, 257, 173, 250, 8, 58, 6, 33)>	Q_Data<(0, 0, 60, 23, 62, 76, 78, 0, 0, 0, 0, 0, 95, 0, 0, 0, 37, 80, 115, 191, 148, 74, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35169314671832824, y=-0.9310529781397742, z=0.09643789861418928, w=-0.01232940222789002)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.023333333333333334, y=-0.035555555555555556, z=0.034444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.1, z=0.12)>	COMP<101>
[1740780395.5352595]	Q_Header<(2621443, 55525, 257, 173, 250, 8, 58, 7, 36)>	Q_Data<(0, 0, 62, 0, 67, 84, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 87, 142, 212, 156, 66, 51, 0, 13, 0, 0, 0, 0, 7, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 109, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35169314671832824, y=-0.9310529781397742, z=0.09643789861418928, w=-0.01232940222789002)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.023333333333333334, y=-0.035555555555555556, z=0.034444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.1, z=0.12)>	COMP<101>
[1740780395.5450237]	Q_Header<(2621443, 55526, 257, 173, 250, 8, 58, 8, 35)>	Q_Data<(0, 0, 0, 59, 67, 84, 9, 67, 17, 0, 0, 0, 0, 0, 0, 0, 47, 73, 166, 195, 130, 58, 45, 12, 31, 24, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 135, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35114405042582586, y=-0.9312367073434425, z=0.09656003611570597, w=-0.013122887335573189)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.034444444444444444, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.06, z=0.09)>	COMP<96>
[1740780395.5550125]	Q_Header<(2621443, 55527, 257, 173, 250, 8, 58, 9, 36)>	Q_Data<(0, 0, 0, 0, 81, 82, 58, 66, 0, 0, 0, 0, 0, 0, 0, 0, 41, 91, 188, 178, 146, 76, 65, 39, 35, 29, 3, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 112, 159, 76, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35114405042582586, y=-0.9312367073434425, z=0.09656003611570597, w=-0.013122887335573189)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.034444444444444444, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.06, z=0.09)>	COMP<96>
[1740780395.5650442]	Q_Header<(2621443, 55528, 257, 173, 250, 8, 58, 10, 39)>	Q_Data<(0, 0, 0, 0, 81, 80, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 34, 103, 195, 202, 187, 81, 83, 35, 31, 23, 0, 12, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 143, 181, 159, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.35114405042582586, y=-0.9312367073434425, z=0.09656003611570597, w=-0.013122887335573189)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.034444444444444444, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=0.06, z=0.09)>	COMP<96>
