[1740780020.5023098]	Q_Header<(2621443, 18018, 257, 173, 250, 8, 58, 0, 54)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 253, 253, 253, 253, 253, 253, 253, 118, 125, 60, 111, 89, 63, 94, 33, 0, 0, 11, 0, 138, 244, 253, 253, 246, 89, 0, 26, 0, 0, 113, 244, 202, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 71, 0, 133, 43, 0, 32, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2980976259622874, y=-0.9502624771922302, z=0.0899664006282579, w=-0.006713910494646112)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=-0.011111111111111112, z=-0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.08, z=0.02)>	COMP<192>
[1740780020.512362]	Q_Header<(2621443, 18019, 257, 173, 250, 8, 58, 1, 56)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 146, 253, 253, 253, 253, 253, 221, 233, 253, 128, 135, 161, 119, 51, 132, 83, 0, 0, 0, 0, 68, 132, 144, 219, 194, 112, 49, 40, 0, 0, 58, 167, 129, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 69, 0, 91, 0, 52, 72, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29815662998606957, y=-0.9502560025083147, z=0.08984371736734788, w=-0.006652829614837581)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=-0.0033333333333333335, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.11, z=-0.08)>	COMP<192>
[1740780020.5223463]	Q_Header<(2621443, 18020, 257, 173, 250, 8, 58, 2, 54)>	Q_Data<(0, 0, 31, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 87, 170, 216, 253, 253, 253, 214, 253, 253, 253, 183, 143, 135, 111, 173, 99, 0, 0, 0, 0, 53, 84, 42, 110, 133, 147, 111, 0, 0, 0, 28, 65, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 16, 0, 77, 71, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29815662998606957, y=-0.9502560025083147, z=0.08984371736734788, w=-0.006652829614837581)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=-0.0033333333333333335, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.11, z=-0.08)>	COMP<192>
[1740780020.532965]	Q_Header<(2621443, 18021, 257, 173, 250, 8, 58, 3, 46)>	Q_Data<(0, 0, 62, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 64, 81, 144, 253, 253, 253, 253, 253, 253, 253, 190, 101, 170, 205, 184, 39, 0, 0, 0, 2, 25, 51, 0, 39, 95, 151, 126, 60, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 20, 0, 63, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29815662998606957, y=-0.9502560025083147, z=0.08984371736734788, w=-0.006652829614837581)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=-0.0033333333333333335, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.11, z=-0.08)>	COMP<192>
[1740780020.5424824]	Q_Header<(2621443, 18022, 257, 173, 250, 8, 58, 4, 44)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 91, 212, 253, 253, 253, 253, 253, 253, 253, 188, 98, 246, 253, 185, 144, 55, 0, 0, 15, 22, 0, 18, 0, 63, 115, 91, 70, 75, 41, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29815662998606957, y=-0.9502560025083147, z=0.08984371736734788, w=-0.006652829614837581)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.006666666666666667, y=-0.0033333333333333335, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.11, z=-0.08)>	COMP<192>
[1740780020.5523682]	Q_Header<(2621443, 18023, 257, 173, 250, 8, 58, 5, 46)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 148, 253, 243, 248, 253, 225, 253, 244, 253, 182, 117, 253, 253, 172, 148, 91, 59, 45, 16, 39, 36, 46, 0, 35, 53, 0, 0, 93, 84, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2982851413826131, y=-0.9502154861969553, z=0.0898456574821376, w=-0.006652973278228939)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=-0.0011111111111111111, z=-0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.09, z=0.07)>	COMP<190>
[1740780020.562708]	Q_Header<(2621443, 18024, 257, 173, 250, 8, 58, 6, 48)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 205, 253, 100, 253, 253, 124, 214, 241, 253, 166, 171, 253, 253, 177, 108, 80, 115, 97, 14, 0, 50, 26, 0, 23, 0, 0, 46, 90, 88, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2982851413826131, y=-0.9502154861969553, z=0.0898456574821376, w=-0.006652973278228939)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=-0.0011111111111111111, z=-0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.09, z=0.07)>	COMP<190>
[1740780020.5722914]	Q_Header<(2621443, 18025, 257, 173, 250, 8, 58, 7, 43)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 223, 253, 253, 253, 253, 253, 227, 253, 253, 138, 152, 253, 253, 253, 253, 206, 156, 103, 0, 0, 33, 15, 0, 14, 0, 0, 68, 68, 67, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2982851413826131, y=-0.9502154861969553, z=0.0898456574821376, w=-0.006652973278228939)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=-0.0011111111111111111, z=-0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.09, z=0.07)>	COMP<190>
[1740780020.5823467]	Q_Header<(2621443, 18026, 257, 173, 250, 8, 58, 8, 38)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 198, 253, 253, 253, 253, 253, 253, 253, 253, 148, 141, 250, 253, 253, 253, 253, 253, 83, 30, 0, 0, 0, 24, 0, 0, 0, 0, 0, 23, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29852497212128387, y=-0.9501407158069978, z=0.08984435881466568, w=-0.006591841543467319)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=-0.0011111111111111111, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.1, z=0.08)>	COMP<195>
[1740780020.5922613]	Q_Header<(2621443, 18027, 257, 173, 250, 8, 58, 9, 38)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 123, 136, 243, 253, 253, 253, 253, 253, 225, 204, 220, 253, 253, 253, 253, 253, 253, 253, 16, 14, 0, 39, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29852497212128387, y=-0.9501407158069978, z=0.08984435881466568, w=-0.006591841543467319)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=-0.0011111111111111111, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.1, z=0.08)>	COMP<195>
[1740780020.6022372]	Q_Header<(2621443, 18028, 257, 173, 250, 8, 58, 10, 37)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 140, 190, 253, 253, 253, 253, 253, 194, 231, 253, 253, 253, 253, 253, 253, 253, 253, 115, 0, 0, 85, 58, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29852497212128387, y=-0.9501407158069978, z=0.08984435881466568, w=-0.006591841543467319)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=-0.0011111111111111111, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.1, z=0.08)>	COMP<195>
