[1740780063.002615]	Q_Header<(2621443, 22268, 257, 173, 250, 8, 58, 0, 54)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 98, 173, 227, 253, 253, 226, 253, 253, 118, 77, 97, 106, 236, 203, 125, 40, 0, 153, 136, 253, 253, 122, 227, 253, 253, 253, 253, 253, 128, 0, 0, 0, 57, 102, 91, 0, 35, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3891667592340771, y=-0.9168246377752624, z=0.08722071815330869, w=-0.019348472816374286)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.03888888888888889, z=-0.06444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.13, z=-0.04)>	COMP<171>
[1740780063.0148437]	Q_Header<(2621443, 22269, 257, 173, 250, 8, 58, 1, 55)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 158, 185, 253, 253, 253, 206, 253, 253, 188, 90, 63, 139, 253, 243, 137, 36, 0, 135, 78, 253, 253, 253, 229, 253, 253, 253, 229, 142, 66, 0, 0, 0, 16, 59, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 60, 0, 50, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.39007291538168826, y=-0.9164363674630026, z=0.08715758459787996, w=-0.01977525028691394)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.03888888888888889, z=-0.06444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.13, z=-0.08)>	COMP<171>
[1740780063.0228522]	Q_Header<(2621443, 22270, 257, 173, 250, 8, 58, 2, 52)>	Q_Data<(0, 0, 23, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 111, 252, 253, 253, 198, 253, 253, 253, 207, 59, 9, 140, 245, 231, 128, 43, 0, 73, 171, 253, 253, 253, 205, 253, 253, 253, 144, 62, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 65, 72, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.39007291538168826, y=-0.9164363674630026, z=0.08715758459787996, w=-0.01977525028691394)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.03888888888888889, z=-0.06444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.13, z=-0.08)>	COMP<171>
[1740780063.0325959]	Q_Header<(2621443, 22271, 257, 173, 250, 8, 58, 3, 52)>	Q_Data<(0, 0, 60, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 72, 133, 253, 253, 253, 237, 253, 253, 253, 162, 62, 32, 106, 185, 184, 94, 42, 22, 32, 196, 253, 253, 253, 205, 111, 162, 141, 95, 50, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 45, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.39007291538168826, y=-0.9164363674630026, z=0.08715758459787996, w=-0.01977525028691394)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.03888888888888889, z=-0.06444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.13, z=-0.08)>	COMP<171>
[1740780063.042689]	Q_Header<(2621443, 22272, 257, 173, 250, 8, 58, 4, 51)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 131, 207, 253, 253, 253, 253, 253, 162, 100, 77, 13, 68, 121, 135, 67, 0, 0, 58, 164, 253, 253, 253, 253, 201, 118, 110, 39, 0, 0, 0, 35, 68, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 45, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.39100091705825024, y=-0.9160383645348454, z=0.08709933010335984, w=-0.02014210156559828)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.03333333333333333, z=-0.06444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.15, z=0.03)>	COMP<174>
[1740780063.0526328]	Q_Header<(2621443, 22273, 257, 173, 250, 8, 58, 5, 56)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 150, 119, 253, 168, 253, 253, 183, 91, 79, 90, 0, 40, 86, 91, 59, 0, 0, 33, 96, 240, 250, 253, 253, 253, 124, 70, 0, 0, 0, 12, 48, 74, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 56, 0, 58, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.39100091705825024, y=-0.9160383645348454, z=0.08709933010335984, w=-0.02014210156559828)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.03333333333333333, z=-0.06444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.15, z=0.03)>	COMP<174>
[1740780063.0626318]	Q_Header<(2621443, 22274, 257, 173, 250, 8, 58, 6, 54)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 137, 228, 253, 253, 253, 253, 210, 103, 128, 69, 0, 0, 52, 83, 31, 0, 0, 16, 44, 140, 141, 253, 253, 253, 91, 55, 24, 0, 0, 5, 56, 102, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38, 0, 0, 0, 0, 0, 0, 91, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.39100091705825024, y=-0.9160383645348454, z=0.08709933010335984, w=-0.02014210156559828)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=-0.03333333333333333, z=-0.06444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.15, z=0.03)>	COMP<174>
[1740780063.073645]	Q_Header<(2621443, 22275, 257, 173, 250, 8, 58, 7, 56)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 157, 253, 253, 253, 253, 253, 225, 227, 187, 111, 30, 86, 78, 119, 109, 32, 0, 0, 35, 61, 88, 253, 253, 194, 104, 98, 74, 65, 0, 0, 34, 95, 52, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 67, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.39228177668427494, y=-0.915486909675967, z=0.08703809141928988, w=-0.020569310524755042)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.03111111111111111, z=-0.06888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.14, z=0.02)>	COMP<166>
[1740780063.0827038]	Q_Header<(2621443, 22276, 257, 173, 250, 8, 58, 8, 52)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 222, 253, 253, 253, 253, 147, 184, 253, 234, 218, 107, 190, 177, 200, 197, 86, 0, 6, 0, 0, 67, 172, 163, 127, 188, 156, 51, 80, 0, 0, 0, 56, 24, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.39228177668427494, y=-0.915486909675967, z=0.08703809141928988, w=-0.020569310524755042)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.03111111111111111, z=-0.06888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.14, z=0.02)>	COMP<166>
[1740780063.0925412]	Q_Header<(2621443, 22277, 257, 173, 250, 8, 58, 9, 47)>	Q_Data<(0, 0, 67, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 233, 253, 253, 253, 253, 247, 238, 253, 253, 253, 190, 253, 253, 253, 221, 124, 49, 0, 0, 0, 0, 104, 109, 144, 184, 199, 163, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 71, 0, 7, 80, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.39228177668427494, y=-0.915486909675967, z=0.08703809141928988, w=-0.020569310524755042)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.03111111111111111, z=-0.06888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.14, z=0.02)>	COMP<166>
[1740780063.1026118]	Q_Header<(2621443, 22278, 257, 173, 250, 8, 58, 10, 47)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 210, 253, 253, 253, 253, 253, 213, 253, 253, 253, 249, 253, 253, 253, 188, 102, 66, 23, 0, 38, 0, 49, 59, 122, 144, 207, 194, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 106, 0, 26, 81, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.39228177668427494, y=-0.915486909675967, z=0.08703809141928988, w=-0.020569310524755042)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=-0.03111111111111111, z=-0.06888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.14, z=0.02)>	COMP<166>
