[1740780028.0028348]	Q_Header<(2621443, 18768, 257, 173, 250, 8, 58, 0, 54)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 118, 253, 253, 168, 242, 253, 250, 253, 253, 249, 253, 161, 190, 149, 201, 139, 37, 17, 0, 0, 0, 0, 27, 24, 58, 168, 228, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 53, 0, 0, 81, 84, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2637384112431295, y=-0.9602251066134955, z=0.09137153474449547, w=-0.00781266295744517)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=0.006666666666666667, z=0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.08, z=-0.07)>	COMP<194>
[1740780028.0124183]	Q_Header<(2621443, 18769, 257, 173, 250, 8, 58, 1, 55)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 113, 253, 253, 233, 253, 253, 226, 253, 253, 253, 253, 198, 219, 141, 220, 131, 49, 0, 0, 0, 17, 0, 34, 0, 38, 103, 159, 116, 0, 5, 0, 0, 0, 0, 0, 0, 0, 23, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 124, 41, 0, 5, 49, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.26317608932906805, y=-0.960421832486599, z=0.0909397896800351, w=-0.007629176986580126)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.011111111111111112, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.09, z=-0.06)>	COMP<195>
[1740780028.0224478]	Q_Header<(2621443, 18770, 257, 173, 250, 8, 58, 2, 52)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 86, 238, 253, 189, 253, 253, 96, 253, 253, 253, 253, 206, 205, 253, 205, 63, 47, 35, 68, 26, 0, 13, 20, 0, 0, 0, 62, 82, 16, 51, 16, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 122, 65, 46, 33, 29, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.26317608932906805, y=-0.960421832486599, z=0.0909397896800351, w=-0.007629176986580126)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.011111111111111112, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.09, z=-0.06)>	COMP<195>
[1740780028.0323377]	Q_Header<(2621443, 18771, 257, 173, 250, 8, 58, 3, 51)>	Q_Data<(0, 0, 48, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 193, 244, 243, 253, 244, 237, 253, 253, 253, 253, 196, 245, 253, 253, 132, 36, 106, 90, 64, 20, 28, 0, 23, 0, 5, 0, 76, 0, 42, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 102, 61, 75, 24, 64, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.26317608932906805, y=-0.960421832486599, z=0.0909397896800351, w=-0.007629176986580126)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.011111111111111112, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.09, z=-0.06)>	COMP<195>
[1740780028.0424457]	Q_Header<(2621443, 18772, 257, 173, 250, 8, 58, 4, 48)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 152, 213, 253, 253, 253, 253, 253, 253, 253, 215, 192, 253, 253, 253, 188, 147, 165, 74, 57, 45, 10, 0, 10, 0, 14, 0, 58, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 83, 0, 62, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2625740472181593, y=-0.9606352694483054, z=0.09045437888826409, w=-0.007263205862148061)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.014444444444444444, z=0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.08, z=-0.02)>	COMP<195>
[1740780028.0523837]	Q_Header<(2621443, 18773, 257, 173, 250, 8, 58, 5, 41)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 98, 138, 251, 253, 253, 253, 253, 253, 253, 182, 253, 253, 253, 253, 232, 253, 201, 186, 95, 71, 0, 34, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2625740472181593, y=-0.9606352694483054, z=0.09045437888826409, w=-0.007263205862148061)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.014444444444444444, z=0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.08, z=-0.02)>	COMP<195>
[1740780028.0623298]	Q_Header<(2621443, 18774, 257, 173, 250, 8, 58, 6, 44)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 42, 98, 108, 253, 175, 253, 253, 245, 149, 253, 253, 253, 253, 253, 253, 253, 184, 253, 139, 79, 0, 61, 57, 43, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2625740472181593, y=-0.9606352694483054, z=0.09045437888826409, w=-0.007263205862148061)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.014444444444444444, z=0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.08, z=-0.02)>	COMP<195>
[1740780028.0723789]	Q_Header<(2621443, 18775, 257, 173, 250, 8, 58, 7, 43)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 181, 222, 253, 203, 253, 253, 207, 171, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 120, 0, 93, 69, 67, 42, 18, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2625740472181593, y=-0.9606352694483054, z=0.09045437888826409, w=-0.007263205862148061)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.014444444444444444, z=0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.08, z=-0.02)>	COMP<195>
[1740780028.0823958]	Q_Header<(2621443, 18776, 257, 173, 250, 8, 58, 8, 47)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 188, 253, 216, 132, 253, 253, 111, 186, 253, 216, 253, 253, 253, 253, 253, 253, 253, 253, 207, 43, 100, 43, 106, 56, 56, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 47, 0, 0, 0, 0, 0, 0, 0, 26, 13, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.26221151828361644, y=-0.960770835498698, z=0.09008943225945482, w=-0.006958126881827811)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.014444444444444444, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.09, z=0.01)>	COMP<190>
[1740780028.0924063]	Q_Header<(2621443, 18777, 257, 173, 250, 8, 58, 9, 63)>	Q_Data<(0, 0, 67, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 158, 253, 185, 253, 253, 250, 253, 253, 253, 228, 253, 253, 253, 102, 253, 253, 253, 253, 242, 129, 191, 191, 147, 76, 70, 39, 0, 0, 28, 34, 0, 0, 0, 0, 0, 0, 0, 56, 123, 71, 0, 0, 47, 85, 103, 125, 40, 0, 0, 0, 0, 0, 0, 12, 12, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.26221151828361644, y=-0.960770835498698, z=0.09008943225945482, w=-0.006958126881827811)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.014444444444444444, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.09, z=0.01)>	COMP<190>
[1740780028.1024046]	Q_Header<(2621443, 18778, 257, 173, 250, 8, 58, 10, 64)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 244, 223, 253, 253, 253, 253, 253, 253, 253, 196, 253, 253, 185, 230, 253, 253, 253, 203, 211, 253, 253, 236, 116, 153, 78, 0, 0, 70, 107, 82, 0, 0, 0, 0, 0, 52, 93, 253, 211, 8, 0, 78, 105, 126, 166, 79, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 65, 99, 0, 47, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.26221151828361644, y=-0.960770835498698, z=0.09008943225945482, w=-0.006958126881827811)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03, y=0.014444444444444444, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.09, z=0.01)>	COMP<190>
