[1740780073.0026953]	Q_Header<(2621443, 23268, 257, 173, 250, 8, 58, 0, 51)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 20, 120, 253, 253, 253, 253, 253, 253, 253, 253, 253, 139, 253, 209, 227, 159, 104, 49, 0, 6, 15, 0, 79, 90, 82, 147, 253, 253, 46, 37, 14, 0, 22, 48, 139, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 54, 121, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2889961798888621, y=-0.952558263891335, z=0.09484689832044177, w=-0.0108640591383775)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.015555555555555555, z=0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.02, z=0.01)>	COMP<165>
[1740780073.0127363]	Q_Header<(2621443, 23269, 257, 173, 250, 8, 58, 1, 51)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 32, 140, 253, 253, 253, 253, 253, 253, 253, 253, 253, 164, 253, 204, 211, 119, 127, 64, 24, 0, 0, 7, 35, 15, 52, 74, 253, 253, 108, 0, 0, 0, 0, 19, 126, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 39, 0, 14, 74, 91, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2880313988990022, y=-0.9528413155779452, z=0.09497284523984899, w=-0.010559320196975499)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.027777777777777776, z=0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.02, z=0.04)>	COMP<167>
[1740780073.0226793]	Q_Header<(2621443, 23270, 257, 173, 250, 8, 58, 2, 50)>	Q_Data<(0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 136, 253, 253, 253, 253, 253, 253, 253, 253, 253, 165, 253, 253, 214, 137, 110, 86, 52, 62, 53, 14, 16, 0, 75, 84, 237, 253, 43, 0, 0, 0, 0, 0, 73, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 71, 32, 95, 76, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2880313988990022, y=-0.9528413155779452, z=0.09497284523984899, w=-0.010559320196975499)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.027777777777777776, z=0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.02, z=0.04)>	COMP<167>
[1740780073.032663]	Q_Header<(2621443, 23271, 257, 173, 250, 8, 58, 3, 45)>	Q_Data<(0, 0, 49, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 129, 223, 253, 253, 253, 253, 253, 253, 253, 253, 197, 247, 253, 253, 112, 158, 103, 5, 94, 108, 0, 26, 0, 54, 57, 153, 172, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 65, 0, 100, 98, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2880313988990022, y=-0.9528413155779452, z=0.09497284523984899, w=-0.010559320196975499)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.027777777777777776, z=0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.02, z=0.04)>	COMP<167>
[1740780073.0437248]	Q_Header<(2621443, 23272, 257, 173, 250, 8, 58, 4, 47)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 167, 196, 253, 253, 227, 253, 253, 253, 253, 224, 193, 253, 253, 182, 253, 137, 89, 91, 109, 12, 18, 0, 51, 36, 72, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 33, 0, 54, 66, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.28723458854936257, y=-0.9530743944322773, z=0.09509381405862875, w=-0.010131946812408454)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.034444444444444444, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.01, z=-0.05)>	COMP<167>
[1740780073.0526628]	Q_Header<(2621443, 23273, 257, 173, 250, 8, 58, 5, 45)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 121, 131, 253, 253, 181, 242, 201, 161, 253, 190, 77, 253, 253, 253, 253, 253, 108, 91, 82, 29, 36, 0, 32, 0, 28, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 31, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.28723458854936257, y=-0.9530743944322773, z=0.09509381405862875, w=-0.010131946812408454)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.034444444444444444, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.01, z=-0.05)>	COMP<167>
[1740780073.0626478]	Q_Header<(2621443, 23274, 257, 173, 250, 8, 58, 6, 37)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 160, 253, 253, 253, 253, 151, 227, 193, 72, 253, 253, 253, 253, 253, 253, 229, 253, 209, 97, 5, 42, 70, 39, 27, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.28723458854936257, y=-0.9530743944322773, z=0.09509381405862875, w=-0.010131946812408454)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.034444444444444444, z=0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.01, z=-0.05)>	COMP<167>
[1740780073.0736992]	Q_Header<(2621443, 23275, 257, 173, 250, 8, 58, 7, 40)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 124, 185, 234, 144, 253, 253, 253, 214, 172, 226, 253, 238, 253, 253, 253, 253, 253, 253, 253, 158, 45, 0, 80, 49, 52, 95, 101, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2864358776506834, y=-0.9533010809772052, z=0.09527517686186167, w=-0.009704518335064706)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.03777777777777778, z=0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.01, z=0.01)>	COMP<164>
[1740780073.0827153]	Q_Header<(2621443, 23276, 257, 173, 250, 8, 58, 8, 51)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 96, 158, 199, 179, 253, 253, 253, 152, 117, 253, 253, 253, 253, 253, 218, 253, 253, 253, 253, 196, 69, 95, 89, 37, 46, 98, 117, 88, 4, 0, 20, 0, 0, 0, 0, 0, 0, 20, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2864358776506834, y=-0.9533010809772052, z=0.09527517686186167, w=-0.009704518335064706)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.03777777777777778, z=0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.01, z=0.01)>	COMP<164>
[1740780073.0940104]	Q_Header<(2621443, 23277, 257, 173, 250, 8, 58, 9, 62)>	Q_Data<(0, 0, 67, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 126, 181, 181, 253, 239, 253, 122, 166, 249, 253, 253, 253, 253, 66, 185, 253, 253, 253, 185, 96, 202, 220, 170, 87, 84, 32, 59, 0, 0, 50, 16, 0, 0, 0, 0, 0, 0, 75, 133, 136, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 63, 0, 30, 102, 88, 0, 66, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2864358776506834, y=-0.9533010809772052, z=0.09527517686186167, w=-0.009704518335064706)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.03777777777777778, z=0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.01, z=0.01)>	COMP<164>
[1740780073.1027057]	Q_Header<(2621443, 23278, 257, 173, 250, 8, 58, 10, 62)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 109, 214, 240, 147, 253, 253, 165, 182, 171, 253, 253, 253, 253, 95, 84, 253, 253, 253, 130, 171, 253, 253, 253, 253, 253, 207, 138, 18, 56, 102, 82, 0, 0, 0, 0, 0, 68, 210, 253, 253, 114, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 97, 197, 168, 33, 121, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2864358776506834, y=-0.9533010809772052, z=0.09527517686186167, w=-0.009704518335064706)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.03777777777777778, z=0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.01, z=0.01)>	COMP<164>
