[1740779358.4390597]	Q_Header<(2621443, 17304, 257, 173, 250, 8, 58, 0, 40)>	Q_Data<(0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 18, 23, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 59, 70, 115, 227, 253, 253, 253, 253, 253, 123, 177, 191, 196, 253, 253, 161, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9581564416491631, y=-0.2711084090582574, z=0.028990656078944677, w=-0.08715506711733263)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.051111111111111114, y=-0.09444444444444444, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.29, y=-0.04, z=0.08)>	COMP<308>
[1740779358.4473903]	Q_Header<(2621443, 17305, 257, 173, 250, 8, 58, 1, 36)>	Q_Data<(0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 33, 30, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 59, 20, 40, 16, 144, 252, 253, 253, 253, 253, 227, 253, 253, 244, 253, 253, 183, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9582442050403415, y=-0.2709328679091768, z=0.02807594486105459, w=-0.08703542906926923)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=-0.0811111111111111, z=-0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.28, y=-0.07, z=-0.12)>	COMP<308>
[1740779358.4573636]	Q_Header<(2621443, 17306, 257, 173, 250, 8, 58, 2, 33)>	Q_Data<(0, 0, 45, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 44, 0, 33, 87, 231, 253, 253, 253, 253, 253, 240, 253, 253, 249, 253, 253, 173, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9582442050403415, y=-0.2709328679091768, z=0.02807594486105459, w=-0.08703542906926923)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=-0.0811111111111111, z=-0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.28, y=-0.07, z=-0.12)>	COMP<308>
[1740779358.467358]	Q_Header<(2621443, 17307, 257, 173, 250, 8, 58, 3, 34)>	Q_Data<(0, 0, 57, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24, 28, 24, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 29, 52, 142, 253, 253, 253, 253, 253, 253, 206, 253, 253, 164, 214, 253, 94, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9582442050403415, y=-0.2709328679091768, z=0.02807594486105459, w=-0.08703542906926923)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=-0.0811111111111111, z=-0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.28, y=-0.07, z=-0.12)>	COMP<308>
[1740779358.4774563]	Q_Header<(2621443, 17308, 257, 173, 250, 8, 58, 4, 31)>	Q_Data<(0, 0, 58, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 84, 176, 171, 253, 253, 253, 253, 253, 253, 189, 205, 167, 62, 107, 97, 36, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.958373998445951, y=-0.27056884060061775, z=0.027526854750931338, w=-0.0869140602335393)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.058888888888888886, z=-0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.26, y=-0.09, z=0.07)>	COMP<312>
[1740779358.4873528]	Q_Header<(2621443, 17309, 257, 173, 250, 8, 58, 5, 34)>	Q_Data<(0, 0, 58, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 53, 102, 253, 249, 253, 253, 253, 231, 253, 253, 206, 90, 51, 0, 47, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.958373998445951, y=-0.27056884060061775, z=0.027526854750931338, w=-0.0869140602335393)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.058888888888888886, z=-0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.26, y=-0.09, z=0.07)>	COMP<312>
[1740779358.4973302]	Q_Header<(2621443, 17310, 257, 173, 250, 8, 58, 6, 29)>	Q_Data<(0, 0, 58, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 45, 34, 150, 76, 253, 253, 253, 253, 253, 253, 253, 253, 188, 58, 81, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.958373998445951, y=-0.27056884060061775, z=0.027526854750931338, w=-0.0869140602335393)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.058888888888888886, z=-0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.26, y=-0.09, z=0.07)>	COMP<312>
[1740779358.5077903]	Q_Header<(2621443, 17311, 257, 173, 250, 8, 58, 7, 30)>	Q_Data<(0, 0, 59, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 47, 41, 112, 197, 132, 253, 253, 253, 253, 253, 253, 253, 253, 68, 63, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9585079432586995, y=-0.27008390530563836, z=0.027038908485965605, w=-0.08709824471664315)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.04666666666666667, z=-0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.26, y=-0.08, z=-0.08)>	COMP<318>
[1740779358.5173588]	Q_Header<(2621443, 17312, 257, 173, 250, 8, 58, 8, 29)>	Q_Data<(0, 0, 60, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 135, 185, 111, 181, 253, 233, 253, 253, 253, 253, 253, 253, 253, 240, 63, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9585079432586995, y=-0.27008390530563836, z=0.027038908485965605, w=-0.08709824471664315)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.04666666666666667, z=-0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.26, y=-0.08, z=-0.08)>	COMP<318>
[1740779358.5288687]	Q_Header<(2621443, 17313, 257, 173, 250, 8, 58, 9, 35)>	Q_Data<(0, 0, 61, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 24, 31, 62, 50, 210, 253, 230, 227, 253, 229, 253, 253, 253, 253, 253, 207, 253, 238, 90, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9585079432586995, y=-0.27008390530563836, z=0.027038908485965605, w=-0.08709824471664315)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.04666666666666667, z=-0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.26, y=-0.08, z=-0.08)>	COMP<318>
[1740779358.537588]	Q_Header<(2621443, 17314, 257, 173, 250, 8, 58, 10, 35)>	Q_Data<(0, 0, 61, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 52, 69, 106, 83, 253, 253, 253, 232, 253, 253, 232, 87, 151, 141, 216, 138, 253, 221, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9585079432586995, y=-0.27008390530563836, z=0.027038908485965605, w=-0.08709824471664315)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.04666666666666667, z=-0.017777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.26, y=-0.08, z=-0.08)>	COMP<318>
