[1740779723.0700598]	Q_Header<(2621443, 53804, 257, 173, 250, 8, 58, 0, 38)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 191, 191, 174, 253, 253, 253, 253, 116, 76, 106, 194, 252, 241, 253, 253, 151, 87, 49, 67, 0, 0, 0, 0, 0, 10, 114, 158, 154, 123, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7102194104245517, y=-0.6983173147703073, z=0.044068272114689444, w=0.07745517633454418)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=-0.02666666666666667, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.14, z=0.09)>	COMP<192>
[1740779723.080126]	Q_Header<(2621443, 53805, 257, 173, 250, 8, 58, 1, 41)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 232, 171, 235, 253, 194, 253, 253, 190, 114, 65, 25, 113, 151, 193, 253, 253, 217, 120, 53, 81, 19, 0, 0, 0, 0, 50, 224, 253, 232, 169, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7101871818279383, y=-0.69834665988959, z=0.04455454131440314, w=0.07720752707221913)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=-0.025555555555555557, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.16, z=0.15)>	COMP<186>
[1740779723.0902727]	Q_Header<(2621443, 53806, 257, 173, 250, 8, 58, 2, 43)>	Q_Data<(0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 186, 253, 253, 253, 164, 253, 235, 210, 80, 102, 42, 30, 18, 157, 253, 253, 221, 107, 57, 67, 27, 0, 0, 15, 58, 123, 253, 253, 253, 188, 58, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7101871818279383, y=-0.69834665988959, z=0.04455454131440314, w=0.07720752707221913)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=-0.025555555555555557, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.16, z=0.15)>	COMP<186>
[1740779723.1000931]	Q_Header<(2621443, 53807, 257, 173, 250, 8, 58, 3, 42)>	Q_Data<(0, 0, 54, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 140, 238, 161, 242, 253, 253, 237, 241, 111, 114, 72, 91, 80, 144, 253, 253, 90, 77, 67, 48, 24, 0, 15, 0, 90, 182, 253, 253, 253, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7101871818279383, y=-0.69834665988959, z=0.04455454131440314, w=0.07720752707221913)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=-0.025555555555555557, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.16, z=0.15)>	COMP<186>
[1740779723.11014]	Q_Header<(2621443, 53808, 257, 173, 250, 8, 58, 4, 41)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 108, 233, 253, 253, 253, 244, 253, 172, 111, 76, 86, 91, 195, 253, 250, 253, 178, 93, 0, 0, 0, 20, 0, 101, 192, 253, 253, 192, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7101486395569687, y=-0.6983687781530585, z=0.04492216576827924, w=0.07714893686291435)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.017777777777777778, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.16, z=0.18)>	COMP<186>
[1740779723.1201777]	Q_Header<(2621443, 53809, 257, 173, 250, 8, 58, 5, 40)>	Q_Data<(0, 0, 61, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 167, 253, 253, 253, 253, 186, 248, 212, 107, 112, 66, 99, 236, 253, 253, 253, 241, 106, 54, 0, 11, 35, 55, 137, 167, 253, 207, 83, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7101486395569687, y=-0.6983687781530585, z=0.04492216576827924, w=0.07714893686291435)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.017777777777777778, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.16, z=0.18)>	COMP<186>
[1740779723.130226]	Q_Header<(2621443, 53810, 257, 173, 250, 8, 58, 6, 49)>	Q_Data<(0, 0, 61, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 210, 253, 253, 253, 180, 79, 197, 207, 119, 84, 129, 100, 222, 253, 253, 253, 250, 100, 84, 0, 0, 20, 72, 144, 127, 197, 120, 47, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 11, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7101486395569687, y=-0.6983687781530585, z=0.04492216576827924, w=0.07714893686291435)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.017777777777777778, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.16, z=0.18)>	COMP<186>
[1740779723.140268]	Q_Header<(2621443, 53811, 257, 173, 250, 8, 58, 7, 49)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 204, 253, 253, 253, 253, 157, 140, 154, 157, 155, 236, 129, 153, 253, 141, 253, 201, 123, 76, 41, 28, 0, 67, 117, 69, 107, 72, 32, 30, 8, 0, 0, 0, 0, 0, 0, 0, 52, 98, 0, 65, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7101486395569687, y=-0.6983687781530585, z=0.04492216576827924, w=0.07714893686291435)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.017777777777777778, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.16, z=0.18)>	COMP<186>
[1740779723.150156]	Q_Header<(2621443, 53812, 257, 173, 250, 8, 58, 8, 51)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 138, 244, 253, 253, 253, 253, 253, 125, 186, 243, 253, 151, 87, 211, 253, 253, 233, 130, 44, 76, 48, 42, 56, 71, 0, 40, 33, 0, 0, 21, 0, 0, 0, 0, 58, 76, 0, 97, 105, 91, 106, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7101321782312806, y=-0.6983525898858884, z=0.045226295149925134, w=0.07726921681485184)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=-0.0077777777777777776, z=-0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.16, z=0.19)>	COMP<186>
[1740779723.160151]	Q_Header<(2621443, 53813, 257, 173, 250, 8, 58, 9, 61)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 58, 253, 253, 253, 230, 253, 253, 170, 228, 253, 253, 140, 71, 194, 253, 253, 215, 109, 76, 114, 119, 62, 10, 10, 0, 19, 0, 0, 66, 72, 104, 23, 0, 0, 136, 174, 95, 135, 211, 152, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7101321782312806, y=-0.6983525898858884, z=0.045226295149925134, w=0.07726921681485184)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=-0.0077777777777777776, z=-0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.16, z=0.19)>	COMP<186>
[1740779723.1701784]	Q_Header<(2621443, 53814, 257, 173, 250, 8, 58, 10, 64)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 205, 122, 253, 253, 231, 221, 253, 253, 211, 253, 253, 253, 124, 77, 139, 192, 225, 142, 120, 129, 169, 176, 76, 0, 0, 8, 0, 16, 19, 171, 183, 189, 99, 0, 0, 185, 242, 125, 203, 253, 194, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7101321782312806, y=-0.6983525898858884, z=0.045226295149925134, w=0.07726921681485184)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=-0.0077777777777777776, z=-0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.16, z=0.19)>	COMP<186>
