[1740779575.5989716]	Q_Header<(2621443, 39054, 257, 173, 250, 8, 58, 0, 32)>	Q_Data<(0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 10, 0, 13, 0, 0, 0, 10, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 94, 213, 253, 253, 253, 253, 253, 74, 95, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8787447455095916, y=0.4654045068077124, z=-0.06866623870933462, w=0.08056838675228595)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.03666666666666667, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=0.18, z=-0.03)>	COMP<21>
[1740779575.6090894]	Q_Header<(2621443, 39055, 257, 173, 250, 8, 58, 1, 35)>	Q_Data<(0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 0, 18, 10, 9, 17, 0, 0, 13, 12, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 108, 253, 253, 253, 253, 253, 54, 104, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8784386753522962, y=0.4659533662895657, z=-0.06921549873884825, w=0.08026312243526053)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.03666666666666667, z=0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=0.17, z=-0.1)>	COMP<21>
[1740779575.618943]	Q_Header<(2621443, 39056, 257, 173, 250, 8, 58, 2, 30)>	Q_Data<(0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 2, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 57, 0, 253, 253, 253, 184, 175, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8784386753522962, y=0.4659533662895657, z=-0.06921549873884825, w=0.08026312243526053)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.03666666666666667, z=0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=0.17, z=-0.1)>	COMP<21>
[1740779575.6288636]	Q_Header<(2621443, 39057, 257, 173, 250, 8, 58, 3, 28)>	Q_Data<(0, 0, 55, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 0, 25, 0, 0, 0, 0, 0, 0, 10, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 253, 253, 253, 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8784386753522962, y=0.4659533662895657, z=-0.06921549873884825, w=0.08026312243526053)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.03666666666666667, z=0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=0.17, z=-0.1)>	COMP<21>
[1740779575.638937]	Q_Header<(2621443, 39058, 257, 173, 250, 8, 58, 4, 40)>	Q_Data<(0, 0, 60, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 22, 0, 7, 0, 0, 0, 15, 0, 15, 0, 9, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 181, 227, 205, 218, 216, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8784386753522962, y=0.4659533662895657, z=-0.06921549873884825, w=0.08026312243526053)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.03666666666666667, z=0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=0.17, z=-0.1)>	COMP<21>
[1740779575.6490219]	Q_Header<(2621443, 39059, 257, 173, 250, 8, 58, 5, 35)>	Q_Data<(0, 0, 59, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 0, 0, 0, 0, 0, 17, 9, 20, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 85, 231, 171, 253, 253, 253, 114, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8782534977267054, y=0.46631848791660496, z=-0.06945948157710687, w=0.07995775120036028)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.027777777777777776, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=0.16, z=-0.03)>	COMP<11>
[1740779575.6593828]	Q_Header<(2621443, 39060, 257, 173, 250, 8, 58, 6, 43)>	Q_Data<(0, 0, 60, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 0, 0, 29, 29, 0, 0, 0, 0, 0, 36, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 130, 170, 155, 180, 171, 253, 253, 253, 218, 225, 110, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8782534977267054, y=0.46631848791660496, z=-0.06945948157710687, w=0.07995775120036028)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.027777777777777776, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=0.16, z=-0.03)>	COMP<11>
[1740779575.6704402]	Q_Header<(2621443, 39061, 257, 173, 250, 8, 58, 7, 52)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 19, 14, 16, 16, 28, 0, 29, 57, 11, 38, 23, 81, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 29, 87, 0, 0, 0, 140, 227, 199, 253, 253, 248, 253, 233, 253, 253, 253, 253, 253, 191, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8782534977267054, y=0.46631848791660496, z=-0.06945948157710687, w=0.07995775120036028)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.027777777777777776, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=0.16, z=-0.03)>	COMP<11>
[1740779575.6790998]	Q_Header<(2621443, 39062, 257, 173, 250, 8, 58, 8, 58)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 11, 0, 0, 0, 20, 0, 0, 0, 0, 15, 34, 43, 48, 67, 9, 85, 115, 173, 132, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 69, 22, 0, 0, 0, 0, 164, 216, 0, 45, 0, 210, 253, 253, 253, 253, 253, 253, 253, 252, 253, 234, 253, 253, 207, 0, 20, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8780424912227258, y=0.46673091410956374, z=-0.0696403783181656, w=0.07971107281641039)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.024444444444444446, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=0.16, z=-0.11)>	COMP<24>
[1740779575.6893578]	Q_Header<(2621443, 39063, 257, 173, 250, 8, 58, 9, 60)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 14, 0, 0, 0, 5, 11, 21, 31, 56, 89, 91, 76, 86, 181, 209, 253, 218, 105, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 160, 147, 15, 0, 96, 30, 79, 221, 253, 35, 0, 0, 233, 253, 253, 189, 253, 253, 253, 253, 253, 253, 73, 233, 253, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8780424912227258, y=0.46673091410956374, z=-0.0696403783181656, w=0.07971107281641039)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.024444444444444446, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=0.16, z=-0.11)>	COMP<24>
[1740779575.6991215]	Q_Header<(2621443, 39064, 257, 173, 250, 8, 58, 10, 59)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 19, 0, 0, 0, 0, 29, 59, 79, 42, 93, 153, 143, 113, 253, 253, 253, 253, 126, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 229, 213, 155, 74, 77, 104, 138, 229, 237, 0, 0, 72, 219, 253, 248, 0, 253, 253, 253, 253, 253, 129, 71, 164, 234, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8780424912227258, y=0.46673091410956374, z=-0.0696403783181656, w=0.07971107281641039)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.024444444444444446, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=0.16, z=-0.11)>	COMP<24>
