[1740780400.4649706]	Q_Header<(2621443, 56018, 257, 173, 250, 8, 58, 0, 21)>	Q_Data<(0, 0, 54, 0, 50, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 177, 227, 69, 71, 52, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.38390146587309565, y=-0.9186170052235234, z=0.09197766439916616, w=-0.0173945815220719)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03111111111111111, y=-0.023333333333333334, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.05, z=-0.21)>	COMP<103>
[1740780400.475086]	Q_Header<(2621443, 56019, 257, 173, 250, 8, 58, 1, 33)>	Q_Data<(0, 0, 19, 78, 81, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 163, 215, 78, 68, 50, 0, 28, 0, 0, 0, 0, 11, 0, 12, 0, 0, 8, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.384405115694995, y=-0.9184706543312615, z=0.09130994809141196, w=-0.017517349667269543)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.034444444444444444, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.09, z=-0.09)>	COMP<105>
[1740780400.485026]	Q_Header<(2621443, 56020, 257, 173, 250, 8, 58, 2, 30)>	Q_Data<(0, 0, 0, 64, 37, 84, 43, 46, 0, 0, 0, 0, 0, 0, 0, 0, 119, 133, 154, 75, 49, 42, 0, 21, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.384405115694995, y=-0.9184706543312615, z=0.09130994809141196, w=-0.017517349667269543)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.034444444444444444, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.09, z=-0.09)>	COMP<105>
[1740780400.4949877]	Q_Header<(2621443, 56021, 257, 173, 250, 8, 58, 3, 28)>	Q_Data<(0, 0, 0, 19, 0, 58, 0, 0, 0, 0, 0, 55, 39, 0, 0, 0, 126, 96, 78, 48, 41, 3, 13, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.384405115694995, y=-0.9184706543312615, z=0.09130994809141196, w=-0.017517349667269543)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.034444444444444444, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.09, z=-0.09)>	COMP<105>
[1740780400.5049624]	Q_Header<(2621443, 56022, 257, 173, 250, 8, 58, 4, 23)>	Q_Data<(0, 0, 0, 79, 59, 0, 0, 0, 0, 0, 0, 61, 77, 0, 0, 0, 103, 53, 0, 56, 77, 25, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.384405115694995, y=-0.9184706543312615, z=0.09130994809141196, w=-0.017517349667269543)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.034444444444444444, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.09, z=-0.09)>	COMP<105>
[1740780400.5164087]	Q_Header<(2621443, 56023, 257, 173, 250, 8, 58, 5, 40)>	Q_Data<(0, 0, 0, 31, 16, 0, 0, 59, 0, 0, 0, 38, 72, 0, 0, 0, 62, 26, 5, 86, 110, 53, 25, 0, 0, 0, 0, 0, 0, 8, 0, 9, 3, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.38502188795697995, y=-0.9183028383501527, z=0.09033487542427557, w=-0.017822826772897614)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03777777777777778, y=-0.034444444444444444, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.12, z=-0.07)>	COMP<102>
[1740780400.5280042]	Q_Header<(2621443, 56024, 257, 173, 250, 8, 58, 6, 38)>	Q_Data<(0, 0, 0, 78, 0, 0, 0, 62, 0, 0, 0, 0, 73, 0, 0, 0, 50, 47, 22, 93, 126, 85, 55, 0, 0, 0, 0, 0, 0, 0, 18, 18, 0, 21, 0, 23, 22, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.38502188795697995, y=-0.9183028383501527, z=0.09033487542427557, w=-0.017822826772897614)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03777777777777778, y=-0.034444444444444444, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.12, z=-0.07)>	COMP<102>
[1740780400.5352256]	Q_Header<(2621443, 56025, 257, 173, 250, 8, 58, 7, 41)>	Q_Data<(0, 0, 63, 79, 55, 12, 43, 0, 0, 0, 0, 0, 103, 0, 0, 0, 44, 32, 67, 95, 151, 112, 74, 0, 0, 0, 0, 0, 0, 0, 11, 8, 0, 27, 12, 0, 14, 0, 0, 17, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.38502188795697995, y=-0.9183028383501527, z=0.09033487542427557, w=-0.017822826772897614)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03777777777777778, y=-0.034444444444444444, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.12, z=-0.07)>	COMP<102>
[1740780400.5450556]	Q_Header<(2621443, 56026, 257, 173, 250, 8, 58, 8, 32)>	Q_Data<(0, 0, 11, 34, 67, 75, 87, 0, 0, 0, 0, 0, 69, 0, 0, 0, 28, 37, 73, 79, 167, 132, 71, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3854999439667129, y=-0.9181563738269889, z=0.08972212122087839, w=-0.018127530614014207)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.034444444444444444, y=-0.03888888888888889, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.15, z=-0.13)>	COMP<102>
[1740780400.555001]	Q_Header<(2621443, 56027, 257, 173, 250, 8, 58, 9, 25)>	Q_Data<(0, 0, 43, 54, 61, 49, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 37, 55, 155, 204, 134, 48, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3854999439667129, y=-0.9181563738269889, z=0.08972212122087839, w=-0.018127530614014207)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.034444444444444444, y=-0.03888888888888889, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.15, z=-0.13)>	COMP<102>
[1740780400.565351]	Q_Header<(2621443, 56028, 257, 173, 250, 8, 58, 10, 33)>	Q_Data<(0, 0, 77, 59, 75, 23, 75, 39, 14, 0, 0, 0, 0, 0, 0, 0, 52, 49, 138, 234, 253, 171, 53, 46, 25, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3854999439667129, y=-0.9181563738269889, z=0.08972212122087839, w=-0.018127530614014207)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.034444444444444444, y=-0.03888888888888889, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.15, z=-0.13)>	COMP<102>
