[1740779485.6683793]	Q_Header<(2621443, 30054, 257, 173, 250, 8, 58, 0, 58)>	Q_Data<(0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 13, 60, 182, 253, 253, 253, 253, 253, 156, 154, 161, 201, 253, 253, 253, 253, 253, 209, 253, 253, 253, 223, 253, 151, 102, 115, 45, 0, 57, 149, 117, 30, 79, 46, 147, 253, 253, 213, 111, 116, 139, 245, 253, 198, 46, 116, 185, 137, 126, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.18065813208620635, y=-0.978117305680251, z=0.10314602811678673, w=0.0031737239420549764)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06666666666666667, y=0.04888888888888889, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=0.08, z=0.11)>	COMP<91>
[1740779485.6784918]	Q_Header<(2621443, 30055, 257, 173, 250, 8, 58, 1, 61)>	Q_Data<(0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 11, 25, 105, 176, 253, 253, 253, 253, 139, 179, 192, 253, 225, 171, 138, 253, 253, 229, 196, 253, 253, 253, 253, 212, 73, 82, 29, 0, 141, 253, 198, 85, 159, 109, 185, 253, 253, 168, 75, 57, 103, 150, 179, 120, 16, 165, 118, 178, 179, 117, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1805429872650123, y=-0.9780327342577948, z=0.10412655046454056, w=0.0037231650517801722)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.05444444444444444, y=0.052222222222222225, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.1, z=0.08)>	COMP<91>
[1740779485.6883965]	Q_Header<(2621443, 30056, 257, 173, 250, 8, 58, 2, 62)>	Q_Data<(0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 27, 49, 88, 161, 219, 253, 253, 115, 108, 248, 253, 253, 253, 175, 253, 253, 253, 234, 224, 253, 253, 253, 217, 49, 59, 0, 0, 204, 253, 253, 118, 196, 175, 233, 197, 192, 94, 38, 0, 0, 77, 76, 0, 113, 253, 253, 253, 253, 253, 108, 24, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1805429872650123, y=-0.9780327342577948, z=0.10412655046454056, w=0.0037231650517801722)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.05444444444444444, y=0.052222222222222225, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.1, z=0.08)>	COMP<91>
[1740779485.6983998]	Q_Header<(2621443, 30057, 257, 173, 250, 8, 58, 3, 63)>	Q_Data<(0, 0, 50, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 7, 17, 71, 129, 205, 207, 99, 125, 253, 253, 253, 253, 216, 253, 253, 253, 233, 253, 253, 253, 253, 171, 39, 31, 0, 49, 215, 253, 248, 169, 214, 235, 244, 120, 97, 37, 35, 0, 0, 5, 41, 0, 160, 253, 232, 253, 253, 253, 199, 125, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1805429872650123, y=-0.9780327342577948, z=0.10412655046454056, w=0.0037231650517801722)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.05444444444444444, y=0.052222222222222225, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.1, z=0.08)>	COMP<91>
[1740779485.7084782]	Q_Header<(2621443, 30058, 257, 173, 250, 8, 58, 4, 72)>	Q_Data<(0, 0, 60, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 12, 0, 23, 25, 59, 113, 113, 63, 155, 253, 253, 253, 253, 175, 165, 253, 253, 242, 253, 253, 253, 253, 76, 38, 20, 0, 83, 194, 253, 156, 247, 199, 249, 202, 66, 32, 82, 77, 14, 0, 0, 22, 0, 117, 223, 149, 253, 253, 187, 253, 245, 55, 0, 0, 0, 0, 0, 0, 0, 28, 103, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.18047930174319726, y=-0.9779573391380622, z=0.10491847132112145, w=0.0043334563489235735)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.044444444444444446, y=0.057777777777777775, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.11, z=0.15)>	COMP<91>
[1740779485.7184432]	Q_Header<(2621443, 30059, 257, 173, 250, 8, 58, 5, 71)>	Q_Data<(0, 0, 60, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 18, 19, 0, 0, 21, 0, 57, 56, 33, 110, 167, 233, 253, 208, 189, 126, 209, 185, 253, 253, 253, 253, 253, 95, 34, 71, 77, 93, 231, 237, 93, 253, 253, 206, 155, 24, 38, 21, 60, 15, 0, 53, 54, 0, 38, 98, 238, 226, 253, 253, 253, 253, 96, 0, 0, 0, 0, 0, 0, 0, 132, 200, 162, 50, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.18047930174319726, y=-0.9779573391380622, z=0.10491847132112145, w=0.0043334563489235735)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.044444444444444446, y=0.057777777777777775, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.11, z=0.15)>	COMP<91>
[1740779485.728506]	Q_Header<(2621443, 30060, 257, 173, 250, 8, 58, 6, 70)>	Q_Data<(0, 0, 61, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 24, 9, 0, 0, 0, 15, 31, 41, 23, 61, 78, 126, 171, 150, 205, 124, 248, 152, 253, 253, 253, 253, 253, 220, 113, 201, 203, 77, 200, 243, 72, 253, 253, 159, 81, 0, 70, 125, 141, 46, 22, 197, 253, 172, 0, 12, 233, 253, 253, 253, 253, 253, 158, 59, 0, 0, 0, 0, 0, 26, 184, 249, 217, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.18047930174319726, y=-0.9779573391380622, z=0.10491847132112145, w=0.0043334563489235735)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.044444444444444446, y=0.057777777777777775, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.11, z=0.15)>	COMP<91>
[1740779485.7385764]	Q_Header<(2621443, 30061, 257, 173, 250, 8, 58, 7, 68)>	Q_Data<(0, 0, 62, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 11, 0, 0, 0, 0, 0, 0, 26, 0, 15, 27, 53, 65, 104, 148, 114, 222, 210, 253, 253, 253, 253, 253, 253, 205, 253, 253, 183, 182, 156, 199, 253, 253, 198, 73, 35, 118, 253, 253, 242, 94, 253, 253, 253, 113, 0, 131, 253, 253, 253, 253, 194, 197, 187, 89, 15, 0, 0, 85, 129, 202, 225, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.18047930174319726, y=-0.9779573391380622, z=0.10491847132112145, w=0.0043334563489235735)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.044444444444444446, y=0.057777777777777775, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.11, z=0.15)>	COMP<91>
[1740779485.7485032]	Q_Header<(2621443, 30062, 257, 173, 250, 8, 58, 8, 64)>	Q_Data<(0, 0, 62, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 20, 0, 19, 0, 7, 0, 34, 40, 28, 50, 80, 81, 146, 193, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 243, 253, 253, 253, 253, 131, 0, 159, 253, 253, 253, 219, 253, 253, 253, 188, 82, 96, 162, 253, 253, 253, 253, 228, 225, 142, 79, 51, 156, 241, 196, 198, 165, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1803006588387123, y=-0.9779204996323116, z=0.10553142827763493, w=0.005127032952759592)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.023333333333333334, y=0.06, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.13, z=0.1)>	COMP<89>
[1740779485.7581358]	Q_Header<(2621443, 30063, 257, 173, 250, 8, 58, 9, 57)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 15, 5, 0, 0, 0, 0, 51, 70, 142, 253, 253, 253, 252, 253, 253, 252, 253, 253, 253, 253, 253, 253, 253, 253, 253, 167, 83, 185, 253, 253, 253, 253, 253, 253, 253, 225, 185, 91, 128, 253, 253, 253, 253, 216, 139, 111, 123, 83, 253, 253, 253, 155, 94, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1803006588387123, y=-0.9779204996323116, z=0.10553142827763493, w=0.005127032952759592)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.023333333333333334, y=0.06, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.13, z=0.1)>	COMP<89>
[1740779485.768266]	Q_Header<(2621443, 30064, 257, 173, 250, 8, 58, 10, 52)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 78, 146, 200, 172, 153, 189, 218, 184, 232, 192, 216, 253, 253, 253, 253, 253, 253, 171, 58, 150, 253, 253, 253, 253, 230, 253, 253, 253, 253, 194, 205, 220, 253, 253, 253, 253, 253, 194, 178, 73, 253, 253, 253, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1803006588387123, y=-0.9779204996323116, z=0.10553142827763493, w=0.005127032952759592)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.023333333333333334, y=0.06, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.15, y=0.13, z=0.1)>	COMP<89>
