[1740779788.030927]	Q_Header<(2621443, 60304, 257, 173, 250, 8, 58, 0, 88)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 176, 199, 83, 253, 253, 253, 233, 210, 239, 207, 248, 253, 253, 253, 253, 198, 162, 253, 216, 37, 201, 161, 253, 229, 69, 102, 215, 204, 163, 127, 103, 96, 225, 253, 253, 253, 133, 81, 0, 144, 173, 49, 143, 184, 142, 0, 0, 90, 0, 81, 143, 131, 159, 32, 148, 75, 0, 0, 0, 0, 93, 209, 253, 253, 249, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 172, 248, 253, 253, 253, 253, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7336347207854412, y=-0.6735157357626742, z=0.04211380676721751, w=0.0798941638525909)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.034444444444444444, y=0.0022222222222222222, z=-0.03777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.15, z=0.0)>	COMP<175>
[1740779788.0410266]	Q_Header<(2621443, 60305, 257, 173, 250, 8, 58, 1, 85)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 123, 142, 111, 253, 253, 244, 196, 248, 253, 253, 218, 248, 215, 253, 253, 239, 234, 253, 253, 49, 69, 253, 253, 172, 38, 76, 175, 168, 142, 115, 34, 71, 231, 253, 253, 253, 108, 88, 49, 121, 141, 91, 121, 146, 104, 0, 32, 74, 22, 164, 222, 145, 146, 29, 70, 73, 0, 0, 0, 0, 62, 180, 253, 253, 203, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 0, 253, 253, 253, 253, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7332253784739136, y=-0.6738983937176791, z=0.04242001482055856, w=0.08026233020004964)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03666666666666667, y=0.0044444444444444444, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.16, z=0.07)>	COMP<171>
[1740779788.0509396]	Q_Header<(2621443, 60306, 257, 173, 250, 8, 58, 2, 84)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 102, 159, 117, 176, 210, 174, 248, 251, 252, 253, 190, 149, 253, 253, 253, 253, 253, 253, 253, 93, 111, 253, 253, 123, 28, 37, 166, 183, 174, 102, 76, 75, 186, 253, 253, 212, 146, 29, 135, 116, 128, 96, 102, 63, 12, 0, 49, 0, 94, 233, 253, 253, 253, 194, 53, 101, 76, 68, 65, 0, 10, 99, 253, 252, 97, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 251, 253, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7332253784739136, y=-0.6738983937176791, z=0.04242001482055856, w=0.08026233020004964)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03666666666666667, y=0.0044444444444444444, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.16, z=0.07)>	COMP<171>
[1740779788.0609024]	Q_Header<(2621443, 60307, 257, 173, 250, 8, 58, 3, 90)>	Q_Data<(0, 0, 57, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 213, 141, 135, 175, 245, 253, 247, 180, 244, 129, 253, 253, 253, 225, 253, 253, 253, 231, 203, 132, 253, 253, 74, 59, 71, 166, 203, 206, 113, 122, 131, 124, 250, 253, 74, 197, 75, 207, 169, 148, 67, 85, 0, 0, 0, 26, 0, 96, 253, 253, 253, 253, 253, 116, 104, 147, 151, 91, 0, 0, 0, 147, 82, 53, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 177, 142, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7332253784739136, y=-0.6738983937176791, z=0.04242001482055856, w=0.08026233020004964)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03666666666666667, y=0.0044444444444444444, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.16, z=0.07)>	COMP<171>
[1740779788.0708876]	Q_Header<(2621443, 60308, 257, 173, 250, 8, 58, 4, 88)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 235, 180, 111, 142, 202, 253, 253, 130, 159, 235, 253, 253, 253, 93, 253, 253, 253, 230, 253, 182, 232, 247, 31, 151, 223, 195, 253, 249, 215, 177, 156, 68, 69, 87, 15, 166, 142, 253, 200, 190, 0, 35, 0, 0, 57, 0, 0, 48, 226, 253, 206, 253, 253, 114, 60, 202, 215, 116, 0, 0, 0, 46, 0, 0, 0, 29, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 130, 68, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7332253784739136, y=-0.6738983937176791, z=0.04242001482055856, w=0.08026233020004964)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03666666666666667, y=0.0044444444444444444, z=-0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.16, z=0.07)>	COMP<171>
[1740779788.081]	Q_Header<(2621443, 60309, 257, 173, 250, 8, 58, 5, 79)>	Q_Data<(0, 0, 61, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 115, 213, 210, 62, 89, 85, 253, 253, 154, 76, 253, 253, 253, 253, 173, 253, 253, 151, 247, 253, 221, 145, 113, 9, 227, 253, 253, 253, 253, 253, 250, 175, 129, 49, 96, 132, 203, 194, 253, 212, 243, 119, 14, 0, 40, 0, 71, 81, 0, 155, 253, 30, 253, 231, 90, 23, 182, 197, 97, 60, 37, 69, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7328064871733797, y=-0.674272302499111, z=0.04278671893291181, w=0.08075153944114455)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.034444444444444444, y=0.006666666666666667, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.14, z=0.05)>	COMP<170>
[1740779788.090885]	Q_Header<(2621443, 60310, 257, 173, 250, 8, 58, 6, 72)>	Q_Data<(0, 0, 61, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 210, 245, 119, 201, 194, 253, 253, 210, 148, 247, 253, 253, 212, 198, 253, 243, 253, 250, 253, 198, 183, 222, 0, 253, 253, 253, 253, 253, 253, 253, 221, 253, 88, 153, 233, 253, 190, 253, 200, 253, 151, 63, 74, 190, 181, 116, 118, 0, 121, 139, 80, 208, 157, 37, 0, 136, 155, 122, 102, 54, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7328064871733797, y=-0.674272302499111, z=0.04278671893291181, w=0.08075153944114455)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.034444444444444444, y=0.006666666666666667, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.14, z=0.05)>	COMP<170>
[1740779788.1008773]	Q_Header<(2621443, 60311, 257, 173, 250, 8, 58, 7, 68)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 76, 218, 248, 193, 253, 227, 253, 253, 220, 132, 210, 239, 190, 126, 208, 219, 166, 253, 248, 199, 127, 225, 253, 85, 253, 253, 253, 253, 253, 253, 253, 253, 253, 136, 253, 253, 253, 154, 199, 176, 249, 146, 82, 121, 253, 253, 175, 68, 99, 206, 124, 0, 90, 49, 0, 0, 93, 149, 149, 47, 71, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7328064871733797, y=-0.674272302499111, z=0.04278671893291181, w=0.08075153944114455)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.034444444444444444, y=0.006666666666666667, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.09, y=-0.14, z=0.05)>	COMP<170>
[1740779788.1109793]	Q_Header<(2621443, 60312, 257, 173, 250, 8, 58, 8, 74)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 68, 173, 201, 232, 253, 162, 253, 253, 179, 98, 152, 178, 62, 132, 207, 209, 136, 240, 200, 111, 85, 200, 253, 136, 229, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 220, 253, 191, 146, 176, 105, 116, 59, 253, 253, 253, 134, 225, 253, 178, 59, 0, 0, 0, 0, 74, 159, 218, 253, 150, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7325998906267817, y=-0.6744337908377853, z=0.04309052093497524, w=0.08111515909714177)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.023333333333333334, y=0.0044444444444444444, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.13, z=-0.03)>	COMP<170>
[1740779788.1209075]	Q_Header<(2621443, 60313, 257, 173, 250, 8, 58, 9, 72)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 48, 99, 138, 219, 251, 222, 253, 253, 117, 55, 62, 54, 176, 224, 181, 191, 119, 86, 89, 101, 69, 141, 204, 135, 204, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 220, 135, 85, 85, 152, 140, 253, 253, 253, 242, 253, 253, 179, 96, 0, 0, 0, 0, 0, 209, 253, 253, 253, 253, 0, 49, 31, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7325998906267817, y=-0.6744337908377853, z=0.04309052093497524, w=0.08111515909714177)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.023333333333333334, y=0.0044444444444444444, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.13, z=-0.03)>	COMP<170>
[1740779788.1410582]	Q_Header<(2621443, 60314, 257, 173, 250, 8, 58, 10, 81)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 22, 72, 77, 207, 196, 253, 253, 247, 91, 52, 122, 133, 211, 251, 101, 209, 170, 252, 235, 211, 66, 67, 126, 103, 193, 178, 253, 253, 247, 253, 253, 253, 253, 253, 253, 216, 253, 253, 240, 123, 0, 46, 160, 202, 173, 253, 253, 233, 253, 253, 121, 144, 20, 0, 0, 0, 0, 253, 253, 253, 253, 253, 94, 114, 126, 126, 82, 0, 13, 142, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7324344017918935, y=-0.6745720840503339, z=0.043274665905871035, w=0.0813612547990495)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.025555555555555557, y=0.008888888888888889, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.11, y=-0.14, z=0.03)>	COMP<174>
