[1740779460.6981664]	Q_Header<(2621443, 27554, 257, 173, 250, 8, 58, 0, 55)>	Q_Data<(0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 10, 0, 0, 0, 0, 11, 0, 0, 28, 38, 29, 23, 19, 46, 43, 0, 0, 0, 0, 0, 7, 0, 27, 40, 141, 240, 253, 253, 253, 253, 253, 250, 253, 217, 253, 253, 200, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 251, 124, 97, 0, 122, 177, 118, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.612134248520664, y=-0.7853556063132301, z=0.08203294745356192, w=-0.0421761656922703)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=0.01888888888888889, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.08, z=0.0)>	COMP<205>
[1740779460.7083046]	Q_Header<(2621443, 27555, 257, 173, 250, 8, 58, 1, 52)>	Q_Data<(0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 0, 0, 0, 0, 0, 0, 0, 23, 48, 42, 0, 23, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 164, 253, 253, 253, 253, 253, 237, 200, 187, 253, 253, 181, 222, 253, 253, 253, 253, 210, 253, 253, 253, 253, 253, 253, 253, 253, 141, 119, 23, 0, 107, 133, 99, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6119931441248981, y=-0.7853922188689727, z=0.08270177623309434, w=-0.042235888674023093)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=0.021111111111111112, z=0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.04, z=-0.03)>	COMP<205>
[1740779460.7182574]	Q_Header<(2621443, 27556, 257, 173, 250, 8, 58, 2, 59)>	Q_Data<(0, 0, 11, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 17, 33, 10, 0, 0, 0, 27, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 253, 253, 253, 253, 253, 246, 253, 123, 241, 253, 184, 253, 253, 253, 253, 253, 200, 253, 253, 253, 253, 253, 216, 187, 251, 53, 65, 0, 0, 112, 70, 25, 85, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6119931441248981, y=-0.7853922188689727, z=0.08270177623309434, w=-0.042235888674023093)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=0.021111111111111112, z=0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.04, z=-0.03)>	COMP<205>
[1740779460.7283442]	Q_Header<(2621443, 27557, 257, 173, 250, 8, 58, 3, 61)>	Q_Data<(0, 0, 49, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 23, 13, 0, 0, 27, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 73, 253, 253, 253, 253, 253, 253, 253, 253, 137, 120, 253, 253, 253, 253, 160, 253, 253, 229, 228, 253, 253, 253, 192, 238, 91, 116, 0, 65, 0, 0, 21, 39, 81, 161, 107, 17, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6119931441248981, y=-0.7853922188689727, z=0.08270177623309434, w=-0.042235888674023093)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=0.021111111111111112, z=0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.04, z=-0.03)>	COMP<205>
[1740779460.7384691]	Q_Header<(2621443, 27558, 257, 173, 250, 8, 58, 4, 53)>	Q_Data<(0, 0, 59, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 27, 31, 28, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 253, 253, 253, 253, 253, 253, 253, 153, 172, 219, 253, 253, 253, 253, 230, 253, 253, 197, 193, 253, 253, 144, 240, 203, 40, 46, 0, 0, 23, 0, 60, 0, 68, 200, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6119931441248981, y=-0.7853922188689727, z=0.08270177623309434, w=-0.042235888674023093)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=0.021111111111111112, z=0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.04, z=-0.03)>	COMP<205>
[1740779460.748313]	Q_Header<(2621443, 27559, 257, 173, 250, 8, 58, 5, 62)>	Q_Data<(0, 0, 58, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 0, 0, 0, 0, 11, 0, 0, 0, 13, 37, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 253, 253, 253, 253, 253, 253, 253, 184, 244, 180, 253, 253, 253, 253, 240, 253, 253, 137, 142, 253, 253, 168, 241, 149, 0, 54, 0, 0, 0, 0, 0, 44, 82, 184, 126, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6118213738132181, y=-0.7854678032324723, z=0.08325262907833494, w=-0.04223667105733708)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.027777777777777776, y=0.022222222222222223, z=0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.04, z=-0.09)>	COMP<211>
[1740779460.760653]	Q_Header<(2621443, 27560, 257, 173, 250, 8, 58, 6, 59)>	Q_Data<(0, 0, 59, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 3, 0, 0, 0, 0, 0, 0, 21, 11, 8, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 253, 253, 253, 253, 253, 253, 253, 222, 253, 194, 222, 253, 253, 227, 183, 105, 209, 0, 91, 107, 239, 217, 208, 107, 22, 44, 0, 0, 0, 0, 0, 37, 57, 110, 88, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6118213738132181, y=-0.7854678032324723, z=0.08325262907833494, w=-0.04223667105733708)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.027777777777777776, y=0.022222222222222223, z=0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.04, z=-0.09)>	COMP<211>
[1740779460.7680643]	Q_Header<(2621443, 27561, 257, 173, 250, 8, 58, 7, 55)>	Q_Data<(0, 0, 59, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 253, 253, 253, 253, 253, 253, 253, 253, 253, 218, 253, 253, 253, 130, 129, 91, 113, 0, 0, 56, 105, 253, 209, 153, 34, 44, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 68, 7, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6118213738132181, y=-0.7854678032324723, z=0.08325262907833494, w=-0.04223667105733708)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.027777777777777776, y=0.022222222222222223, z=0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.04, z=-0.09)>	COMP<211>
[1740779460.7772431]	Q_Header<(2621443, 27562, 257, 173, 250, 8, 58, 8, 52)>	Q_Data<(0, 0, 60, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 10, 0, 0, 0, 0, 9, 0, 0, 0, 25, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 253, 253, 253, 253, 253, 253, 253, 253, 253, 200, 253, 253, 253, 170, 90, 74, 106, 18, 0, 89, 141, 253, 205, 120, 37, 0, 41, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6115881117076516, y=-0.785603850877164, z=0.08368136738035832, w=-0.04223742248519909)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.024444444444444446, y=0.022222222222222223, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.04, z=0.01)>	COMP<202>
[1740779460.7840586]	Q_Header<(2621443, 27563, 257, 173, 250, 8, 58, 9, 42)>	Q_Data<(0, 0, 63, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 253, 253, 253, 253, 253, 253, 253, 253, 253, 126, 253, 253, 253, 160, 0, 0, 74, 0, 58, 0, 103, 222, 158, 0, 0, 22, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6115881117076516, y=-0.785603850877164, z=0.08368136738035832, w=-0.04223742248519909)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.024444444444444446, y=0.022222222222222223, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.04, z=0.01)>	COMP<202>
[1740779460.7997313]	Q_Header<(2621443, 27564, 257, 173, 250, 8, 58, 10, 42)>	Q_Data<(0, 0, 62, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 12, 0, 0, 0, 0, 0, 0, 16, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 253, 253, 253, 253, 253, 253, 253, 253, 253, 74, 117, 118, 161, 125, 75, 0, 0, 0, 0, 52, 100, 143, 104, 86, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6115881117076516, y=-0.785603850877164, z=0.08368136738035832, w=-0.04223742248519909)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.024444444444444446, y=0.022222222222222223, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.04, z=0.01)>	COMP<202>
