[1740780332.9746637]	Q_Header<(2621443, 49268, 257, 173, 250, 8, 58, 0, 43)>	Q_Data<(0, 0, 0, 0, 64, 0, 0, 55, 84, 94, 100, 72, 0, 0, 0, 108, 181, 124, 59, 46, 64, 156, 135, 175, 150, 93, 90, 71, 29, 14, 22, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3206811993626132, y=-0.9430004815668773, z=0.0880744139094501, w=-0.012512304124350154)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.05, y=-0.023333333333333334, z=-0.042222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.12, z=0.26)>	COMP<92>
[1740780332.985823]	Q_Header<(2621443, 49269, 257, 173, 250, 8, 58, 1, 36)>	Q_Data<(0, 0, 0, 0, 63, 0, 0, 88, 83, 70, 84, 26, 0, 0, 0, 0, 143, 118, 65, 73, 34, 183, 169, 131, 121, 81, 84, 67, 53, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32153966487627966, y=-0.9425848604184485, z=0.08929622811579292, w=-0.013122822313667449)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06111111111111111, y=-0.017777777777777778, z=-0.042222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.12, z=0.19)>	COMP<95>
[1740780332.9945345]	Q_Header<(2621443, 49270, 257, 173, 250, 8, 58, 2, 34)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 76, 77, 76, 59, 25, 68, 0, 0, 0, 88, 152, 69, 76, 107, 123, 162, 54, 48, 65, 63, 47, 50, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32153966487627966, y=-0.9425848604184485, z=0.08929622811579292, w=-0.013122822313667449)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06111111111111111, y=-0.017777777777777778, z=-0.042222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.12, z=0.19)>	COMP<95>
[1740780333.0046208]	Q_Header<(2621443, 49271, 257, 173, 250, 8, 58, 3, 40)>	Q_Data<(0, 0, 51, 0, 63, 0, 0, 89, 48, 78, 0, 0, 84, 0, 96, 110, 83, 174, 102, 130, 182, 218, 113, 134, 50, 64, 32, 23, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32153966487627966, y=-0.9425848604184485, z=0.08929622811579292, w=-0.013122822313667449)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06111111111111111, y=-0.017777777777777778, z=-0.042222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.12, z=0.19)>	COMP<95>
[1740780333.0147452]	Q_Header<(2621443, 49272, 257, 173, 250, 8, 58, 4, 40)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 74, 74, 81, 0, 68, 103, 16, 118, 134, 60, 159, 162, 183, 224, 253, 228, 71, 105, 69, 28, 0, 17, 7, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3220781287667219, y=-0.9423089312164904, z=0.09020873115732708, w=-0.013488585646663928)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06111111111111111, y=-0.006666666666666667, z=-0.042222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.07, z=0.31)>	COMP<92>
[1740780333.0250149]	Q_Header<(2621443, 49273, 257, 173, 250, 8, 58, 5, 47)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 89, 74, 76, 0, 91, 112, 15, 108, 111, 94, 128, 181, 188, 239, 253, 253, 41, 138, 63, 19, 35, 30, 0, 0, 6, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 104, 104, 77, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3220781287667219, y=-0.9423089312164904, z=0.09020873115732708, w=-0.013488585646663928)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06111111111111111, y=-0.006666666666666667, z=-0.042222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.07, z=0.31)>	COMP<92>
[1740780333.0364695]	Q_Header<(2621443, 49274, 257, 173, 250, 8, 58, 6, 46)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 54, 91, 70, 80, 85, 108, 116, 72, 111, 114, 122, 162, 157, 237, 253, 253, 84, 115, 0, 15, 48, 37, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 113, 163, 148, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3220781287667219, y=-0.9423089312164904, z=0.09020873115732708, w=-0.013488585646663928)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06111111111111111, y=-0.006666666666666667, z=-0.042222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.07, z=0.31)>	COMP<92>
[1740780333.0464923]	Q_Header<(2621443, 49275, 257, 173, 250, 8, 58, 7, 50)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 91, 74, 97, 100, 115, 86, 89, 74, 107, 152, 129, 109, 189, 253, 253, 144, 98, 9, 0, 66, 57, 0, 26, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 14, 0, 0, 0, 53, 102, 114, 132, 209, 202, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3226883746405843, y=-0.9420034753551689, z=0.09118525283015566, w=-0.013671684493945693)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06222222222222222, y=-0.0022222222222222222, z=-0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.08, z=0.18)>	COMP<92>
[1740780333.0638034]	Q_Header<(2621443, 49276, 257, 173, 250, 8, 58, 8, 46)>	Q_Data<(0, 0, 66, 0, 63, 0, 0, 46, 91, 72, 83, 0, 106, 75, 98, 0, 171, 220, 112, 72, 101, 221, 253, 193, 112, 27, 47, 113, 90, 16, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 203, 253, 175, 246, 253, 173, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3226883746405843, y=-0.9420034753551689, z=0.09118525283015566, w=-0.013671684493945693)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06222222222222222, y=-0.0022222222222222222, z=-0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.08, z=0.18)>	COMP<92>
[1740780333.066494]	Q_Header<(2621443, 49277, 257, 173, 250, 8, 58, 9, 45)>	Q_Data<(0, 0, 67, 0, 61, 0, 0, 31, 91, 0, 16, 0, 115, 124, 59, 95, 199, 245, 114, 78, 23, 184, 253, 210, 96, 30, 70, 138, 107, 30, 0, 26, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 253, 253, 253, 253, 253, 253, 182, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3226883746405843, y=-0.9420034753551689, z=0.09118525283015566, w=-0.013671684493945693)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06222222222222222, y=-0.0022222222222222222, z=-0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.08, z=0.18)>	COMP<92>
[1740780333.074617]	Q_Header<(2621443, 49278, 257, 173, 250, 8, 58, 10, 49)>	Q_Data<(0, 0, 67, 0, 61, 0, 0, 26, 81, 64, 0, 84, 107, 135, 108, 146, 175, 253, 137, 80, 60, 144, 224, 177, 65, 88, 83, 128, 96, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 253, 253, 253, 253, 253, 253, 221, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3226883746405843, y=-0.9420034753551689, z=0.09118525283015566, w=-0.013671684493945693)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06222222222222222, y=-0.0022222222222222222, z=-0.04555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.08, z=0.18)>	COMP<92>
