[1740780098.0028605]	Q_Header<(2621443, 25768, 257, 173, 250, 8, 58, 0, 58)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 77, 183, 220, 253, 253, 253, 253, 253, 253, 253, 118, 253, 250, 178, 136, 142, 69, 15, 0, 0, 0, 20, 57, 98, 244, 231, 253, 179, 63, 0, 0, 0, 0, 17, 31, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 105, 49, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29571420066839776, y=-0.9508630613442661, z=0.09081996503500019, w=-0.012817333775100833)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.07111111111111111, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.2, y=-0.04, z=0.0)>	COMP<130>
[1740780098.012929]	Q_Header<(2621443, 25769, 257, 173, 250, 8, 58, 1, 53)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 134, 189, 253, 253, 253, 253, 253, 253, 253, 201, 212, 242, 163, 159, 115, 76, 44, 35, 10, 10, 39, 47, 45, 175, 149, 253, 135, 40, 0, 0, 0, 0, 35, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 129, 69, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29626709806748724, y=-0.9506914543673632, z=0.09069899211542769, w=-0.013610952383405367)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=-0.05333333333333334, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.21, y=0.02, z=0.2)>	COMP<131>
[1740780098.0228555]	Q_Header<(2621443, 25770, 257, 173, 250, 8, 58, 2, 48)>	Q_Data<(0, 0, 4, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 196, 227, 253, 253, 217, 253, 253, 253, 113, 218, 209, 161, 141, 104, 76, 43, 60, 71, 55, 35, 40, 69, 22, 93, 50, 142, 76, 49, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 117, 68, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29626709806748724, y=-0.9506914543673632, z=0.09069899211542769, w=-0.013610952383405367)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=-0.05333333333333334, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.21, y=0.02, z=0.2)>	COMP<131>
[1740780098.0328314]	Q_Header<(2621443, 25771, 257, 173, 250, 8, 58, 3, 43)>	Q_Data<(0, 0, 52, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 200, 234, 253, 253, 253, 253, 253, 253, 253, 188, 248, 161, 253, 253, 157, 47, 46, 39, 105, 76, 28, 57, 45, 20, 0, 58, 93, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 97, 63, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29626709806748724, y=-0.9506914543673632, z=0.09069899211542769, w=-0.013610952383405367)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=-0.05333333333333334, z=-0.03888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.21, y=0.02, z=0.2)>	COMP<131>
[1740780098.0429785]	Q_Header<(2621443, 25772, 257, 173, 250, 8, 58, 4, 41)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 180, 253, 253, 253, 253, 253, 253, 253, 253, 170, 242, 233, 253, 253, 232, 102, 162, 65, 87, 71, 0, 23, 32, 25, 0, 68, 73, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 12, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2971801248554715, y=-0.9503782551087588, z=0.09088133208252147, w=-0.0143432592608412)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.027777777777777776, z=-0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.03, z=0.16)>	COMP<127>
[1740780098.0527816]	Q_Header<(2621443, 25773, 257, 173, 250, 8, 58, 5, 34)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 190, 253, 253, 253, 253, 253, 253, 253, 253, 207, 235, 241, 253, 253, 253, 161, 253, 176, 120, 59, 0, 42, 32, 43, 27, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2971801248554715, y=-0.9503782551087588, z=0.09088133208252147, w=-0.0143432592608412)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=-0.027777777777777776, z=-0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.03, z=0.16)>	COMP<127>
[1740780098.0751758]	Q_Header<(2621443, 25774, 257, 173, 250, 8, 58, 6, 42)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 156, 212, 125, 253, 253, 253, 253, 253, 253, 252, 253, 216, 253, 253, 253, 252, 253, 253, 253, 176, 57, 47, 64, 90, 69, 31, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2978534471455236, y=-0.9501402892857307, z=0.09112606487464482, w=-0.014587494645036914)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=-0.01, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.02, z=0.11)>	COMP<127>
[1740780098.0766637]	Q_Header<(2621443, 25775, 257, 173, 250, 8, 58, 7, 35)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 84, 96, 173, 253, 253, 253, 253, 253, 253, 253, 253, 229, 253, 253, 253, 253, 253, 253, 253, 253, 122, 0, 68, 104, 82, 0, 36, 51, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2978534471455236, y=-0.9501402892857307, z=0.09112606487464482, w=-0.014587494645036914)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=-0.01, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.02, z=0.11)>	COMP<127>
[1740780098.08865]	Q_Header<(2621443, 25776, 257, 173, 250, 8, 58, 8, 49)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 136, 217, 242, 253, 253, 253, 253, 214, 204, 253, 253, 253, 253, 253, 253, 253, 199, 253, 253, 157, 117, 99, 133, 81, 0, 19, 32, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 64, 0, 0, 29, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2978534471455236, y=-0.9501402892857307, z=0.09112606487464482, w=-0.014587494645036914)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=-0.01, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.02, z=0.11)>	COMP<127>
[1740780098.1003644]	Q_Header<(2621443, 25777, 257, 173, 250, 8, 58, 9, 51)>	Q_Data<(0, 0, 67, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 137, 202, 253, 253, 253, 191, 253, 199, 138, 242, 253, 253, 253, 253, 215, 253, 208, 253, 253, 164, 199, 253, 253, 253, 150, 86, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 60, 100, 106, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2978534471455236, y=-0.9501402892857307, z=0.09112606487464482, w=-0.014587494645036914)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=-0.01, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.02, z=0.11)>	COMP<127>
[1740780098.1028326]	Q_Header<(2621443, 25778, 257, 173, 250, 8, 58, 10, 47)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 98, 170, 253, 253, 253, 253, 253, 228, 191, 246, 253, 253, 171, 253, 88, 185, 222, 253, 253, 148, 253, 253, 253, 253, 253, 144, 204, 117, 27, 11, 30, 20, 0, 0, 0, 0, 0, 152, 221, 203, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2978534471455236, y=-0.9501402892857307, z=0.09112606487464482, w=-0.014587494645036914)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=-0.01, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.02, z=0.11)>	COMP<127>
