[1740779683.0699549]	Q_Header<(2621443, 49804, 257, 173, 250, 8, 58, 0, 80)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 27, 172, 147, 253, 253, 253, 253, 226, 253, 225, 202, 194, 119, 116, 241, 253, 133, 159, 253, 253, 167, 52, 11, 56, 37, 38, 53, 181, 225, 248, 186, 27, 15, 90, 198, 236, 253, 253, 253, 156, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 124, 0, 0, 0, 0, 0, 0, 57, 134, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 181, 154, 50, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 253, 228, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.849704498724262, y=-0.5200640736696909, z=0.02892974661652781, w=0.08184554897207552)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=-0.025555555555555557, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.19, z=-0.13)>	COMP<168>
[1740779683.080094]	Q_Header<(2621443, 49805, 257, 173, 250, 8, 58, 1, 86)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 33, 95, 102, 253, 253, 253, 253, 149, 143, 253, 208, 222, 96, 166, 203, 209, 172, 143, 253, 253, 202, 41, 66, 137, 95, 49, 72, 190, 249, 253, 209, 93, 80, 58, 146, 244, 253, 253, 230, 129, 55, 0, 5, 25, 0, 0, 0, 0, 20, 15, 0, 0, 0, 0, 120, 162, 0, 0, 0, 0, 0, 0, 59, 145, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 232, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 253, 253, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8491519290607036, y=-0.5209775653318599, z=0.029234800116443402, w=0.0816621347720277)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=-0.02, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.19, z=-0.16)>	COMP<168>
[1740779683.0900002]	Q_Header<(2621443, 49806, 257, 173, 250, 8, 58, 2, 87)>	Q_Data<(0, 0, 12, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 64, 40, 72, 204, 253, 253, 253, 226, 240, 253, 253, 237, 168, 243, 178, 138, 171, 163, 253, 253, 171, 0, 121, 202, 158, 120, 100, 141, 202, 236, 189, 128, 71, 98, 56, 196, 250, 228, 223, 138, 62, 34, 63, 56, 13, 0, 0, 97, 158, 79, 0, 0, 0, 0, 110, 116, 0, 0, 0, 0, 0, 0, 0, 117, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 242, 158, 241, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8491519290607036, y=-0.5209775653318599, z=0.029234800116443402, w=0.0816621347720277)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=-0.02, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.19, z=-0.16)>	COMP<168>
[1740779683.100062]	Q_Header<(2621443, 49807, 257, 173, 250, 8, 58, 3, 82)>	Q_Data<(0, 0, 53, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 93, 90, 152, 253, 253, 253, 215, 200, 253, 250, 248, 192, 253, 189, 138, 141, 207, 153, 213, 87, 36, 144, 236, 210, 194, 125, 35, 141, 208, 141, 145, 132, 76, 83, 139, 195, 171, 201, 118, 88, 112, 94, 58, 43, 0, 0, 207, 253, 156, 43, 50, 20, 0, 117, 116, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 107, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8491519290607036, y=-0.5209775653318599, z=0.029234800116443402, w=0.0816621347720277)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=-0.02, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.19, z=-0.16)>	COMP<168>
[1740779683.1099854]	Q_Header<(2621443, 49808, 257, 173, 250, 8, 58, 4, 79)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 121, 129, 127, 142, 249, 253, 253, 116, 227, 208, 175, 241, 182, 253, 241, 73, 118, 227, 253, 214, 49, 36, 125, 218, 214, 235, 139, 21, 129, 144, 75, 182, 188, 0, 102, 129, 203, 135, 139, 62, 157, 132, 103, 60, 25, 0, 48, 250, 253, 190, 78, 120, 97, 8, 107, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 157, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8487408982587366, y=-0.5216588851875034, z=0.029357426439123566, w=0.08154162520305423)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=-0.015555555555555555, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.19, z=-0.05)>	COMP<169>
[1740779683.1200888]	Q_Header<(2621443, 49809, 257, 173, 250, 8, 58, 5, 83)>	Q_Data<(0, 0, 61, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 22, 132, 121, 136, 153, 124, 136, 150, 236, 186, 191, 251, 202, 197, 237, 122, 253, 253, 147, 98, 214, 253, 186, 55, 25, 73, 151, 176, 234, 131, 31, 118, 123, 145, 201, 168, 31, 84, 101, 173, 88, 83, 0, 147, 106, 74, 36, 0, 53, 62, 238, 253, 179, 119, 178, 139, 0, 63, 0, 56, 0, 28, 89, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 64, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8487408982587366, y=-0.5216588851875034, z=0.029357426439123566, w=0.08154162520305423)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=-0.015555555555555555, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.19, z=-0.05)>	COMP<169>
[1740779683.1301048]	Q_Header<(2621443, 49810, 257, 173, 250, 8, 58, 6, 85)>	Q_Data<(0, 0, 60, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 38, 148, 141, 211, 195, 97, 118, 80, 144, 36, 194, 231, 208, 174, 206, 121, 253, 253, 253, 105, 160, 241, 173, 0, 53, 67, 119, 122, 177, 83, 9, 158, 247, 174, 175, 135, 113, 50, 0, 101, 0, 48, 25, 102, 19, 0, 0, 0, 66, 66, 253, 253, 154, 107, 192, 133, 0, 0, 0, 59, 0, 123, 244, 246, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 74, 61, 0, 14, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8487408982587366, y=-0.5216588851875034, z=0.029357426439123566, w=0.08154162520305423)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=-0.015555555555555555, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.19, z=-0.05)>	COMP<169>
[1740779683.1401122]	Q_Header<(2621443, 49811, 257, 173, 250, 8, 58, 7, 89)>	Q_Data<(0, 0, 61, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 40, 131, 138, 241, 253, 158, 118, 48, 71, 102, 150, 207, 222, 130, 193, 211, 253, 253, 253, 187, 98, 223, 178, 114, 97, 143, 143, 25, 89, 88, 38, 190, 253, 242, 128, 173, 149, 118, 114, 43, 21, 0, 39, 34, 0, 0, 0, 0, 43, 23, 237, 253, 145, 94, 145, 54, 0, 16, 0, 0, 35, 194, 253, 253, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 54, 189, 248, 185, 168, 253, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8487408982587366, y=-0.5216588851875034, z=0.029357426439123566, w=0.08154162520305423)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=-0.015555555555555555, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.19, z=-0.05)>	COMP<169>
[1740779683.1500282]	Q_Header<(2621443, 49812, 257, 173, 250, 8, 58, 8, 84)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 244, 253, 233, 136, 55, 26, 102, 135, 152, 196, 172, 253, 253, 253, 253, 253, 221, 80, 211, 225, 197, 169, 253, 106, 146, 26, 182, 139, 188, 253, 246, 64, 175, 223, 253, 183, 112, 41, 34, 0, 0, 0, 29, 0, 0, 170, 229, 127, 181, 116, 0, 0, 0, 0, 0, 0, 0, 65, 184, 253, 245, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 127, 244, 253, 253, 164, 253, 221, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8481858514468555, y=-0.5225098276057085, z=0.02941826152388173, w=0.08184624212349668)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=-0.0022222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.18, z=-0.03)>	COMP<168>
[1740779683.1600385]	Q_Header<(2621443, 49813, 257, 173, 250, 8, 58, 9, 83)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 223, 253, 253, 127, 34, 42, 84, 139, 128, 158, 184, 253, 253, 222, 253, 253, 217, 173, 181, 253, 216, 237, 253, 253, 185, 129, 244, 215, 134, 253, 191, 148, 253, 253, 253, 226, 156, 93, 37, 42, 31, 0, 24, 0, 23, 253, 253, 209, 216, 158, 105, 78, 124, 103, 0, 0, 0, 0, 142, 208, 141, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 216, 253, 253, 253, 253, 253, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8481858514468555, y=-0.5225098276057085, z=0.02941826152388173, w=0.08184624212349668)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=-0.0022222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.18, z=-0.03)>	COMP<168>
[1740779683.1700373]	Q_Header<(2621443, 49814, 257, 173, 250, 8, 58, 10, 83)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 49, 200, 253, 253, 99, 103, 58, 61, 162, 222, 170, 154, 181, 201, 221, 187, 236, 198, 249, 128, 251, 169, 253, 253, 253, 140, 205, 251, 250, 104, 181, 133, 242, 253, 253, 253, 222, 182, 131, 0, 56, 71, 60, 55, 0, 22, 253, 253, 253, 253, 226, 206, 150, 227, 214, 23, 0, 10, 0, 78, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 126, 253, 204, 253, 253, 248, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8481858514468555, y=-0.5225098276057085, z=0.02941826152388173, w=0.08184624212349668)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=-0.0022222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.18, z=-0.03)>	COMP<168>
