[1740780003.0024607]	Q_Header<(2621443, 16268, 257, 173, 250, 8, 58, 0, 61)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 115, 245, 253, 253, 253, 249, 204, 52, 94, 71, 5, 40, 105, 176, 121, 39, 29, 42, 166, 209, 188, 253, 253, 172, 179, 151, 192, 81, 50, 0, 39, 51, 100, 81, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 84, 0, 67, 0, 81, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.31377579678865175, y=-0.9445621923947043, z=0.09649475485758771, w=-0.005981332053158505)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=0.012222222222222223, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.02, z=0.14)>	COMP<172>
[1740780003.0124776]	Q_Header<(2621443, 16269, 257, 173, 250, 8, 58, 1, 61)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 158, 253, 166, 253, 253, 253, 193, 159, 108, 82, 30, 32, 70, 109, 66, 5, 20, 11, 119, 172, 212, 253, 253, 214, 55, 108, 138, 56, 21, 47, 117, 134, 0, 76, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 53, 65, 43, 57, 0, 55, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.31402729324941525, y=-0.9444622615629644, z=0.09668012293626313, w=-0.005554224234343399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.025555555555555557, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.04, z=0.05)>	COMP<172>
[1740780003.0225782]	Q_Header<(2621443, 16270, 257, 173, 250, 8, 58, 2, 52)>	Q_Data<(0, 0, 16, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 176, 253, 253, 253, 253, 253, 170, 243, 142, 77, 53, 29, 37, 59, 40, 0, 23, 0, 68, 120, 204, 253, 253, 236, 106, 67, 90, 11, 0, 100, 223, 253, 138, 43, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 36, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.31402729324941525, y=-0.9444622615629644, z=0.09668012293626313, w=-0.005554224234343399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.025555555555555557, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.04, z=0.05)>	COMP<172>
[1740780003.0323622]	Q_Header<(2621443, 16271, 257, 173, 250, 8, 58, 3, 55)>	Q_Data<(0, 0, 57, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 163, 253, 253, 210, 253, 253, 194, 253, 111, 85, 55, 74, 27, 27, 39, 16, 24, 0, 26, 77, 161, 253, 207, 144, 91, 36, 33, 0, 0, 127, 253, 253, 179, 17, 10, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.31402729324941525, y=-0.9444622615629644, z=0.09668012293626313, w=-0.005554224234343399)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.025555555555555557, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.04, z=0.05)>	COMP<172>
[1740780003.0425034]	Q_Header<(2621443, 16272, 257, 173, 250, 8, 58, 4, 55)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 136, 205, 164, 117, 253, 253, 251, 253, 172, 110, 63, 129, 88, 117, 116, 45, 31, 0, 30, 45, 111, 183, 193, 109, 44, 54, 24, 0, 0, 118, 251, 253, 155, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 47, 57, 0, 50, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3141382309772551, y=-0.944428790779492, z=0.09667669669088247, w=-0.0050047279852603295)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.035555555555555556, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=-0.07, z=0.1)>	COMP<171>
[1740780003.0525174]	Q_Header<(2621443, 16273, 257, 173, 250, 8, 58, 5, 53)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 107, 116, 179, 182, 253, 253, 253, 253, 253, 238, 132, 138, 133, 159, 156, 40, 29, 0, 26, 0, 65, 105, 148, 141, 67, 53, 0, 0, 0, 84, 176, 207, 91, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 81, 70, 0, 88, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3141382309772551, y=-0.944428790779492, z=0.09667669669088247, w=-0.0050047279852603295)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.035555555555555556, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=-0.07, z=0.1)>	COMP<171>
[1740780003.0622897]	Q_Header<(2621443, 16274, 257, 173, 250, 8, 58, 6, 50)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 76, 143, 253, 190, 150, 253, 253, 253, 253, 253, 222, 111, 141, 128, 91, 23, 25, 0, 18, 0, 38, 25, 90, 99, 44, 0, 0, 0, 0, 9, 80, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 39, 70, 0, 70, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3141382309772551, y=-0.944428790779492, z=0.09667669669088247, w=-0.0050047279852603295)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.035555555555555556, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=-0.07, z=0.1)>	COMP<171>
[1740780003.0730288]	Q_Header<(2621443, 16275, 257, 173, 250, 8, 58, 7, 49)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 91, 194, 242, 128, 253, 199, 253, 253, 253, 253, 253, 229, 87, 173, 176, 82, 48, 22, 21, 31, 26, 0, 30, 45, 0, 0, 0, 14, 0, 18, 63, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 42, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3141382309772551, y=-0.944428790779492, z=0.09667669669088247, w=-0.0050047279852603295)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.035555555555555556, z=-0.012222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=-0.07, z=0.1)>	COMP<171>
[1740780003.082258]	Q_Header<(2621443, 16276, 257, 173, 250, 8, 58, 8, 46)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 125, 227, 180, 209, 253, 253, 253, 253, 253, 253, 253, 253, 81, 184, 169, 84, 63, 22, 9, 31, 13, 0, 0, 37, 5, 0, 57, 50, 0, 45, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 15, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3142122519316598, y=-0.9444067937332115, z=0.09668069290204918, w=-0.004394576950093145)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.04111111111111111, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.05, z=0.03)>	COMP<172>
[1740780003.0920951]	Q_Header<(2621443, 16277, 257, 173, 250, 8, 58, 9, 42)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 131, 237, 112, 135, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 190, 70, 111, 64, 26, 0, 0, 16, 0, 34, 0, 19, 65, 33, 49, 50, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3142122519316598, y=-0.9444067937332115, z=0.09668069290204918, w=-0.004394576950093145)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.04111111111111111, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.05, z=0.03)>	COMP<172>
[1740780003.102134]	Q_Header<(2621443, 16278, 257, 173, 250, 8, 58, 10, 49)>	Q_Data<(0, 0, 66, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 228, 196, 253, 253, 253, 253, 253, 253, 186, 247, 253, 253, 253, 135, 164, 102, 85, 72, 0, 0, 29, 0, 0, 0, 0, 53, 0, 58, 36, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 128, 0, 73, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3142122519316598, y=-0.9444067937332115, z=0.09668069290204918, w=-0.004394576950093145)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.04111111111111111, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=-0.05, z=0.03)>	COMP<172>
