[1740779388.3376856]	Q_Header<(2621443, 20304, 257, 173, 250, 8, 58, 0, 33)>	Q_Data<(0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 55, 63, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 153, 253, 253, 253, 245, 77, 94, 0, 96, 127, 94, 10, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9923680010350819, y=-0.0686033355780449, z=0.030639568025069876, w=-0.09777806369753375)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.012222222222222223, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.3, y=0.36, z=0.17)>	COMP<353>
[1740779388.3477836]	Q_Header<(2621443, 20305, 257, 173, 250, 8, 58, 1, 37)>	Q_Data<(0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 36, 36, 0, 0, 0, 0, 0, 0, 22, 23, 0, 0, 0, 95, 212, 253, 253, 253, 253, 227, 151, 36, 139, 147, 81, 39, 37, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9923986529513197, y=-0.06860545457391495, z=0.03021325624029173, w=-0.09759797318833631)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=-0.04777777777777778, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.27, y=0.17, z=-0.11)>	COMP<353>
[1740779388.3575335]	Q_Header<(2621443, 20306, 257, 173, 250, 8, 58, 2, 24)>	Q_Data<(0, 0, 6, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 253, 253, 253, 253, 253, 252, 215, 136, 155, 154, 133, 129, 33, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9923986529513197, y=-0.06860545457391495, z=0.03021325624029173, w=-0.09759797318833631)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=-0.04777777777777778, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.27, y=0.17, z=-0.11)>	COMP<353>
[1740779388.3675382]	Q_Header<(2621443, 20307, 257, 173, 250, 8, 58, 3, 32)>	Q_Data<(0, 0, 45, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 30, 16, 21, 18, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 157, 253, 253, 253, 253, 253, 253, 253, 230, 253, 152, 122, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9923986529513197, y=-0.06860545457391495, z=0.03021325624029173, w=-0.09759797318833631)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02666666666666667, y=-0.04777777777777778, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.27, y=0.17, z=-0.11)>	COMP<353>
[1740779388.377674]	Q_Header<(2621443, 20308, 257, 173, 250, 8, 58, 4, 37)>	Q_Data<(0, 0, 59, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 34, 45, 30, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 70, 182, 253, 253, 253, 253, 253, 253, 253, 253, 221, 253, 149, 6, 28, 25, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9925005604172205, y=-0.06854302498914819, z=0.028747786972296345, w=-0.09704666939692397)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03777777777777778, y=-0.06, z=0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.29, y=0.08, z=-0.11)>	COMP<352>
[1740779388.387532]	Q_Header<(2621443, 20309, 257, 173, 250, 8, 58, 5, 28)>	Q_Data<(0, 0, 57, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 17, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 89, 190, 253, 253, 253, 253, 253, 253, 253, 253, 253, 155, 166, 66, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9925005604172205, y=-0.06854302498914819, z=0.028747786972296345, w=-0.09704666939692397)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03777777777777778, y=-0.06, z=0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.29, y=0.08, z=-0.11)>	COMP<352>
[1740779388.3975825]	Q_Header<(2621443, 20310, 257, 173, 250, 8, 58, 6, 38)>	Q_Data<(0, 0, 59, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 35, 12, 0, 0, 0, 0, 8, 12, 0, 0, 0, 0, 0, 0, 0, 54, 46, 216, 253, 253, 253, 253, 253, 253, 253, 253, 98, 237, 96, 108, 39, 0, 0, 0, 17, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9925005604172205, y=-0.06854302498914819, z=0.028747786972296345, w=-0.09704666939692397)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03777777777777778, y=-0.06, z=0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.29, y=0.08, z=-0.11)>	COMP<352>
[1740779388.4076483]	Q_Header<(2621443, 20311, 257, 173, 250, 8, 58, 7, 36)>	Q_Data<(0, 0, 59, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 101, 209, 153, 253, 253, 253, 253, 253, 253, 186, 234, 53, 89, 40, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9926274777886412, y=-0.06860439556259194, z=0.027038921026893443, w=-0.09619264004149902)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=-0.08333333333333333, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.33, y=0.12, z=-0.08)>	COMP<351>
[1740779388.4176154]	Q_Header<(2621443, 20312, 257, 173, 250, 8, 58, 8, 38)>	Q_Data<(0, 0, 61, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 35, 0, 108, 159, 253, 253, 253, 253, 253, 253, 168, 172, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9926274777886412, y=-0.06860439556259194, z=0.027038921026893443, w=-0.09619264004149902)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=-0.08333333333333333, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.33, y=0.12, z=-0.08)>	COMP<351>
[1740779388.429865]	Q_Header<(2621443, 20313, 257, 173, 250, 8, 58, 9, 45)>	Q_Data<(0, 0, 61, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 27, 41, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 30, 0, 158, 174, 253, 253, 253, 223, 240, 88, 111, 39, 39, 27, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9926274777886412, y=-0.06860439556259194, z=0.027038921026893443, w=-0.09619264004149902)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=-0.08333333333333333, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.33, y=0.12, z=-0.08)>	COMP<351>
[1740779388.438277]	Q_Header<(2621443, 20314, 257, 173, 250, 8, 58, 10, 40)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29, 45, 40, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 32, 0, 118, 210, 250, 253, 253, 147, 40, 0, 39, 77, 59, 66, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9926274777886412, y=-0.06860439556259194, z=0.027038921026893443, w=-0.09619264004149902)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=-0.08333333333333333, z=0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.33, y=0.12, z=-0.08)>	COMP<351>
