[1740780108.003056]	Q_Header<(2621443, 26768, 257, 173, 250, 8, 58, 0, 62)>	Q_Data<(0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 196, 253, 223, 253, 253, 251, 191, 253, 253, 253, 253, 253, 204, 113, 109, 70, 183, 220, 143, 143, 127, 253, 225, 164, 32, 48, 0, 0, 0, 0, 0, 67, 106, 80, 135, 79, 113, 126, 191, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 188, 170, 63, 131, 0, 74, 96, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5142222277615427, y=-0.852540780697119, z=0.08941668411521186, w=-0.02746587566678863)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.03666666666666667, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.05, z=-0.1)>	COMP<152>
[1740780108.0131087]	Q_Header<(2621443, 26769, 257, 173, 250, 8, 58, 1, 68)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 236, 253, 253, 253, 253, 226, 225, 253, 253, 126, 165, 247, 212, 186, 212, 29, 159, 207, 70, 117, 115, 241, 198, 100, 29, 93, 55, 20, 0, 0, 0, 98, 141, 148, 173, 73, 112, 145, 156, 64, 0, 0, 14, 0, 0, 0, 0, 0, 0, 48, 103, 69, 43, 70, 0, 33, 26, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.51445482400435, y=-0.8523995814503207, z=0.08953674538075472, w=-0.027099055861659917)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.02, z=-0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.06, z=-0.21)>	COMP<152>
[1740780108.022975]	Q_Header<(2621443, 26770, 257, 173, 250, 8, 58, 2, 55)>	Q_Data<(0, 0, 7, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 245, 253, 253, 253, 184, 183, 253, 253, 253, 253, 155, 203, 174, 253, 253, 89, 144, 151, 25, 89, 82, 155, 90, 84, 103, 117, 97, 38, 17, 25, 0, 103, 165, 171, 116, 117, 134, 121, 96, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.51445482400435, y=-0.8523995814503207, z=0.08953674538075472, w=-0.027099055861659917)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.02, z=-0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.06, z=-0.21)>	COMP<152>
[1740780108.033002]	Q_Header<(2621443, 26771, 257, 173, 250, 8, 58, 3, 63)>	Q_Data<(0, 0, 62, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 191, 253, 253, 253, 244, 253, 244, 253, 253, 253, 253, 187, 178, 176, 253, 253, 101, 141, 137, 73, 82, 75, 96, 70, 87, 138, 124, 99, 97, 54, 59, 0, 105, 207, 215, 253, 205, 140, 75, 47, 47, 0, 0, 0, 0, 16, 46, 0, 0, 0, 0, 0, 24, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.51445482400435, y=-0.8523995814503207, z=0.08953674538075472, w=-0.027099055861659917)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.02, z=-0.016666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.06, z=-0.21)>	COMP<152>
[1740780108.0432343]	Q_Header<(2621443, 26772, 257, 173, 250, 8, 58, 4, 63)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 253, 215, 162, 253, 253, 253, 245, 253, 253, 253, 183, 122, 150, 230, 206, 69, 111, 115, 46, 51, 85, 82, 66, 83, 162, 192, 126, 166, 143, 50, 0, 124, 220, 253, 253, 253, 136, 0, 30, 44, 0, 0, 0, 3, 74, 63, 0, 0, 0, 0, 0, 0, 0, 0, 43, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5145823156929538, y=-0.8523475315682717, z=0.0893545854791228, w=-0.026916237838998054)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.0011111111111111111, z=-0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.04, z=-0.04)>	COMP<150>
[1740780108.0529642]	Q_Header<(2621443, 26773, 257, 173, 250, 8, 58, 5, 59)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 253, 253, 253, 253, 253, 253, 153, 162, 253, 253, 160, 17, 91, 120, 61, 18, 81, 82, 39, 49, 91, 25, 102, 186, 253, 253, 232, 190, 200, 33, 0, 128, 205, 253, 253, 253, 112, 33, 20, 0, 0, 0, 0, 29, 98, 95, 0, 0, 0, 0, 0, 0, 55, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5145823156929538, y=-0.8523475315682717, z=0.0893545854791228, w=-0.026916237838998054)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.0011111111111111111, z=-0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.04, z=-0.04)>	COMP<150>
[1740780108.0629904]	Q_Header<(2621443, 26774, 257, 173, 250, 8, 58, 6, 62)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 253, 253, 253, 253, 141, 253, 207, 117, 195, 181, 121, 84, 84, 76, 78, 17, 63, 79, 120, 139, 197, 165, 228, 253, 253, 253, 253, 159, 212, 57, 0, 110, 180, 253, 253, 215, 82, 12, 10, 0, 43, 0, 0, 0, 82, 83, 0, 0, 0, 0, 0, 0, 68, 46, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5145823156929538, y=-0.8523475315682717, z=0.0893545854791228, w=-0.026916237838998054)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.0011111111111111111, z=-0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.04, z=-0.04)>	COMP<150>
[1740780108.0729733]	Q_Header<(2621443, 26775, 257, 173, 250, 8, 58, 7, 63)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 253, 253, 253, 253, 253, 253, 224, 187, 128, 102, 93, 102, 133, 133, 81, 36, 35, 82, 184, 230, 253, 246, 253, 253, 253, 253, 253, 176, 179, 43, 0, 67, 120, 231, 253, 119, 49, 0, 0, 0, 24, 0, 0, 0, 20, 24, 0, 0, 0, 0, 0, 0, 34, 0, 57, 0, 46, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5145823156929538, y=-0.8523475315682717, z=0.0893545854791228, w=-0.026916237838998054)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.0011111111111111111, z=-0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.04, z=-0.04)>	COMP<150>
[1740780108.0830297]	Q_Header<(2621443, 26776, 257, 173, 250, 8, 58, 8, 57)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 223, 253, 253, 194, 253, 253, 247, 228, 51, 79, 78, 107, 138, 111, 72, 34, 52, 111, 198, 253, 253, 248, 231, 147, 253, 253, 253, 181, 118, 32, 0, 0, 60, 98, 161, 14, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 51, 47, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5146543109881822, y=-0.8523656846477661, z=0.0887461300019944, w=-0.02697784694696116)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.027777777777777776, y=-0.028888888888888888, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.04, z=-0.11)>	COMP<151>
[1740780108.0929258]	Q_Header<(2621443, 26777, 257, 173, 250, 8, 58, 9, 54)>	Q_Data<(0, 0, 67, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 253, 253, 253, 150, 253, 253, 253, 253, 119, 73, 52, 126, 153, 80, 61, 23, 67, 136, 152, 253, 245, 158, 253, 227, 253, 253, 253, 134, 57, 13, 0, 0, 48, 50, 111, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 54, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5146543109881822, y=-0.8523656846477661, z=0.0887461300019944, w=-0.02697784694696116)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.027777777777777776, y=-0.028888888888888888, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.04, z=-0.11)>	COMP<151>
[1740780108.1029625]	Q_Header<(2621443, 26778, 257, 173, 250, 8, 58, 10, 59)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 253, 253, 253, 252, 253, 253, 253, 253, 162, 68, 21, 144, 184, 35, 61, 34, 63, 125, 166, 253, 253, 220, 253, 253, 233, 202, 202, 84, 42, 31, 0, 0, 0, 0, 59, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 44, 35, 66, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5146543109881822, y=-0.8523656846477661, z=0.0887461300019944, w=-0.02697784694696116)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.027777777777777776, y=-0.028888888888888888, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.04, z=-0.11)>	COMP<151>
