[1740779708.069918]	Q_Header<(2621443, 52304, 257, 173, 250, 8, 58, 0, 34)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 253, 253, 251, 182, 82, 52, 95, 130, 81, 129, 190, 183, 110, 89, 73, 41, 0, 0, 0, 0, 0, 0, 65, 152, 197, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7317382053111499, y=-0.6755868041195361, z=0.044615950294640966, w=0.07842885927306928)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.058888888888888886, y=0.02666666666666667, z=-0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.1, z=-0.02)>	COMP<193>
[1740779708.080071]	Q_Header<(2621443, 52305, 257, 173, 250, 8, 58, 1, 41)>	Q_Data<(0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 253, 228, 253, 253, 250, 246, 193, 112, 56, 76, 68, 98, 123, 221, 210, 133, 90, 77, 77, 0, 0, 27, 0, 38, 93, 147, 186, 231, 75, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7313115698120894, y=-0.676136669201997, z=0.0437004743770202, w=0.07818478725832805)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.057777777777777775, y=0.028888888888888888, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.11, z=-0.06)>	COMP<193>
[1740779708.0900288]	Q_Header<(2621443, 52306, 257, 173, 250, 8, 58, 2, 47)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 138, 224, 235, 194, 253, 218, 112, 253, 253, 176, 101, 67, 41, 119, 190, 253, 242, 90, 84, 61, 73, 6, 0, 23, 36, 79, 145, 206, 204, 219, 71, 7, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7313115698120894, y=-0.676136669201997, z=0.0437004743770202, w=0.07818478725832805)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.057777777777777775, y=0.028888888888888888, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.11, z=-0.06)>	COMP<193>
[1740779708.0999777]	Q_Header<(2621443, 52307, 257, 173, 250, 8, 58, 3, 47)>	Q_Data<(0, 0, 51, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 141, 157, 104, 253, 253, 123, 129, 253, 253, 204, 120, 99, 99, 142, 253, 253, 253, 136, 103, 0, 44, 6, 0, 0, 30, 68, 164, 227, 213, 173, 54, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7313115698120894, y=-0.676136669201997, z=0.0437004743770202, w=0.07818478725832805)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.057777777777777775, y=0.028888888888888888, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.11, z=-0.06)>	COMP<193>
[1740779708.1100156]	Q_Header<(2621443, 52308, 257, 173, 250, 8, 58, 4, 44)>	Q_Data<(0, 0, 63, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 131, 129, 184, 253, 250, 188, 150, 253, 253, 230, 119, 96, 126, 146, 253, 253, 253, 223, 88, 27, 25, 28, 4, 0, 70, 90, 156, 170, 203, 100, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7307191338818262, y=-0.6768856661167267, z=0.042541867383530975, w=0.07788152479395341)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05555555555555555, y=0.028888888888888888, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.13, z=-0.09)>	COMP<193>
[1740779708.1200173]	Q_Header<(2621443, 52309, 257, 173, 250, 8, 58, 5, 46)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 137, 168, 166, 206, 253, 242, 175, 111, 253, 253, 206, 141, 131, 118, 253, 253, 253, 239, 59, 68, 0, 0, 0, 43, 128, 156, 176, 57, 150, 38, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7307191338818262, y=-0.6768856661167267, z=0.042541867383530975, w=0.07788152479395341)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05555555555555555, y=0.028888888888888888, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.13, z=-0.09)>	COMP<193>
[1740779708.1300852]	Q_Header<(2621443, 52310, 257, 173, 250, 8, 58, 6, 49)>	Q_Data<(0, 0, 62, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 155, 183, 109, 67, 253, 249, 253, 253, 253, 253, 253, 237, 144, 103, 238, 253, 211, 253, 156, 61, 50, 0, 0, 55, 125, 141, 163, 121, 67, 12, 0, 0, 0, 0, 0, 0, 26, 0, 38, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7307191338818262, y=-0.6768856661167267, z=0.042541867383530975, w=0.07788152479395341)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05555555555555555, y=0.028888888888888888, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.13, z=-0.09)>	COMP<193>
[1740779708.1408923]	Q_Header<(2621443, 52311, 257, 173, 250, 8, 58, 7, 52)>	Q_Data<(0, 0, 62, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 156, 184, 170, 245, 253, 227, 253, 253, 137, 231, 253, 253, 215, 167, 229, 253, 206, 253, 187, 59, 76, 70, 0, 41, 62, 74, 99, 60, 0, 0, 20, 0, 0, 0, 0, 0, 0, 65, 111, 0, 0, 67, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7302864470877508, y=-0.6774299436880022, z=0.04174809275453586, w=0.07763680406983861)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04777777777777778, y=0.024444444444444446, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.14, z=-0.04)>	COMP<199>
[1740779708.1500294]	Q_Header<(2621443, 52312, 257, 173, 250, 8, 58, 8, 55)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 144, 179, 253, 253, 253, 143, 253, 173, 253, 238, 253, 253, 253, 188, 207, 211, 252, 253, 164, 70, 95, 120, 56, 60, 64, 0, 0, 0, 28, 0, 26, 23, 0, 0, 17, 71, 106, 139, 157, 20, 42, 54, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7302864470877508, y=-0.6774299436880022, z=0.04174809275453586, w=0.07763680406983861)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04777777777777778, y=0.024444444444444446, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.14, z=-0.04)>	COMP<199>
[1740779708.160266]	Q_Header<(2621443, 52313, 257, 173, 250, 8, 58, 9, 53)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 127, 153, 253, 253, 243, 148, 253, 88, 253, 253, 253, 253, 253, 165, 150, 131, 238, 249, 128, 62, 109, 105, 77, 77, 42, 10, 20, 0, 0, 0, 51, 67, 0, 0, 45, 161, 243, 253, 241, 128, 138, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7302864470877508, y=-0.6774299436880022, z=0.04174809275453586, w=0.07763680406983861)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04777777777777778, y=0.024444444444444446, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.14, z=-0.04)>	COMP<199>
[1740779708.1700702]	Q_Header<(2621443, 52314, 257, 173, 250, 8, 58, 10, 63)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 132, 140, 253, 253, 159, 218, 253, 132, 253, 218, 236, 175, 218, 138, 73, 69, 165, 181, 133, 142, 217, 157, 91, 89, 8, 0, 39, 50, 38, 110, 113, 117, 51, 0, 31, 208, 253, 253, 253, 185, 165, 51, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7302864470877508, y=-0.6774299436880022, z=0.04174809275453586, w=0.07763680406983861)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04777777777777778, y=0.024444444444444446, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.14, z=-0.04)>	COMP<199>
