[1740779318.6371622]	Q_Header<(2621443, 13304, 257, 173, 250, 8, 58, 0, 39)>	Q_Data<(0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 0, 0, 0, 20, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 33, 38, 52, 73, 234, 184, 253, 253, 253, 253, 247, 238, 167, 253, 253, 152, 125, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9543826990673312, y=-0.2826466892230486, z=0.03924461696618878, w=-0.08788841124620815)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.04777777777777778, z=-0.16666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.03, z=-0.13)>	COMP<7>
[1740779318.6488035]	Q_Header<(2621443, 13305, 257, 173, 250, 8, 58, 1, 34)>	Q_Data<(0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 14, 0, 35, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 42, 23, 71, 116, 137, 175, 218, 253, 253, 253, 253, 253, 253, 253, 253, 91, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9550762143901955, y=-0.2803339118541774, z=0.03881828171984691, w=-0.08795148421116256)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.04666666666666667, z=-0.1622222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.01, z=0.02)>	COMP<5>
[1740779318.66486]	Q_Header<(2621443, 13306, 257, 173, 250, 8, 58, 2, 36)>	Q_Data<(0, 0, 28, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 12, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 57, 105, 153, 160, 208, 253, 129, 253, 253, 253, 222, 253, 188, 253, 131, 97, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9550762143901955, y=-0.2803339118541774, z=0.03881828171984691, w=-0.08795148421116256)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.04666666666666667, z=-0.1622222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.01, z=0.02)>	COMP<5>
[1740779318.6672084]	Q_Header<(2621443, 13307, 257, 173, 250, 8, 58, 3, 34)>	Q_Data<(0, 0, 53, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 37, 43, 102, 249, 253, 253, 253, 253, 197, 253, 253, 118, 222, 182, 224, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9550762143901955, y=-0.2803339118541774, z=0.03881828171984691, w=-0.08795148421116256)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.04666666666666667, z=-0.1622222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.01, z=0.02)>	COMP<5>
[1740779318.6770778]	Q_Header<(2621443, 13308, 257, 173, 250, 8, 58, 4, 25)>	Q_Data<(0, 0, 58, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 31, 141, 216, 253, 253, 253, 253, 253, 253, 253, 201, 51, 108, 111, 139, 56, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.955976567206537, y=-0.2772777593576772, z=0.038329393105133454, w=-0.08807215645017129)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.03777777777777778, z=-0.15777777777777777)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.03, z=-0.08)>	COMP<5>
[1740779318.6880374]	Q_Header<(2621443, 13309, 257, 173, 250, 8, 58, 5, 30)>	Q_Data<(0, 0, 58, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31, 0, 68, 105, 253, 253, 253, 253, 253, 253, 253, 253, 253, 0, 40, 0, 52, 64, 32, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.955976567206537, y=-0.2772777593576772, z=0.038329393105133454, w=-0.08807215645017129)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.03777777777777778, z=-0.15777777777777777)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.03, z=-0.08)>	COMP<5>
[1740779318.704063]	Q_Header<(2621443, 13310, 257, 173, 250, 8, 58, 6, 35)>	Q_Data<(0, 0, 58, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 15, 24, 24, 89, 237, 253, 253, 253, 250, 253, 253, 253, 253, 182, 64, 52, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.955976567206537, y=-0.2772777593576772, z=0.038329393105133454, w=-0.08807215645017129)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.03777777777777778, z=-0.15777777777777777)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.03, z=-0.08)>	COMP<5>
[1740779318.707651]	Q_Header<(2621443, 13311, 257, 173, 250, 8, 58, 7, 29)>	Q_Data<(0, 0, 59, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 12, 5, 143, 253, 253, 253, 253, 253, 253, 253, 253, 253, 95, 43, 63, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.955976567206537, y=-0.2772777593576772, z=0.038329393105133454, w=-0.08807215645017129)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.03777777777777778, z=-0.15777777777777777)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.03, z=-0.08)>	COMP<5>
[1740779318.728371]	Q_Header<(2621443, 13312, 257, 173, 250, 8, 58, 8, 29)>	Q_Data<(0, 0, 60, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 25, 62, 113, 119, 208, 253, 253, 253, 253, 230, 253, 253, 253, 253, 204, 77, 45, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9566311349574709, y=-0.27503221426136437, z=0.03802598080000666, w=-0.08813726528926102)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.03333333333333333, z=-0.15777777777777777)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=-0.09)>	COMP<7>
[1740779318.730188]	Q_Header<(2621443, 13313, 257, 173, 250, 8, 58, 9, 30)>	Q_Data<(0, 0, 61, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 54, 121, 208, 207, 253, 253, 253, 253, 253, 87, 253, 245, 253, 253, 236, 109, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9566311349574709, y=-0.27503221426136437, z=0.03802598080000666, w=-0.08813726528926102)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=-0.03333333333333333, z=-0.15777777777777777)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.02, z=-0.09)>	COMP<7>
[1740779318.7448397]	Q_Header<(2621443, 13314, 257, 173, 250, 8, 58, 10, 27)>	Q_Data<(0, 0, 61, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 50, 50, 165, 253, 253, 253, 253, 253, 253, 232, 177, 253, 251, 253, 245, 219, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.9574803292897226, y=-0.2721009312152472, z=0.037598513599953406, w=-0.08819781193495564)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.03777777777777778, z=-0.15333333333333332)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.01, z=0.03)>	COMP<8>
