[1740779860.5311992]	Q_Header<(2621443, 2018, 257, 173, 250, 8, 58, 0, 34)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 230, 112, 253, 253, 253, 201, 146, 253, 253, 253, 253, 253, 253, 250, 139, 97, 66, 47, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.295536776866399, y=-0.951003411886692, z=0.07739376973700825, w=0.04754711878953424)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.008888888888888889, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.12, z=0.0)>	COMP<166>
[1740779860.54142]	Q_Header<(2621443, 2019, 257, 173, 250, 8, 58, 1, 33)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 218, 218, 253, 253, 253, 252, 211, 253, 253, 253, 253, 253, 253, 253, 187, 128, 67, 70, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2959041134450323, y=-0.9508849388119139, z=0.07733302634794884, w=0.04773040773803946)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.014444444444444444, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.14, z=-0.08)>	COMP<166>
[1740779860.5510905]	Q_Header<(2621443, 2020, 257, 173, 250, 8, 58, 2, 32)>	Q_Data<(0, 0, 19, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 205, 218, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 237, 253, 253, 80, 71, 51, 8, 0, 0, 0, 0, 21, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2959041134450323, y=-0.9508849388119139, z=0.07733302634794884, w=0.04773040773803946)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.014444444444444444, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.14, z=-0.08)>	COMP<166>
[1740779860.5611055]	Q_Header<(2621443, 2021, 257, 173, 250, 8, 58, 3, 40)>	Q_Data<(0, 0, 59, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 169, 168, 253, 106, 253, 201, 210, 253, 253, 253, 191, 186, 253, 141, 253, 253, 107, 140, 31, 41, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2959041134450323, y=-0.9508849388119139, z=0.07733302634794884, w=0.04773040773803946)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.014444444444444444, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.14, z=-0.08)>	COMP<166>
[1740779860.5711176]	Q_Header<(2621443, 2022, 257, 173, 250, 8, 58, 4, 34)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 150, 217, 253, 192, 253, 253, 253, 253, 253, 253, 216, 136, 178, 253, 253, 253, 253, 253, 104, 74, 0, 0, 0, 0, 0, 0, 0, 63, 130, 82, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2959041134450323, y=-0.9508849388119139, z=0.07733302634794884, w=0.04773040773803946)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.014444444444444444, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.14, z=-0.08)>	COMP<166>
[1740779860.5811212]	Q_Header<(2621443, 2023, 257, 173, 250, 8, 58, 5, 40)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 210, 253, 253, 253, 253, 253, 253, 253, 253, 253, 200, 150, 179, 249, 253, 253, 253, 253, 169, 80, 0, 0, 19, 0, 0, 0, 19, 108, 241, 186, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.29632567697035506, y=-0.9507446076554522, z=0.07733154124025537, w=0.04791259658532002)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.011111111111111112, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.12, z=0.01)>	COMP<164>
[1740779860.5910664]	Q_Header<(2621443, 2024, 257, 173, 250, 8, 58, 6, 44)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 241, 247, 253, 253, 253, 253, 253, 253, 253, 253, 135, 120, 205, 177, 253, 253, 253, 253, 187, 69, 0, 42, 0, 9, 0, 0, 76, 112, 253, 241, 84, 0, 31, 0, 0, 0, 0, 0, 0, 0, 43, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.29632567697035506, y=-0.9507446076554522, z=0.07733154124025537, w=0.04791259658532002)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.011111111111111112, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.12, z=0.01)>	COMP<164>
[1740779860.6071885]	Q_Header<(2621443, 2025, 257, 173, 250, 8, 58, 7, 51)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 215, 240, 253, 253, 195, 253, 253, 253, 253, 172, 86, 66, 190, 186, 139, 253, 253, 253, 153, 0, 36, 43, 0, 0, 0, 0, 101, 89, 253, 225, 72, 39, 24, 0, 0, 0, 0, 0, 0, 36, 141, 145, 59, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.29632567697035506, y=-0.9507446076554522, z=0.07733154124025537, w=0.04791259658532002)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.011111111111111112, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.12, z=0.01)>	COMP<164>
[1740779860.6111665]	Q_Header<(2621443, 2026, 257, 173, 250, 8, 58, 8, 54)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 152, 215, 253, 236, 253, 253, 253, 253, 210, 166, 101, 104, 134, 163, 96, 186, 253, 253, 97, 60, 28, 0, 0, 0, 0, 17, 86, 55, 196, 157, 15, 0, 0, 0, 0, 25, 0, 0, 0, 93, 217, 217, 115, 146, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.296875691771364, y=-0.9505637384143141, z=0.0773317231649503, w=0.0480958151965121)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.01, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.1, z=0.01)>	COMP<164>
[1740779860.6211667]	Q_Header<(2621443, 2027, 257, 173, 250, 8, 58, 9, 57)>	Q_Data<(0, 0, 66, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 94, 130, 116, 253, 253, 253, 253, 253, 253, 240, 164, 198, 160, 97, 76, 81, 226, 232, 82, 58, 27, 66, 60, 0, 0, 0, 54, 57, 88, 82, 0, 0, 0, 0, 117, 138, 0, 0, 27, 121, 241, 235, 142, 141, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.296875691771364, y=-0.9505637384143141, z=0.0773317231649503, w=0.0480958151965121)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.01, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.1, z=0.01)>	COMP<164>
[1740779860.6311011]	Q_Header<(2621443, 2028, 257, 173, 250, 8, 58, 10, 56)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 148, 253, 253, 253, 253, 253, 253, 253, 242, 202, 253, 210, 57, 86, 87, 84, 121, 105, 9, 87, 126, 87, 0, 42, 35, 0, 36, 27, 0, 0, 8, 27, 80, 205, 234, 65, 0, 36, 135, 210, 206, 139, 126, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.296875691771364, y=-0.9505637384143141, z=0.0773317231649503, w=0.0480958151965121)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.01, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.1, z=0.01)>	COMP<164>
