[1740779585.5991354]	Q_Header<(2621443, 40054, 257, 173, 250, 8, 58, 0, 58)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 5, 0, 0, 0, 17, 22, 2, 0, 27, 23, 30, 0, 31, 64, 40, 153, 219, 109, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 134, 161, 33, 0, 0, 0, 22, 0, 30, 0, 29, 118, 170, 253, 239, 253, 253, 253, 253, 253, 253, 253, 180, 91, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8156763486734653, y=0.5713518632095411, z=-0.05834978968361514, w=0.06945822244765067)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.0, z=0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.2, y=-0.07, z=-0.05)>	COMP<240>
[1740779585.6092353]	Q_Header<(2621443, 40055, 257, 173, 250, 8, 58, 1, 51)>	Q_Data<(0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 28, 29, 8, 35, 34, 15, 25, 33, 141, 112, 253, 253, 180, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 253, 253, 156, 0, 0, 0, 0, 81, 82, 0, 48, 141, 183, 253, 253, 253, 253, 253, 253, 253, 253, 253, 0, 149, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8153778894923892, y=0.5717838213013476, z=-0.05828923455836752, w=0.06945879468840026)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.0, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.21, y=-0.07, z=0.03)>	COMP<241>
[1740779585.6191921]	Q_Header<(2621443, 40056, 257, 173, 250, 8, 58, 2, 58)>	Q_Data<(0, 0, 11, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 19, 11, 14, 7, 0, 9, 25, 21, 41, 89, 147, 138, 132, 242, 229, 253, 253, 213, 77, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 253, 253, 253, 253, 42, 34, 0, 0, 94, 159, 47, 0, 104, 127, 212, 231, 253, 253, 253, 253, 253, 253, 200, 0, 108, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8153778894923892, y=0.5717838213013476, z=-0.05828923455836752, w=0.06945879468840026)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.0, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.21, y=-0.07, z=0.03)>	COMP<241>
[1740779585.6291053]	Q_Header<(2621443, 40057, 257, 173, 250, 8, 58, 3, 59)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 18, 25, 15, 0, 0, 0, 0, 14, 62, 106, 199, 253, 253, 206, 253, 253, 253, 253, 177, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 253, 0, 0, 96, 151, 205, 253, 114, 0, 75, 30, 70, 159, 232, 253, 244, 253, 253, 253, 81, 0, 58, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8153778894923892, y=0.5717838213013476, z=-0.05828923455836752, w=0.06945879468840026)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.0, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.21, y=-0.07, z=0.03)>	COMP<241>
[1740779585.6391168]	Q_Header<(2621443, 40058, 257, 173, 250, 8, 58, 4, 55)>	Q_Data<(0, 0, 61, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 12, 0, 0, 0, 24, 26, 122, 238, 253, 253, 253, 220, 253, 253, 253, 253, 111, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 253, 253, 253, 0, 0, 122, 161, 244, 253, 110, 0, 0, 0, 0, 77, 104, 170, 81, 253, 236, 171, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8153778894923892, y=0.5717838213013476, z=-0.05828923455836752, w=0.06945879468840026)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.0, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.21, y=-0.07, z=0.03)>	COMP<241>
[1740779585.649147]	Q_Header<(2621443, 40059, 257, 173, 250, 8, 58, 5, 52)>	Q_Data<(0, 0, 60, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 15, 0, 11, 4, 17, 8, 36, 43, 127, 253, 253, 253, 253, 193, 253, 253, 253, 187, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 190, 221, 129, 24, 2, 89, 117, 169, 228, 83, 0, 0, 0, 0, 0, 0, 0, 31, 152, 107, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8150757406491189, y=0.572213199684401, z=-0.05822841519988464, w=0.06952008900699015)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.0011111111111111111, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.2, y=-0.07, z=-0.03)>	COMP<241>
[1740779585.6591563]	Q_Header<(2621443, 40060, 257, 173, 250, 8, 58, 6, 50)>	Q_Data<(0, 0, 60, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 17, 0, 29, 14, 7, 71, 96, 161, 253, 253, 253, 253, 253, 91, 253, 154, 78, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 253, 253, 157, 48, 0, 86, 102, 74, 143, 33, 0, 0, 0, 0, 0, 0, 35, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8150757406491189, y=0.572213199684401, z=-0.05822841519988464, w=0.06952008900699015)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.0011111111111111111, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.2, y=-0.07, z=-0.03)>	COMP<241>
[1740779585.6693475]	Q_Header<(2621443, 40061, 257, 173, 250, 8, 58, 7, 52)>	Q_Data<(0, 0, 61, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 20, 0, 11, 0, 20, 0, 22, 141, 209, 244, 253, 151, 253, 253, 253, 181, 135, 42, 26, 6, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 206, 253, 253, 190, 0, 0, 35, 27, 78, 62, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8150757406491189, y=0.572213199684401, z=-0.05822841519988464, w=0.06952008900699015)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.0011111111111111111, z=0.03333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.2, y=-0.07, z=-0.03)>	COMP<241>
[1740779585.6791322]	Q_Header<(2621443, 40062, 257, 173, 250, 8, 58, 8, 42)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 21, 11, 16, 0, 17, 44, 183, 253, 243, 162, 217, 253, 253, 253, 170, 97, 63, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 121, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8146964446631177, y=0.5727533290919011, z=-0.05822748038722013, w=0.06951897291514018)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.0, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.2, y=-0.06, z=-0.04)>	COMP<243>
[1740779585.689048]	Q_Header<(2621443, 40063, 257, 173, 250, 8, 58, 9, 35)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 26, 9, 2, 12, 0, 0, 63, 188, 253, 161, 253, 253, 253, 253, 253, 102, 79, 43, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 253, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8146964446631177, y=0.5727533290919011, z=-0.05822748038722013, w=0.06951897291514018)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.0, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.2, y=-0.06, z=-0.04)>	COMP<243>
[1740779585.6990385]	Q_Header<(2621443, 40064, 257, 173, 250, 8, 58, 10, 38)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 60, 38, 0, 22, 36, 64, 57, 151, 253, 253, 253, 253, 232, 253, 183, 67, 70, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 253, 202, 94, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8146964446631177, y=0.5727533290919011, z=-0.05822748038722013, w=0.06951897291514018)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.0, z=0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.2, y=-0.06, z=-0.04)>	COMP<243>
