[1740779685.5698097]	Q_Header<(2621443, 50054, 257, 173, 250, 8, 58, 0, 43)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 203, 253, 253, 253, 253, 249, 253, 204, 230, 149, 156, 149, 253, 253, 253, 253, 253, 177, 109, 58, 54, 63, 162, 182, 134, 125, 40, 29, 0, 29, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8127908146650461, y=-0.575917558547674, z=0.03332460650350042, w=0.08111428945632246)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.043333333333333335, y=-0.01, z=-0.07)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.16, z=-0.18)>	COMP<170>
[1740779685.5799007]	Q_Header<(2621443, 50055, 257, 173, 250, 8, 58, 1, 50)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 229, 253, 227, 253, 253, 153, 253, 173, 207, 88, 132, 125, 253, 253, 253, 253, 253, 133, 111, 49, 108, 121, 125, 151, 87, 36, 0, 0, 34, 51, 0, 0, 0, 8, 45, 88, 150, 82, 46, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8121853132188943, y=-0.5768365067432005, z=0.03308066730026608, w=0.0807485661222362)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03111111111111111, y=-0.011111111111111112, z=-0.07333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.15, z=-0.1)>	COMP<166>
[1740779685.589916]	Q_Header<(2621443, 50056, 257, 173, 250, 8, 58, 2, 54)>	Q_Data<(0, 0, 23, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 189, 250, 199, 253, 228, 123, 242, 212, 159, 253, 214, 73, 170, 180, 212, 253, 253, 109, 143, 59, 165, 190, 34, 106, 28, 0, 0, 0, 45, 71, 0, 0, 0, 43, 97, 154, 225, 144, 126, 175, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8121853132188943, y=-0.5768365067432005, z=0.03308066730026608, w=0.0807485661222362)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03111111111111111, y=-0.011111111111111112, z=-0.07333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.15, z=-0.1)>	COMP<166>
[1740779685.5998743]	Q_Header<(2621443, 50057, 257, 173, 250, 8, 58, 3, 52)>	Q_Data<(0, 0, 59, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 186, 240, 210, 206, 236, 188, 228, 115, 253, 253, 85, 59, 106, 204, 227, 112, 162, 190, 101, 189, 219, 62, 30, 0, 12, 0, 0, 89, 125, 60, 0, 0, 124, 206, 184, 228, 111, 158, 240, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8121853132188943, y=-0.5768365067432005, z=0.03308066730026608, w=0.0807485661222362)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03111111111111111, y=-0.011111111111111112, z=-0.07333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.15, z=-0.1)>	COMP<166>
[1740779685.6116564]	Q_Header<(2621443, 50058, 257, 173, 250, 8, 58, 4, 57)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 129, 253, 253, 253, 253, 174, 191, 130, 253, 253, 122, 132, 126, 176, 171, 159, 152, 160, 132, 175, 198, 57, 23, 22, 0, 0, 79, 119, 184, 100, 35, 20, 179, 253, 189, 226, 252, 79, 234, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 101, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8115522180062896, y=-0.5777792791551999, z=0.03289911593752934, w=0.08044718887878231)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=-0.01, z=-0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.14, z=-0.1)>	COMP<167>
[1740779685.6200042]	Q_Header<(2621443, 50059, 257, 173, 250, 8, 58, 5, 80)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 120, 236, 253, 253, 253, 197, 153, 91, 224, 253, 173, 175, 147, 112, 153, 156, 150, 201, 253, 147, 150, 17, 51, 28, 0, 18, 106, 79, 141, 95, 84, 84, 187, 253, 199, 253, 253, 171, 156, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 122, 0, 0, 0, 0, 0, 0, 0, 39, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 253, 253, 79, 33, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 182, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8115522180062896, y=-0.5777792791551999, z=0.03289911593752934, w=0.08044718887878231)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=-0.01, z=-0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.14, z=-0.1)>	COMP<167>
[1740779685.629969]	Q_Header<(2621443, 50060, 257, 173, 250, 8, 58, 6, 85)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 12, 96, 164, 253, 253, 253, 229, 201, 120, 142, 253, 208, 196, 189, 65, 132, 137, 218, 253, 253, 188, 115, 87, 131, 114, 55, 63, 102, 120, 153, 194, 112, 134, 174, 202, 190, 243, 253, 190, 59, 63, 45, 0, 0, 0, 0, 0, 48, 57, 0, 0, 0, 0, 55, 198, 216, 83, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 238, 253, 253, 240, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8115522180062896, y=-0.5777792791551999, z=0.03289911593752934, w=0.08044718887878231)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=-0.01, z=-0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.14, z=-0.1)>	COMP<167>
[1740779685.6400135]	Q_Header<(2621443, 50061, 257, 173, 250, 8, 58, 7, 87)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 51, 65, 155, 253, 253, 253, 243, 202, 207, 70, 253, 250, 253, 253, 122, 128, 136, 219, 253, 253, 230, 105, 122, 216, 178, 58, 77, 88, 123, 253, 246, 37, 146, 162, 146, 144, 135, 167, 125, 91, 87, 88, 27, 39, 0, 0, 0, 71, 83, 0, 0, 0, 0, 77, 249, 253, 111, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 253, 253, 253, 253, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8115522180062896, y=-0.5777792791551999, z=0.03289911593752934, w=0.08044718887878231)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=-0.01, z=-0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.14, z=-0.1)>	COMP<167>
[1740779685.6503303]	Q_Header<(2621443, 50062, 257, 173, 250, 8, 58, 8, 79)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 55, 158, 253, 253, 253, 196, 155, 253, 80, 253, 253, 253, 253, 253, 122, 113, 189, 253, 253, 244, 108, 127, 247, 188, 121, 74, 34, 114, 253, 239, 158, 134, 140, 84, 105, 173, 164, 113, 76, 115, 105, 62, 47, 0, 0, 0, 43, 148, 138, 0, 0, 0, 86, 234, 236, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 253, 253, 253, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 229, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8106145808658636, y=-0.5791063280818699, z=0.03283718428626117, w=0.08038396227696276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.01, z=-0.0811111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.12, z=-0.04)>	COMP<167>
[1740779685.6599739]	Q_Header<(2621443, 50063, 257, 173, 250, 8, 58, 9, 80)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 27, 166, 253, 253, 235, 72, 155, 253, 88, 253, 253, 253, 253, 253, 120, 118, 171, 246, 253, 196, 71, 119, 227, 162, 181, 112, 9, 84, 218, 169, 220, 164, 108, 65, 109, 191, 173, 112, 0, 133, 106, 75, 23, 0, 0, 0, 137, 253, 229, 66, 52, 0, 0, 173, 157, 54, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 253, 246, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8106145808658636, y=-0.5791063280818699, z=0.03283718428626117, w=0.08038396227696276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.01, z=-0.0811111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.12, z=-0.04)>	COMP<167>
[1740779685.6699467]	Q_Header<(2621443, 50064, 257, 173, 250, 8, 58, 10, 81)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 163, 62, 162, 248, 216, 162, 127, 203, 251, 147, 253, 253, 253, 253, 253, 190, 174, 181, 181, 245, 128, 0, 96, 171, 144, 203, 133, 32, 62, 140, 48, 211, 157, 8, 0, 80, 152, 110, 83, 0, 130, 75, 56, 0, 0, 0, 0, 180, 253, 253, 114, 125, 0, 0, 65, 39, 0, 71, 60, 134, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 54, 122, 0, 0, 70, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8106145808658636, y=-0.5791063280818699, z=0.03283718428626117, w=0.08038396227696276)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.01, z=-0.0811111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.12, z=-0.04)>	COMP<167>
