[1740780422.965138]	Q_Header<(2621443, 58268, 257, 173, 250, 8, 58, 0, 32)>	Q_Data<(0, 0, 0, 62, 57, 41, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 33, 89, 125, 116, 74, 34, 29, 26, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.33324783341549485, y=-0.9378546168978927, z=0.09619021711773258, w=-0.01104722671212538)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.022222222222222223, z=0.13777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.1, z=-0.07)>	COMP<90>
[1740780422.9752665]	Q_Header<(2621443, 58269, 257, 173, 250, 8, 58, 1, 36)>	Q_Data<(0, 0, 47, 71, 69, 61, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 51, 109, 141, 149, 99, 58, 26, 17, 0, 15, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3306955029883948, y=-0.9387406489408475, z=0.09637655947188545, w=-0.01086448865484206)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.025555555555555557, z=0.13444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.12, z=-0.1)>	COMP<90>
[1740780422.9851966]	Q_Header<(2621443, 58270, 257, 173, 250, 8, 58, 2, 35)>	Q_Data<(0, 0, 68, 60, 60, 21, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 27, 64, 152, 200, 164, 111, 54, 23, 9, 0, 16, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3306955029883948, y=-0.9387406489408475, z=0.09637655947188545, w=-0.01086448865484206)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.025555555555555557, z=0.13444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.12, z=-0.1)>	COMP<90>
[1740780422.9954603]	Q_Header<(2621443, 58271, 257, 173, 250, 8, 58, 3, 30)>	Q_Data<(0, 0, 76, 0, 67, 56, 47, 20, 56, 0, 0, 0, 0, 0, 0, 0, 20, 60, 185, 240, 161, 69, 40, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 98, 116, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3306955029883948, y=-0.9387406489408475, z=0.09637655947188545, w=-0.01086448865484206)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.025555555555555557, z=0.13444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.12, z=-0.1)>	COMP<90>
[1740780423.0051608]	Q_Header<(2621443, 58272, 257, 173, 250, 8, 58, 4, 36)>	Q_Data<(0, 0, 50, 51, 82, 0, 80, 82, 73, 83, 0, 0, 0, 0, 0, 0, 17, 62, 188, 209, 91, 97, 58, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 83, 123, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3306955029883948, y=-0.9387406489408475, z=0.09637655947188545, w=-0.01086448865484206)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.025555555555555557, z=0.13444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.12, z=-0.1)>	COMP<90>
[1740780423.0152771]	Q_Header<(2621443, 58273, 257, 173, 250, 8, 58, 5, 39)>	Q_Data<(0, 0, 54, 77, 76, 67, 86, 72, 44, 83, 0, 0, 0, 0, 0, 0, 22, 75, 176, 205, 160, 132, 78, 21, 0, 19, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 98, 116, 33, 29, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3288526404554962, y=-0.9393784315609767, z=0.09649517902007043, w=-0.010619962776402439)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.03, z=0.1288888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.17, z=-0.08)>	COMP<87>
[1740780423.0255382]	Q_Header<(2621443, 58274, 257, 173, 250, 8, 58, 6, 42)>	Q_Data<(0, 0, 66, 0, 61, 33, 72, 69, 0, 54, 0, 0, 0, 0, 0, 0, 24, 77, 172, 231, 221, 142, 79, 0, 8, 25, 13, 0, 0, 6, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 150, 228, 189, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3288526404554962, y=-0.9393784315609767, z=0.09649517902007043, w=-0.010619962776402439)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.03, z=0.1288888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.17, z=-0.08)>	COMP<87>
[1740780423.0351934]	Q_Header<(2621443, 58275, 257, 173, 250, 8, 58, 7, 36)>	Q_Data<(0, 0, 0, 0, 35, 76, 86, 86, 13, 0, 0, 0, 0, 0, 0, 0, 18, 68, 151, 216, 253, 136, 63, 0, 11, 19, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 161, 253, 233, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3288526404554962, y=-0.9393784315609767, z=0.09649517902007043, w=-0.010619962776402439)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.03, z=0.1288888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.17, z=-0.08)>	COMP<87>
[1740780423.04524]	Q_Header<(2621443, 58276, 257, 173, 250, 8, 58, 8, 31)>	Q_Data<(0, 0, 0, 0, 80, 80, 0, 39, 71, 72, 0, 0, 0, 0, 0, 0, 27, 50, 99, 180, 241, 118, 49, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 128, 211, 192, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32708191011349924, y=-0.9399866575215527, z=0.09661702998874216, w=-0.010375802336125185)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.028888888888888888, z=0.12111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.22, z=-0.01)>	COMP<85>
[1740780423.0551574]	Q_Header<(2621443, 58277, 257, 173, 250, 8, 58, 9, 34)>	Q_Data<(0, 0, 63, 0, 52, 75, 0, 42, 0, 78, 0, 0, 24, 0, 0, 0, 25, 20, 56, 128, 161, 97, 51, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 113, 103, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32708191011349924, y=-0.9399866575215527, z=0.09661702998874216, w=-0.010375802336125185)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.028888888888888888, z=0.12111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.22, z=-0.01)>	COMP<85>
[1740780423.0657349]	Q_Header<(2621443, 58278, 257, 173, 250, 8, 58, 10, 37)>	Q_Data<(0, 0, 30, 0, 82, 70, 0, 40, 0, 35, 0, 0, 64, 0, 0, 0, 36, 32, 65, 75, 74, 71, 37, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32708191011349924, y=-0.9399866575215527, z=0.09661702998874216, w=-0.010375802336125185)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.028888888888888888, z=0.12111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.22, z=-0.01)>	COMP<85>
