[1740780030.5023453]	Q_Header<(2621443, 19018, 257, 173, 250, 8, 58, 0, 46)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 36, 112, 161, 253, 253, 253, 253, 253, 253, 232, 83, 253, 253, 253, 253, 117, 121, 96, 49, 0, 30, 0, 0, 0, 0, 57, 2, 94, 81, 50, 62, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23157335909137766, y=-0.9686529279863372, z=0.0898460686827907, w=-0.0036011671550846814)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.013333333333333334, y=-0.01, z=0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.12, z=-0.05)>	COMP<186>
[1740780030.5127387]	Q_Header<(2621443, 19019, 257, 173, 250, 8, 58, 1, 50)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38, 117, 172, 253, 253, 253, 180, 253, 226, 248, 198, 253, 253, 253, 253, 226, 176, 122, 69, 44, 36, 0, 0, 0, 11, 17, 28, 61, 51, 47, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 43, 96, 68, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2314488174265871, y=-0.9686425982489286, z=0.09027236312603437, w=-0.0037232009132441494)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=-0.0033333333333333335, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.11, z=-0.04)>	COMP<188>
[1740780030.5223813]	Q_Header<(2621443, 19020, 257, 173, 250, 8, 58, 2, 48)>	Q_Data<(0, 0, 21, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 91, 162, 242, 253, 253, 253, 161, 167, 160, 216, 161, 253, 253, 253, 253, 253, 253, 194, 46, 0, 0, 46, 0, 0, 0, 15, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 66, 88, 62, 0, 43, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2314488174265871, y=-0.9686425982489286, z=0.09027236312603437, w=-0.0037232009132441494)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=-0.0033333333333333335, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.11, z=-0.04)>	COMP<188>
[1740780030.5331914]	Q_Header<(2621443, 19021, 257, 173, 250, 8, 58, 3, 48)>	Q_Data<(0, 0, 61, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 64, 189, 244, 253, 253, 253, 253, 232, 129, 159, 147, 253, 253, 253, 253, 253, 253, 253, 152, 54, 0, 76, 66, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 30, 76, 37, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2314488174265871, y=-0.9686425982489286, z=0.09027236312603437, w=-0.0037232009132441494)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=-0.0033333333333333335, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.11, z=-0.04)>	COMP<188>
[1740780030.542424]	Q_Header<(2621443, 19022, 257, 173, 250, 8, 58, 4, 46)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 54, 201, 253, 253, 253, 140, 224, 253, 188, 183, 218, 253, 253, 253, 253, 253, 253, 253, 233, 44, 46, 77, 124, 87, 0, 28, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 30, 0, 0, 16, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23144109774565505, y=-0.9686102904070533, z=0.09063555647476207, w=-0.0037841107753772713)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.0011111111111111111, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=-0.08)>	COMP<188>
[1740780030.5538785]	Q_Header<(2621443, 19023, 257, 173, 250, 8, 58, 5, 37)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 167, 227, 190, 253, 253, 253, 253, 218, 193, 196, 253, 253, 253, 253, 253, 253, 253, 253, 75, 85, 44, 111, 110, 11, 60, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23144109774565505, y=-0.9686102904070533, z=0.09063555647476207, w=-0.0037841107753772713)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.0011111111111111111, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=-0.08)>	COMP<188>
[1740780030.5658464]	Q_Header<(2621443, 19024, 257, 173, 250, 8, 58, 6, 51)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 110, 175, 126, 253, 253, 253, 253, 253, 166, 158, 253, 253, 253, 253, 253, 253, 253, 253, 136, 118, 172, 157, 113, 34, 37, 53, 23, 0, 9, 0, 0, 33, 0, 0, 0, 0, 26, 0, 69, 30, 0, 0, 0, 65, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23144109774565505, y=-0.9686102904070533, z=0.09063555647476207, w=-0.0037841107753772713)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.0011111111111111111, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=-0.08)>	COMP<188>
[1740780030.5724552]	Q_Header<(2621443, 19025, 257, 173, 250, 8, 58, 7, 66)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 13, 70, 140, 162, 219, 253, 253, 253, 240, 171, 194, 253, 253, 253, 231, 253, 253, 162, 233, 143, 224, 253, 253, 239, 129, 93, 33, 29, 0, 0, 4, 12, 73, 0, 0, 0, 0, 28, 126, 186, 170, 62, 0, 55, 75, 103, 143, 113, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23144109774565505, y=-0.9686102904070533, z=0.09063555647476207, w=-0.0037841107753772713)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.021111111111111112, y=0.0011111111111111111, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=-0.08)>	COMP<188>
[1740780030.5824878]	Q_Header<(2621443, 19026, 257, 173, 250, 8, 58, 8, 67)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 96, 138, 161, 253, 253, 150, 208, 179, 228, 253, 253, 253, 97, 196, 187, 91, 163, 117, 253, 253, 253, 253, 253, 253, 238, 46, 0, 31, 94, 83, 64, 0, 0, 0, 0, 67, 161, 250, 247, 101, 0, 72, 110, 116, 189, 115, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 106, 27, 115, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23144702873013454, y=-0.9685740767190151, z=0.09100409278392158, w=-0.003845243357067109)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.0, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.1, z=0.03)>	COMP<190>
[1740780030.5924654]	Q_Header<(2621443, 19027, 257, 173, 250, 8, 58, 9, 68)>	Q_Data<(0, 0, 66, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46, 46, 219, 253, 253, 253, 253, 170, 253, 236, 253, 233, 215, 78, 83, 29, 76, 81, 253, 253, 253, 253, 253, 253, 253, 190, 55, 46, 117, 135, 0, 0, 0, 0, 0, 45, 170, 253, 250, 104, 15, 64, 140, 87, 156, 75, 60, 0, 0, 0, 0, 0, 0, 13, 0, 0, 85, 149, 106, 20, 143, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23144702873013454, y=-0.9685740767190151, z=0.09100409278392158, w=-0.003845243357067109)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.0, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.1, z=0.03)>	COMP<190>
[1740780030.6024296]	Q_Header<(2621443, 19028, 257, 173, 250, 8, 58, 10, 62)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 114, 253, 253, 253, 253, 253, 148, 246, 245, 234, 253, 228, 65, 62, 53, 51, 0, 236, 253, 253, 253, 253, 253, 253, 253, 106, 100, 144, 123, 62, 0, 0, 0, 0, 42, 191, 253, 235, 63, 0, 46, 95, 55, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 105, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23144702873013454, y=-0.9685740767190151, z=0.09100409278392158, w=-0.003845243357067109)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.0, z=0.0033333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.1, z=0.03)>	COMP<190>
