[1740780450.4652903]	Q_Header<(2621443, 61018, 257, 173, 250, 8, 58, 0, 20)>	Q_Data<(0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 26, 23, 6, 34, 52, 76, 158, 129, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6779371974344055, y=-0.7287809613187001, z=0.0834985222013385, w=-0.04803606503834313)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.03666666666666667, z=0.19111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.04, z=0.03)>	COMP<152>
[1740780450.4754655]	Q_Header<(2621443, 61019, 257, 173, 250, 8, 58, 1, 25)>	Q_Data<(0, 0, 45, 20, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 20, 32, 11, 35, 63, 36, 128, 87, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6758401488905399, y=-0.7307105809191315, z=0.08373996968100972, w=-0.04785141124629127)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.03666666666666667, z=0.19333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.03, z=0.06)>	COMP<153>
[1740780450.4853294]	Q_Header<(2621443, 61020, 257, 173, 250, 8, 58, 2, 21)>	Q_Data<(0, 0, 0, 0, 65, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 29, 0, 25, 60, 45, 50, 32, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6758401488905399, y=-0.7307105809191315, z=0.08373996968100972, w=-0.04785141124629127)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.03666666666666667, z=0.19333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.03, z=0.06)>	COMP<153>
[1740780450.495294]	Q_Header<(2621443, 61021, 257, 173, 250, 8, 58, 3, 21)>	Q_Data<(0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 25, 0, 0, 37, 56, 72, 86, 10, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6758401488905399, y=-0.7307105809191315, z=0.08373996968100972, w=-0.04785141124629127)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.03666666666666667, z=0.19333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.03, z=0.06)>	COMP<153>
[1740780450.5053463]	Q_Header<(2621443, 61022, 257, 173, 250, 8, 58, 4, 22)>	Q_Data<(0, 0, 77, 48, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 16, 25, 0, 0, 0, 34, 83, 89, 11, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6758401488905399, y=-0.7307105809191315, z=0.08373996968100972, w=-0.04785141124629127)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.03666666666666667, z=0.19333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.03, z=0.06)>	COMP<153>
[1740780450.51539]	Q_Header<(2621443, 61023, 257, 173, 250, 8, 58, 5, 20)>	Q_Data<(0, 0, 76, 75, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 33, 29, 12, 14, 0, 18, 57, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6730613391672011, y=-0.7332443880852079, z=0.08410977830528732, w=-0.047609308474690935)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.03888888888888889, z=0.19111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=0.0, z=0.08)>	COMP<153>
[1740780450.525286]	Q_Header<(2621443, 61024, 257, 173, 250, 8, 58, 6, 21)>	Q_Data<(0, 0, 0, 79, 81, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 33, 34, 17, 10, 0, 0, 11, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6730613391672011, y=-0.7332443880852079, z=0.08410977830528732, w=-0.047609308474690935)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.03888888888888889, z=0.19111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=0.0, z=0.08)>	COMP<153>
[1740780450.5354397]	Q_Header<(2621443, 61025, 257, 173, 250, 8, 58, 7, 15)>	Q_Data<(0, 0, 0, 0, 79, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34, 37, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6730613391672011, y=-0.7332443880852079, z=0.08410977830528732, w=-0.047609308474690935)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.03888888888888889, z=0.19111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=0.0, z=0.08)>	COMP<153>
[1740780450.5453806]	Q_Header<(2621443, 61026, 257, 173, 250, 8, 58, 8, 20)>	Q_Data<(0, 0, 50, 70, 57, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 29, 41, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6710152971522655, y=-0.7351017135621144, z=0.08434993093182017, w=-0.04742394814328819)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.03666666666666667, z=0.18555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.01, z=0.09)>	COMP<153>
[1740780450.5553498]	Q_Header<(2621443, 61027, 257, 173, 250, 8, 58, 9, 16)>	Q_Data<(0, 0, 0, 62, 53, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 39, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6710152971522655, y=-0.7351017135621144, z=0.08434993093182017, w=-0.04742394814328819)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.03666666666666667, z=0.18555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.01, z=0.09)>	COMP<153>
[1740780450.5652952]	Q_Header<(2621443, 61028, 257, 173, 250, 8, 58, 10, 15)>	Q_Data<(0, 0, 11, 56, 82, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 39, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.6710152971522655, y=-0.7351017135621144, z=0.08434993093182017, w=-0.04742394814328819)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.03666666666666667, z=0.18555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.01, z=0.09)>	COMP<153>
