[1740779843.0308285]	Q_Header<(2621443, 268, 257, 173, 250, 8, 58, 0, 35)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 135, 253, 253, 253, 190, 253, 253, 253, 176, 189, 156, 191, 253, 253, 253, 219, 173, 82, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.41565771845956356, y=-0.9049253060031555, z=0.07415919646525253, w=0.053284755978737)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01888888888888889, y=0.0044444444444444444, z=-0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.13, z=0.05)>	COMP<180>
[1740779843.0419202]	Q_Header<(2621443, 269, 257, 173, 250, 8, 58, 1, 34)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 191, 253, 253, 253, 253, 253, 253, 253, 123, 132, 64, 157, 248, 253, 253, 253, 226, 89, 8, 23, 19, 0, 0, 0, 0, 0, 23, 25, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.41423050468477585, y=-0.905545601592459, z=0.0743991432460206, w=0.05352588074385567)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.0033333333333333335, z=-0.07666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.11, z=0.05)>	COMP<180>
[1740779843.051031]	Q_Header<(2621443, 270, 257, 173, 250, 8, 58, 2, 40)>	Q_Data<(0, 0, 21, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 202, 253, 253, 253, 253, 253, 253, 253, 214, 124, 95, 146, 66, 253, 253, 253, 253, 110, 40, 42, 36, 10, 0, 18, 0, 30, 63, 33, 52, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.41423050468477585, y=-0.905545601592459, z=0.0743991432460206, w=0.05352588074385567)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.0033333333333333335, z=-0.07666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.11, z=0.05)>	COMP<180>
[1740779843.0610826]	Q_Header<(2621443, 271, 257, 173, 250, 8, 58, 3, 38)>	Q_Data<(0, 0, 62, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 173, 253, 253, 253, 253, 253, 253, 253, 244, 123, 34, 112, 162, 81, 229, 253, 253, 105, 73, 51, 49, 40, 0, 0, 0, 51, 84, 68, 75, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.41423050468477585, y=-0.905545601592459, z=0.0743991432460206, w=0.05352588074385567)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.0033333333333333335, z=-0.07666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.11, z=0.05)>	COMP<180>
[1740779843.0711045]	Q_Header<(2621443, 272, 257, 173, 250, 8, 58, 4, 43)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 196, 253, 253, 253, 253, 253, 253, 253, 253, 119, 56, 87, 120, 72, 187, 253, 253, 106, 116, 39, 23, 27, 0, 0, 0, 45, 90, 42, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 63, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.41423050468477585, y=-0.905545601592459, z=0.0743991432460206, w=0.05352588074385567)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.0033333333333333335, z=-0.07666666666666666)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.11, z=0.05)>	COMP<180>
[1740779843.0813317]	Q_Header<(2621443, 273, 257, 173, 250, 8, 58, 5, 54)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 213, 198, 253, 253, 253, 253, 253, 253, 178, 205, 123, 105, 46, 9, 135, 253, 253, 85, 160, 91, 40, 0, 13, 69, 62, 65, 94, 6, 48, 23, 0, 6, 0, 65, 57, 0, 0, 0, 49, 119, 149, 78, 109, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.41320260413640336, y=-0.905994011196569, z=0.0745229512039215, w=0.0537102351019254)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.0033333333333333335, z=-0.07333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.1, z=0.02)>	COMP<186>
[1740779843.0911996]	Q_Header<(2621443, 274, 257, 173, 250, 8, 58, 6, 53)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 199, 218, 164, 253, 253, 253, 253, 253, 180, 253, 235, 152, 64, 24, 93, 210, 239, 91, 192, 106, 105, 43, 56, 96, 93, 86, 85, 0, 0, 0, 0, 12, 25, 145, 133, 12, 0, 0, 88, 174, 226, 176, 160, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.41320260413640336, y=-0.905994011196569, z=0.0745229512039215, w=0.0537102351019254)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.0033333333333333335, z=-0.07333333333333333)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.1, z=0.02)>	COMP<186>
[1740779843.1110246]	Q_Header<(2621443, 275, 257, 173, 250, 8, 58, 7, 62)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 198, 242, 152, 253, 253, 174, 253, 253, 253, 253, 253, 219, 82, 116, 91, 126, 121, 189, 205, 123, 166, 86, 47, 58, 81, 99, 44, 0, 0, 0, 0, 25, 67, 176, 170, 22, 0, 0, 98, 160, 237, 231, 181, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.4122837790507766, y=-0.9064139752306564, z=0.07446131908837121, w=0.05377083780070085)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.0033333333333333335, z=-0.07)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.11, z=0.1)>	COMP<187>
[1740779843.1125355]	Q_Header<(2621443, 276, 257, 173, 250, 8, 58, 8, 56)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 201, 250, 177, 252, 253, 253, 253, 253, 253, 253, 253, 253, 196, 208, 150, 51, 91, 237, 211, 170, 201, 104, 0, 98, 125, 101, 0, 0, 0, 0, 0, 41, 62, 149, 175, 0, 0, 0, 83, 103, 205, 229, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 206, 147, 21, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.4122837790507766, y=-0.9064139752306564, z=0.07446131908837121, w=0.05377083780070085)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.0033333333333333335, z=-0.07)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.11, z=0.1)>	COMP<187>
[1740779843.131171]	Q_Header<(2621443, 277, 257, 173, 250, 8, 58, 9, 65)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 189, 253, 211, 248, 253, 253, 253, 253, 253, 237, 253, 253, 253, 253, 253, 48, 103, 229, 188, 174, 194, 86, 134, 188, 253, 138, 14, 0, 0, 0, 63, 80, 73, 99, 153, 0, 0, 0, 7, 69, 146, 161, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 219, 253, 223, 112, 156, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.4122837790507766, y=-0.9064139752306564, z=0.07446131908837121, w=0.05377083780070085)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.0033333333333333335, z=-0.07)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.11, z=0.1)>	COMP<187>
[1740779843.1346939]	Q_Header<(2621443, 278, 257, 173, 250, 8, 58, 10, 72)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 179, 253, 239, 238, 253, 253, 253, 253, 253, 205, 253, 253, 253, 253, 253, 56, 71, 173, 118, 166, 163, 69, 224, 253, 253, 198, 43, 0, 0, 45, 128, 169, 124, 116, 95, 42, 29, 0, 0, 17, 81, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 250, 253, 250, 135, 184, 136, 21, 0, 0, 0, 0, 0, 35, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 240, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.4122837790507766, y=-0.9064139752306564, z=0.07446131908837121, w=0.05377083780070085)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.0033333333333333335, z=-0.07)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.11, z=0.1)>	COMP<187>
