[1740780617.9665525]	Q_Header<(2621443, 12232, 257, 173, 250, 8, 58, 0, 17)>	Q_Data<(0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 79, 0, 166, 193, 76, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30811042614145606, y=-0.947097758010494, z=0.08984519557849115, w=-0.0012817589043127135)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04, y=0.014444444444444444, z=-0.04666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=-0.15, z=-0.26)>	COMP<184>
[1740780617.976719]	Q_Header<(2621443, 12233, 257, 173, 250, 8, 58, 1, 27)>	Q_Data<(0, 0, 0, 71, 52, 0, 23, 0, 0, 0, 0, 77, 0, 76, 0, 0, 160, 216, 83, 33, 0, 9, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3087816286804956, y=-0.9469140516602508, z=0.08947892224661129, w=-0.0010986497956609845)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=0.0, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.11, z=-0.23)>	COMP<188>
[1740780617.9865348]	Q_Header<(2621443, 12234, 257, 173, 250, 8, 58, 2, 23)>	Q_Data<(0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 51, 0, 36, 0, 0, 143, 193, 75, 25, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3087816286804956, y=-0.9469140516602508, z=0.08947892224661129, w=-0.0010986497956609845)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=0.0, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.11, z=-0.23)>	COMP<188>
[1740780617.9965522]	Q_Header<(2621443, 12235, 257, 173, 250, 8, 58, 3, 25)>	Q_Data<(0, 0, 0, 55, 0, 0, 33, 0, 0, 0, 68, 0, 0, 0, 0, 0, 124, 139, 58, 12, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3087816286804956, y=-0.9469140516602508, z=0.08947892224661129, w=-0.0010986497956609845)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.022222222222222223, y=0.0, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.11, z=-0.23)>	COMP<188>
[1740780618.0069194]	Q_Header<(2621443, 12236, 257, 173, 250, 8, 58, 4, 21)>	Q_Data<(0, 0, 0, 22, 10, 42, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 97, 96, 40, 37, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3095775222272287, y=-0.9466773205331855, z=0.08923547663568776, w=-0.0009155486658928293)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.0033333333333333335, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.15, z=-0.13)>	COMP<184>
[1740780618.0165746]	Q_Header<(2621443, 12237, 257, 173, 250, 8, 58, 5, 21)>	Q_Data<(0, 0, 18, 0, 76, 85, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 62, 67, 44, 60, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3095775222272287, y=-0.9466773205331855, z=0.08923547663568776, w=-0.0009155486658928293)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.0033333333333333335, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.15, z=-0.13)>	COMP<184>
[1740780618.0265322]	Q_Header<(2621443, 12238, 257, 173, 250, 8, 58, 6, 20)>	Q_Data<(0, 0, 63, 54, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 50, 78, 77, 39, 21, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3095775222272287, y=-0.9466773205331855, z=0.08923547663568776, w=-0.0009155486658928293)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.0033333333333333335, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.15, z=-0.13)>	COMP<184>
[1740780618.0365765]	Q_Header<(2621443, 12239, 257, 173, 250, 8, 58, 7, 26)>	Q_Data<(0, 0, 62, 66, 83, 82, 22, 0, 0, 0, 0, 21, 0, 0, 0, 0, 78, 106, 118, 94, 16, 37, 23, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3095775222272287, y=-0.9466773205331855, z=0.08923547663568776, w=-0.0009155486658928293)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.0033333333333333335, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.07, y=-0.15, z=-0.13)>	COMP<184>
[1740780618.0466383]	Q_Header<(2621443, 12240, 257, 173, 250, 8, 58, 8, 27)>	Q_Data<(0, 0, 62, 56, 81, 53, 67, 0, 0, 0, 31, 48, 0, 0, 0, 0, 112, 157, 155, 111, 40, 47, 20, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.31073315801799284, y=-0.9462987393264508, z=0.08923431094525743, w=-0.0009155367060046932)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0077777777777777776, z=-0.06333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=-0.16, z=-0.09)>	COMP<184>
[1740780618.0565808]	Q_Header<(2621443, 12241, 257, 173, 250, 8, 58, 9, 26)>	Q_Data<(0, 0, 62, 66, 81, 55, 67, 0, 0, 0, 30, 0, 0, 0, 0, 0, 137, 199, 182, 118, 67, 52, 18, 13, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.31073315801799284, y=-0.9462987393264508, z=0.08923431094525743, w=-0.0009155367060046932)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0077777777777777776, z=-0.06333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=-0.16, z=-0.09)>	COMP<184>
[1740780618.0678575]	Q_Header<(2621443, 12242, 257, 173, 250, 8, 58, 10, 22)>	Q_Data<(0, 0, 62, 65, 79, 30, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 225, 206, 113, 67, 45, 20, 15, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.31073315801799284, y=-0.9462987393264508, z=0.08923431094525743, w=-0.0009155367060046932)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.0077777777777777776, z=-0.06333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=-0.16, z=-0.09)>	COMP<184>
