[1740780427.9651985]	Q_Header<(2621443, 58768, 257, 173, 250, 8, 58, 0, 34)>	Q_Data<(0, 0, 63, 65, 83, 61, 70, 7, 0, 0, 0, 0, 0, 0, 0, 0, 99, 129, 199, 41, 67, 39, 14, 29, 0, 0, 0, 5, 0, 0, 0, 0, 0, 22, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3961696218263918, y=-0.9133079989231438, z=0.09295429580058462, w=-0.016662194848036507)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.07555555555555556, y=-0.044444444444444446, z=-0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.06, y=-0.05, z=-0.38)>	COMP<90>
[1740780427.9761293]	Q_Header<(2621443, 58769, 257, 173, 250, 8, 58, 1, 30)>	Q_Data<(0, 0, 0, 0, 30, 75, 26, 69, 0, 0, 0, 0, 0, 23, 0, 0, 47, 132, 132, 48, 40, 27, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3963688283111687, y=-0.9133451103862532, z=0.09167631353917083, w=-0.016968052705652124)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06888888888888889, y=-0.05555555555555555, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.08, z=-0.2)>	COMP<94>
[1740780427.9855602]	Q_Header<(2621443, 58770, 257, 173, 250, 8, 58, 2, 28)>	Q_Data<(0, 0, 0, 0, 46, 0, 0, 59, 0, 0, 0, 0, 0, 93, 0, 0, 72, 106, 47, 50, 39, 23, 8, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3963688283111687, y=-0.9133451103862532, z=0.09167631353917083, w=-0.016968052705652124)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06888888888888889, y=-0.05555555555555555, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.08, z=-0.2)>	COMP<94>
[1740780427.9951744]	Q_Header<(2621443, 58771, 257, 173, 250, 8, 58, 3, 28)>	Q_Data<(0, 0, 44, 63, 74, 11, 29, 0, 0, 0, 0, 0, 0, 98, 0, 0, 40, 49, 22, 64, 68, 16, 28, 19, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3963688283111687, y=-0.9133451103862532, z=0.09167631353917083, w=-0.016968052705652124)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06888888888888889, y=-0.05555555555555555, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.08, z=-0.2)>	COMP<94>
[1740780428.0052497]	Q_Header<(2621443, 58772, 257, 173, 250, 8, 58, 4, 31)>	Q_Data<(0, 0, 58, 64, 68, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 45, 36, 40, 88, 101, 42, 37, 5, 0, 0, 0, 0, 0, 0, 0, 0, 39, 34, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3963688283111687, y=-0.9133451103862532, z=0.09167631353917083, w=-0.016968052705652124)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06888888888888889, y=-0.05555555555555555, z=-0.013333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.08, z=-0.2)>	COMP<94>
[1740780428.0152955]	Q_Header<(2621443, 58773, 257, 173, 250, 8, 58, 5, 34)>	Q_Data<(0, 0, 77, 70, 66, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 30, 37, 58, 94, 112, 66, 36, 0, 0, 0, 0, 0, 0, 19, 21, 27, 46, 37, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3966144076604308, y=-0.9133484143168186, z=0.09051695391819313, w=-0.017273295993829166)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06222222222222222, y=-0.06, z=-0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.07, z=-0.19)>	COMP<93>
[1740780428.0266292]	Q_Header<(2621443, 58774, 257, 173, 250, 8, 58, 6, 30)>	Q_Data<(0, 0, 0, 79, 66, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 21, 23, 102, 121, 93, 49, 20, 0, 0, 0, 0, 0, 0, 14, 30, 20, 26, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3966144076604308, y=-0.9133484143168186, z=0.09051695391819313, w=-0.017273295993829166)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06222222222222222, y=-0.06, z=-0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.07, z=-0.19)>	COMP<93>
[1740780428.0352802]	Q_Header<(2621443, 58775, 257, 173, 250, 8, 58, 7, 38)>	Q_Data<(0, 0, 40, 78, 66, 0, 0, 0, 23, 0, 0, 0, 68, 0, 0, 0, 34, 68, 128, 158, 153, 89, 24, 15, 7, 0, 0, 0, 0, 14, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3966144076604308, y=-0.9133484143168186, z=0.09051695391819313, w=-0.017273295993829166)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.06222222222222222, y=-0.06, z=-0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.07, z=-0.19)>	COMP<93>
[1740780428.0452719]	Q_Header<(2621443, 58776, 257, 173, 250, 8, 58, 8, 36)>	Q_Data<(0, 0, 58, 0, 74, 48, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 29, 80, 112, 164, 189, 95, 61, 32, 11, 8, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 97, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3971577132206811, y=-0.9132124950373184, z=0.08941694327159948, w=-0.01770028228584563)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.05, z=-0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.11, z=-0.14)>	COMP<93>
[1740780428.0552604]	Q_Header<(2621443, 58777, 257, 173, 250, 8, 58, 9, 34)>	Q_Data<(0, 0, 58, 66, 60, 65, 55, 75, 0, 0, 0, 0, 0, 0, 0, 0, 31, 63, 117, 184, 172, 61, 88, 25, 0, 15, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 122, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3971577132206811, y=-0.9132124950373184, z=0.08941694327159948, w=-0.01770028228584563)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.05, z=-0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.11, z=-0.14)>	COMP<93>
[1740780428.065185]	Q_Header<(2621443, 58778, 257, 173, 250, 8, 58, 10, 34)>	Q_Data<(0, 0, 55, 73, 61, 12, 87, 74, 0, 0, 0, 0, 0, 0, 0, 0, 39, 71, 163, 165, 71, 88, 100, 22, 18, 16, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 123, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3971577132206811, y=-0.9132124950373184, z=0.08941694327159948, w=-0.01770028228584563)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.05, z=-0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.11, z=-0.14)>	COMP<93>
