[1740779850.5312393]	Q_Header<(2621443, 1018, 257, 173, 250, 8, 58, 0, 45)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 225, 253, 253, 253, 253, 253, 253, 232, 129, 19, 77, 87, 38, 42, 45, 0, 24, 69, 200, 253, 253, 253, 112, 103, 197, 189, 185, 82, 36, 17, 35, 0, 0, 18, 42, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.19708608595402743, y=-0.976580171961734, z=0.08117822679431913, w=0.029297405158852017)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.0022222222222222222, z=-0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.17, z=-0.16)>	COMP<181>
[1740779850.5412242]	Q_Header<(2621443, 1019, 257, 173, 250, 8, 58, 1, 48)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 238, 253, 253, 227, 253, 253, 253, 253, 169, 114, 110, 81, 67, 33, 37, 0, 0, 45, 115, 148, 253, 253, 50, 39, 119, 114, 109, 66, 0, 50, 10, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.19622672470337607, y=-0.9767391214395419, z=0.08123725367968695, w=0.02960185427096031)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.008888888888888889, z=-0.056666666666666664)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.18, z=-0.05)>	COMP<184>
[1740779850.55103]	Q_Header<(2621443, 1020, 257, 173, 250, 8, 58, 2, 45)>	Q_Data<(0, 0, 32, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 240, 253, 253, 253, 253, 253, 253, 253, 253, 180, 175, 140, 67, 104, 50, 10, 0, 0, 34, 44, 83, 168, 151, 50, 16, 79, 78, 74, 19, 10, 66, 0, 0, 14, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.19622672470337607, y=-0.9767391214395419, z=0.08123725367968695, w=0.02960185427096031)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.008888888888888889, z=-0.056666666666666664)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.18, z=-0.05)>	COMP<184>
[1740779850.5610838]	Q_Header<(2621443, 1021, 257, 173, 250, 8, 58, 3, 50)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 252, 253, 253, 253, 196, 253, 253, 253, 241, 224, 203, 174, 199, 253, 87, 30, 0, 20, 33, 0, 68, 117, 91, 45, 0, 22, 31, 0, 0, 23, 57, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.19622672470337607, y=-0.9767391214395419, z=0.08123725367968695, w=0.02960185427096031)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.008888888888888889, z=-0.056666666666666664)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.18, z=-0.05)>	COMP<184>
[1740779850.5710993]	Q_Header<(2621443, 1022, 257, 173, 250, 8, 58, 4, 43)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 253, 253, 253, 214, 196, 253, 253, 174, 253, 244, 209, 250, 253, 119, 30, 0, 0, 0, 0, 66, 28, 66, 0, 0, 0, 0, 0, 0, 4, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.19622672470337607, y=-0.9767391214395419, z=0.08123725367968695, w=0.02960185427096031)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.008888888888888889, z=-0.056666666666666664)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.18, y=-0.18, z=-0.05)>	COMP<184>
[1740779850.5813143]	Q_Header<(2621443, 1023, 257, 173, 250, 8, 58, 5, 37)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 253, 253, 253, 253, 101, 83, 225, 184, 253, 253, 181, 238, 253, 117, 61, 0, 0, 0, 0, 42, 43, 53, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.1952473138847362, y=-0.976907941869049, z=0.08129709974819276, w=0.030333827758897747)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.01888888888888889, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.17, z=0.0)>	COMP<187>
[1740779850.5910127]	Q_Header<(2621443, 1024, 257, 173, 250, 8, 58, 6, 36)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 251, 253, 253, 253, 253, 253, 226, 73, 151, 253, 253, 113, 170, 228, 111, 83, 33, 0, 0, 0, 12, 55, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.1952473138847362, y=-0.976907941869049, z=0.08129709974819276, w=0.030333827758897747)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.01888888888888889, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.17, z=0.0)>	COMP<187>
[1740779850.6010113]	Q_Header<(2621443, 1025, 257, 173, 250, 8, 58, 7, 36)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 203, 196, 196, 253, 253, 253, 246, 168, 108, 253, 253, 229, 132, 152, 105, 99, 74, 0, 0, 0, 0, 30, 24, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.1952473138847362, y=-0.976907941869049, z=0.08129709974819276, w=0.030333827758897747)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.01888888888888889, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.17, z=0.0)>	COMP<187>
[1740779850.6110837]	Q_Header<(2621443, 1026, 257, 173, 250, 8, 58, 8, 40)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 170, 192, 253, 253, 253, 237, 180, 145, 253, 253, 253, 229, 120, 61, 137, 91, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.19464281618838558, y=-0.9769982937370612, z=0.08136057509536469, w=0.031128202024483114)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.04555555555555556, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.17, z=-0.04)>	COMP<187>
[1740779850.6210585]	Q_Header<(2621443, 1027, 257, 173, 250, 8, 58, 9, 38)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 249, 253, 227, 253, 253, 219, 166, 199, 224, 253, 253, 211, 138, 145, 173, 95, 0, 0, 0, 0, 10, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.19464281618838558, y=-0.9769982937370612, z=0.08136057509536469, w=0.031128202024483114)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.04555555555555556, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.17, z=-0.04)>	COMP<187>
[1740779850.6310046]	Q_Header<(2621443, 1028, 257, 173, 250, 8, 58, 10, 41)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 253, 253, 241, 253, 253, 205, 99, 171, 107, 253, 253, 173, 204, 144, 151, 77, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.19464281618838558, y=-0.9769982937370612, z=0.08136057509536469, w=0.031128202024483114)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.04555555555555556, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.17, z=-0.04)>	COMP<187>
