[1740780410.4649677]	Q_Header<(2621443, 57018, 257, 173, 250, 8, 58, 0, 20)>	Q_Data<(0, 0, 0, 78, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 39, 28, 3, 0, 0, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5708537843094214, y=-0.8163947630624206, z=0.07916148382864531, w=-0.03686471567656266)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.0033333333333333335, z=-0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.14, z=0.01)>	COMP<124>
[1740780410.47511]	Q_Header<(2621443, 57019, 257, 173, 250, 8, 58, 1, 25)>	Q_Data<(0, 0, 0, 79, 21, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 37, 29, 9, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5714612268028432, y=-0.815963381515242, z=0.07928315001782477, w=-0.03674246059332603)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.0022222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.16, z=-0.06)>	COMP<124>
[1740780410.484996]	Q_Header<(2621443, 57020, 257, 173, 250, 8, 58, 2, 17)>	Q_Data<(0, 0, 0, 71, 81, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 30, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5714612268028432, y=-0.815963381515242, z=0.07928315001782477, w=-0.03674246059332603)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.0022222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.16, z=-0.06)>	COMP<124>
[1740780410.4949794]	Q_Header<(2621443, 57021, 257, 173, 250, 8, 58, 3, 18)>	Q_Data<(0, 0, 0, 0, 81, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 38, 33, 6, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5714612268028432, y=-0.815963381515242, z=0.07928315001782477, w=-0.03674246059332603)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.0022222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.16, z=-0.06)>	COMP<124>
[1740780410.505052]	Q_Header<(2621443, 57022, 257, 173, 250, 8, 58, 4, 21)>	Q_Data<(0, 0, 0, 30, 81, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 28, 30, 29, 15, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5714612268028432, y=-0.815963381515242, z=0.07928315001782477, w=-0.03674246059332603)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.0022222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.16, z=-0.06)>	COMP<124>
[1740780410.5150814]	Q_Header<(2621443, 57023, 257, 173, 250, 8, 58, 5, 21)>	Q_Data<(0, 0, 0, 79, 49, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 23, 19, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.572072377546459, y=-0.81553729955999, z=0.07934429646968919, w=-0.03655941045026448)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=0.0, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.15, z=0.04)>	COMP<125>
[1740780410.5249968]	Q_Header<(2621443, 57024, 257, 173, 250, 8, 58, 6, 20)>	Q_Data<(0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.572072377546459, y=-0.81553729955999, z=0.07934429646968919, w=-0.03655941045026448)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=0.0, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.15, z=0.04)>	COMP<125>
[1740780410.535167]	Q_Header<(2621443, 57025, 257, 173, 250, 8, 58, 7, 26)>	Q_Data<(0, 0, 0, 79, 0, 82, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 21, 0, 0, 10, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.572072377546459, y=-0.81553729955999, z=0.07934429646968919, w=-0.03655941045026448)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=0.0, z=-0.05)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.15, z=0.04)>	COMP<125>
[1740780410.5450664]	Q_Header<(2621443, 57026, 257, 173, 250, 8, 58, 8, 21)>	Q_Data<(0, 0, 0, 69, 23, 84, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 29, 0, 6, 20, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5729339777548127, y=-0.8149370907619323, z=0.07940631778619488, w=-0.03631572565932817)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=0.0011111111111111111, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.14, z=0.06)>	COMP<126>
[1740780410.5550754]	Q_Header<(2621443, 57027, 257, 173, 250, 8, 58, 9, 22)>	Q_Data<(0, 0, 0, 78, 65, 75, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 7, 22, 29, 12, 0, 22, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5729339777548127, y=-0.8149370907619323, z=0.07940631778619488, w=-0.03631572565932817)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=0.0011111111111111111, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.14, z=0.06)>	COMP<126>
[1740780410.5650175]	Q_Header<(2621443, 57028, 257, 173, 250, 8, 58, 10, 20)>	Q_Data<(0, 0, 53, 70, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 11, 22, 13, 23, 19, 7, 31, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5729339777548127, y=-0.8149370907619323, z=0.07940631778619488, w=-0.03631572565932817)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=0.0011111111111111111, z=-0.051111111111111114)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.14, z=0.06)>	COMP<126>
