[1740780425.4651442]	Q_Header<(2621443, 58518, 257, 173, 250, 8, 58, 0, 40)>	Q_Data<(0, 0, 59, 79, 68, 63, 86, 0, 40, 0, 0, 37, 57, 0, 0, 0, 27, 51, 38, 122, 122, 90, 60, 11, 0, 0, 0, 0, 0, 0, 28, 8, 2, 0, 0, 0, 6, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3160308709192673, y=-0.944125442690256, z=0.09270971280926361, w=-0.012511844059183043)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.052222222222222225, y=-0.02666666666666667, z=-0.1111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.09, z=0.28)>	COMP<83>
[1740780425.4752839]	Q_Header<(2621443, 58519, 257, 173, 250, 8, 58, 1, 35)>	Q_Data<(0, 0, 62, 59, 66, 63, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 67, 101, 204, 146, 101, 52, 18, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 63, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3175596345167174, y=-0.9435238112615674, z=0.09356504318933842, w=-0.012817129204018963)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06333333333333334, y=-0.014444444444444444, z=-0.11222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.05, z=0.17)>	COMP<83>
[1740780425.4852064]	Q_Header<(2621443, 58520, 257, 173, 250, 8, 58, 2, 42)>	Q_Data<(0, 0, 56, 0, 69, 83, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 30, 82, 113, 229, 191, 93, 57, 18, 24, 0, 0, 13, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 79, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3175596345167174, y=-0.9435238112615674, z=0.09356504318933842, w=-0.012817129204018963)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06333333333333334, y=-0.014444444444444444, z=-0.11222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.05, z=0.17)>	COMP<83>
[1740780425.4951735]	Q_Header<(2621443, 58521, 257, 173, 250, 8, 58, 3, 35)>	Q_Data<(0, 0, 68, 77, 70, 0, 0, 90, 60, 67, 0, 0, 0, 0, 0, 0, 47, 79, 63, 174, 197, 133, 89, 30, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 75, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3175596345167174, y=-0.9435238112615674, z=0.09356504318933842, w=-0.012817129204018963)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06333333333333334, y=-0.014444444444444444, z=-0.11222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.05, z=0.17)>	COMP<83>
[1740780425.5052578]	Q_Header<(2621443, 58522, 257, 173, 250, 8, 58, 4, 40)>	Q_Data<(0, 0, 76, 62, 81, 0, 0, 87, 77, 57, 0, 0, 0, 0, 0, 0, 49, 70, 165, 83, 178, 147, 101, 43, 0, 21, 0, 6, 16, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 117, 147, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3175596345167174, y=-0.9435238112615674, z=0.09356504318933842, w=-0.012817129204018963)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06333333333333334, y=-0.014444444444444444, z=-0.11222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.05, z=0.17)>	COMP<83>
[1740780425.5153446]	Q_Header<(2621443, 58523, 257, 173, 250, 8, 58, 5, 34)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 74, 0, 49, 0, 0, 0, 0, 0, 0, 39, 83, 214, 185, 188, 133, 89, 35, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 125, 184, 201, 124, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3190274678913397, y=-0.9429223936202997, z=0.09460351544510742, w=-0.01300035405794057)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.07222222222222222, y=-0.0044444444444444444, z=-0.10888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.03, z=0.22)>	COMP<84>
[1740780425.5251799]	Q_Header<(2621443, 58524, 257, 173, 250, 8, 58, 6, 41)>	Q_Data<(0, 0, 0, 55, 0, 63, 0, 72, 0, 55, 0, 0, 0, 0, 0, 0, 27, 78, 206, 200, 187, 108, 62, 21, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 163, 227, 234, 160, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3190274678913397, y=-0.9429223936202997, z=0.09460351544510742, w=-0.01300035405794057)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.07222222222222222, y=-0.0044444444444444444, z=-0.10888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.03, z=0.22)>	COMP<84>
[1740780425.5353525]	Q_Header<(2621443, 58525, 257, 173, 250, 8, 58, 7, 31)>	Q_Data<(0, 0, 0, 0, 77, 73, 42, 65, 0, 63, 0, 0, 0, 0, 0, 0, 14, 53, 146, 149, 180, 103, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 169, 223, 224, 156, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3190274678913397, y=-0.9429223936202997, z=0.09460351544510742, w=-0.01300035405794057)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.07222222222222222, y=-0.0044444444444444444, z=-0.10888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.03, z=0.22)>	COMP<84>
[1740780425.5452547]	Q_Header<(2621443, 58526, 257, 173, 250, 8, 58, 8, 31)>	Q_Data<(0, 0, 0, 0, 60, 66, 0, 43, 0, 51, 0, 0, 0, 0, 0, 0, 28, 28, 51, 102, 180, 135, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 131, 180, 175, 116, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32097577141589795, y=-0.9421148521726186, z=0.09600587344308946, w=-0.013305327660898604)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.07444444444444444, y=0.0, z=-0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=0.02, z=0.24)>	COMP<85>
[1740780425.5554764]	Q_Header<(2621443, 58527, 257, 173, 250, 8, 58, 9, 30)>	Q_Data<(0, 0, 60, 0, 81, 77, 68, 70, 0, 48, 0, 0, 0, 0, 0, 0, 58, 29, 49, 108, 174, 140, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 124, 115, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32097577141589795, y=-0.9421148521726186, z=0.09600587344308946, w=-0.013305327660898604)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.07444444444444444, y=0.0, z=-0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=0.02, z=0.24)>	COMP<85>
[1740780425.5652504]	Q_Header<(2621443, 58528, 257, 173, 250, 8, 58, 10, 37)>	Q_Data<(0, 0, 71, 0, 64, 84, 87, 0, 50, 64, 0, 0, 98, 0, 0, 0, 64, 37, 37, 85, 133, 108, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 77, 67, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.32097577141589795, y=-0.9421148521726186, z=0.09600587344308946, w=-0.013305327660898604)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.07444444444444444, y=0.0, z=-0.10444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=0.02, z=0.24)>	COMP<85>
