[1740779700.5700316]	Q_Header<(2621443, 51554, 257, 173, 250, 8, 58, 0, 43)>	Q_Data<(0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 83, 199, 253, 253, 253, 253, 253, 103, 246, 61, 67, 35, 81, 224, 253, 253, 171, 54, 150, 123, 48, 0, 0, 72, 112, 169, 253, 232, 66, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.754715225448885, y=-0.6497936344625014, z=0.04028403144328865, w=0.08093428135424355)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.022222222222222223, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.13, z=-0.03)>	COMP<162>
[1740779700.5800073]	Q_Header<(2621443, 51555, 257, 173, 250, 8, 58, 1, 45)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 102, 169, 241, 149, 152, 253, 253, 253, 150, 253, 90, 64, 93, 137, 253, 253, 253, 253, 113, 88, 67, 41, 0, 0, 93, 138, 220, 253, 223, 24, 0, 0, 0, 0, 0, 0, 28, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7547095825327658, y=-0.6497887760326587, z=0.040100622379622086, w=0.08111678408297984)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.02, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.1, z=-0.03)>	COMP<166>
[1740779700.5899138]	Q_Header<(2621443, 51556, 257, 173, 250, 8, 58, 2, 45)>	Q_Data<(0, 0, 13, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 127, 198, 230, 253, 253, 238, 253, 253, 181, 253, 152, 77, 118, 185, 253, 253, 253, 253, 139, 69, 27, 10, 29, 82, 134, 224, 253, 253, 140, 29, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7547095825327658, y=-0.6497887760326587, z=0.040100622379622086, w=0.08111678408297984)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.02, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.1, z=-0.03)>	COMP<166>
[1740779700.5998964]	Q_Header<(2621443, 51557, 257, 173, 250, 8, 58, 3, 41)>	Q_Data<(0, 0, 56, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 156, 192, 178, 241, 253, 203, 212, 190, 128, 253, 192, 107, 105, 182, 253, 253, 253, 253, 113, 69, 38, 0, 32, 126, 127, 175, 220, 201, 67, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7547095825327658, y=-0.6497887760326587, z=0.040100622379622086, w=0.08111678408297984)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.02, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.1, z=-0.03)>	COMP<166>
[1740779700.610909]	Q_Header<(2621443, 51558, 257, 173, 250, 8, 58, 4, 41)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 135, 148, 118, 150, 253, 158, 179, 141, 113, 253, 157, 197, 44, 150, 222, 253, 253, 169, 58, 97, 20, 0, 17, 155, 207, 146, 170, 118, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7547619259171933, y=-0.6497202572690055, z=0.03985601953937629, w=0.0812989556300907)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=0.013333333333333334, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.1, z=0.03)>	COMP<167>
[1740779700.6214426]	Q_Header<(2621443, 51559, 257, 173, 250, 8, 58, 5, 52)>	Q_Data<(0, 0, 61, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 142, 75, 253, 253, 207, 211, 237, 176, 188, 171, 253, 253, 151, 146, 144, 213, 143, 253, 114, 105, 66, 44, 0, 177, 244, 114, 111, 44, 40, 23, 21, 0, 0, 0, 0, 0, 8, 20, 0, 4, 16, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7547619259171933, y=-0.6497202572690055, z=0.03985601953937629, w=0.0812989556300907)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=0.013333333333333334, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.1, z=0.03)>	COMP<167>
[1740779700.6299882]	Q_Header<(2621443, 51560, 257, 173, 250, 8, 58, 6, 55)>	Q_Data<(0, 0, 61, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 139, 131, 253, 253, 190, 222, 239, 248, 212, 190, 253, 253, 190, 146, 69, 71, 211, 253, 91, 74, 122, 101, 55, 136, 187, 65, 50, 50, 0, 47, 0, 38, 0, 0, 0, 28, 10, 108, 58, 50, 65, 66, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7547619259171933, y=-0.6497202572690055, z=0.03985601953937629, w=0.0812989556300907)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=0.013333333333333334, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.1, z=0.03)>	COMP<167>
[1740779700.6401107]	Q_Header<(2621443, 51561, 257, 173, 250, 8, 58, 7, 55)>	Q_Data<(0, 0, 61, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 161, 135, 253, 253, 253, 184, 194, 253, 210, 239, 253, 253, 170, 108, 34, 78, 219, 226, 60, 77, 109, 117, 87, 83, 86, 45, 38, 41, 0, 0, 76, 96, 0, 0, 44, 134, 58, 192, 144, 141, 122, 83, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7547619259171933, y=-0.6497202572690055, z=0.03985601953937629, w=0.0812989556300907)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=0.013333333333333334, z=0.011111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.1, z=0.03)>	COMP<167>
[1740779700.6499941]	Q_Header<(2621443, 51562, 257, 173, 250, 8, 58, 8, 53)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 148, 107, 253, 253, 253, 220, 249, 253, 177, 211, 253, 253, 73, 112, 30, 72, 178, 229, 100, 182, 224, 124, 73, 18, 39, 0, 39, 46, 76, 139, 166, 144, 0, 13, 103, 221, 120, 240, 202, 251, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.754870475866953, y=-0.6495865519608652, z=0.03973323736977575, w=0.0814195678207079)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.013333333333333334, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.12, z=0.0)>	COMP<167>
[1740779700.6600554]	Q_Header<(2621443, 51563, 257, 173, 250, 8, 58, 9, 77)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 135, 63, 253, 253, 253, 253, 253, 251, 59, 253, 220, 253, 161, 181, 74, 100, 99, 226, 117, 204, 253, 253, 145, 68, 36, 0, 0, 15, 127, 237, 240, 152, 0, 21, 127, 253, 185, 253, 229, 253, 154, 17, 53, 0, 0, 0, 0, 0, 0, 24, 26, 0, 0, 0, 0, 68, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 61, 47, 88, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.754870475866953, y=-0.6495865519608652, z=0.03973323736977575, w=0.0814195678207079)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.013333333333333334, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.12, z=0.0)>	COMP<167>
[1740779700.6700592]	Q_Header<(2621443, 51564, 257, 173, 250, 8, 58, 10, 80)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 129, 99, 241, 241, 253, 253, 253, 135, 170, 253, 234, 203, 206, 236, 110, 130, 31, 206, 163, 192, 253, 253, 154, 73, 61, 55, 0, 0, 148, 253, 253, 110, 33, 37, 119, 241, 185, 239, 253, 253, 253, 125, 72, 0, 0, 0, 0, 0, 0, 53, 14, 0, 0, 0, 0, 153, 237, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 142, 216, 205, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 49, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.754870475866953, y=-0.6495865519608652, z=0.03973323736977575, w=0.0814195678207079)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.013333333333333334, z=0.01)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.12, z=0.0)>	COMP<167>
