[1740780078.003519]	Q_Header<(2621443, 23768, 257, 173, 250, 8, 58, 0, 51)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 191, 100, 253, 253, 199, 253, 253, 253, 253, 231, 217, 253, 253, 253, 251, 124, 79, 55, 17, 23, 0, 0, 60, 101, 181, 171, 13, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 37, 0, 43, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24658291126359447, y=-0.9649692641280764, z=0.08935578764601541, w=-0.00683596189641648)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=-0.03333333333333333, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.09, z=0.19)>	COMP<155>
[1740780078.0129962]	Q_Header<(2621443, 23769, 257, 173, 250, 8, 58, 1, 52)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 123, 180, 253, 253, 248, 134, 237, 253, 253, 218, 157, 253, 253, 253, 240, 108, 87, 43, 27, 35, 31, 0, 25, 53, 128, 129, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 42, 17, 33, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2472524176702558, y=-0.9647788116795195, z=0.08953821197784874, w=-0.0071410843908713715)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=-0.03, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.11, z=0.1)>	COMP<155>
[1740780078.0227323]	Q_Header<(2621443, 23770, 257, 173, 250, 8, 58, 2, 44)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 126, 253, 253, 253, 253, 253, 253, 206, 236, 230, 169, 253, 253, 185, 253, 253, 204, 98, 107, 12, 49, 0, 26, 31, 85, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 23, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2472524176702558, y=-0.9647788116795195, z=0.08953821197784874, w=-0.0071410843908713715)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=-0.03, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.11, z=0.1)>	COMP<155>
[1740780078.0327532]	Q_Header<(2621443, 23771, 257, 173, 250, 8, 58, 3, 34)>	Q_Data<(0, 0, 54, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 184, 253, 253, 253, 253, 253, 253, 253, 197, 253, 253, 253, 253, 202, 253, 253, 253, 253, 172, 96, 46, 47, 50, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2472524176702558, y=-0.9647788116795195, z=0.08953821197784874, w=-0.0071410843908713715)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=-0.03, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.11, z=0.1)>	COMP<155>
[1740780078.042755]	Q_Header<(2621443, 23772, 257, 173, 250, 8, 58, 4, 28)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 169, 243, 225, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 161, 164, 71, 68, 54, 98, 89, 65, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2478631204085593, y=-0.9645970832151861, z=0.08978247971460003, w=-0.007446269561645957)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02, y=-0.025555555555555557, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.09, z=0.17)>	COMP<156>
[1740780078.0527353]	Q_Header<(2621443, 23773, 257, 173, 250, 8, 58, 5, 44)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 118, 160, 240, 253, 253, 253, 253, 253, 253, 224, 253, 191, 253, 253, 253, 253, 190, 253, 253, 223, 91, 37, 82, 95, 85, 53, 8, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2478631204085593, y=-0.9645970832151861, z=0.08978247971460003, w=-0.007446269561645957)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02, y=-0.025555555555555557, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.09, z=0.17)>	COMP<156>
[1740780078.06281]	Q_Header<(2621443, 23774, 257, 173, 250, 8, 58, 6, 62)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 83, 198, 185, 253, 253, 253, 233, 253, 137, 253, 192, 232, 253, 196, 253, 225, 253, 253, 237, 53, 157, 203, 206, 139, 114, 55, 13, 0, 39, 66, 0, 0, 0, 0, 0, 0, 17, 61, 88, 121, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 14, 0, 55, 114, 72, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2478631204085593, y=-0.9645970832151861, z=0.08978247971460003, w=-0.007446269561645957)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02, y=-0.025555555555555557, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.09, z=0.17)>	COMP<156>
[1740780078.0728686]	Q_Header<(2621443, 23775, 257, 173, 250, 8, 58, 7, 62)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 53, 154, 141, 253, 253, 253, 253, 241, 200, 253, 213, 253, 166, 155, 153, 213, 253, 253, 194, 131, 253, 253, 253, 253, 253, 180, 95, 0, 40, 89, 32, 0, 0, 0, 0, 0, 63, 154, 73, 190, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 16, 0, 107, 169, 116, 0, 40, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2478631204085593, y=-0.9645970832151861, z=0.08978247971460003, w=-0.007446269561645957)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02, y=-0.025555555555555557, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.09, z=0.17)>	COMP<156>
[1740780078.0828192]	Q_Header<(2621443, 23776, 257, 173, 250, 8, 58, 8, 63)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 49, 144, 141, 204, 238, 248, 237, 253, 208, 253, 241, 253, 253, 193, 113, 144, 175, 198, 123, 167, 253, 253, 253, 253, 253, 253, 253, 122, 63, 97, 54, 0, 0, 0, 0, 0, 105, 226, 117, 212, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 21, 0, 137, 209, 139, 0, 57, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24872504710542032, y=-0.9643207409125241, z=0.09033449563583364, w=-0.007812713136072099)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.025555555555555557, y=-0.021111111111111112, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.1, z=0.15)>	COMP<154>
[1740780078.092735]	Q_Header<(2621443, 23777, 257, 173, 250, 8, 58, 9, 63)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 119, 130, 115, 192, 164, 253, 253, 151, 253, 222, 253, 253, 152, 63, 72, 106, 96, 62, 145, 253, 253, 253, 253, 253, 253, 253, 208, 151, 124, 68, 42, 0, 0, 0, 0, 158, 253, 201, 202, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 42, 0, 0, 0, 136, 213, 184, 0, 49, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24872504710542032, y=-0.9643207409125241, z=0.09033449563583364, w=-0.007812713136072099)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.025555555555555557, y=-0.021111111111111112, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.1, z=0.15)>	COMP<154>
[1740780078.102761]	Q_Header<(2621443, 23778, 257, 173, 250, 8, 58, 10, 61)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 85, 109, 65, 105, 253, 253, 253, 106, 253, 224, 253, 253, 166, 105, 97, 140, 0, 78, 103, 253, 253, 253, 253, 253, 196, 253, 239, 225, 253, 189, 54, 0, 0, 0, 0, 183, 253, 200, 150, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 117, 230, 253, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.24872504710542032, y=-0.9643207409125241, z=0.09033449563583364, w=-0.007812713136072099)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.025555555555555557, y=-0.021111111111111112, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.1, z=0.15)>	COMP<154>
