[1740780075.5027883]	Q_Header<(2621443, 23518, 257, 173, 250, 8, 58, 0, 44)>	Q_Data<(0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 226, 253, 253, 253, 253, 253, 163, 253, 253, 112, 253, 253, 253, 178, 253, 78, 119, 99, 47, 0, 0, 0, 0, 61, 56, 0, 69, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 110, 97, 60, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23894746901642164, y=-0.9664707974138025, z=0.09393107402714505, w=-0.0039061655215966756)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.012222222222222223, z=0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.04, z=-0.16)>	COMP<159>
[1740780075.512705]	Q_Header<(2621443, 23519, 257, 173, 250, 8, 58, 1, 40)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 166, 203, 253, 253, 253, 253, 237, 253, 217, 226, 253, 253, 253, 253, 253, 154, 175, 95, 49, 38, 0, 0, 0, 30, 67, 59, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23858329636500328, y=-0.9666010909523042, z=0.09350463290641725, w=-0.0041503361864467184)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.021111111111111112, z=0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.03, z=-0.1)>	COMP<159>
[1740780075.5228603]	Q_Header<(2621443, 23520, 257, 173, 250, 8, 58, 2, 39)>	Q_Data<(0, 0, 26, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 75, 173, 253, 253, 253, 253, 212, 253, 253, 253, 196, 253, 253, 253, 253, 253, 201, 232, 80, 101, 0, 41, 0, 36, 12, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23858329636500328, y=-0.9666010909523042, z=0.09350463290641725, w=-0.0041503361864467184)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.021111111111111112, z=0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.03, z=-0.1)>	COMP<159>
[1740780075.5338855]	Q_Header<(2621443, 23521, 257, 173, 250, 8, 58, 3, 40)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 97, 191, 205, 253, 253, 253, 191, 253, 253, 221, 233, 253, 253, 253, 253, 253, 253, 253, 199, 186, 62, 57, 40, 61, 74, 97, 52, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23858329636500328, y=-0.9666010909523042, z=0.09350463290641725, w=-0.0041503361864467184)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.021111111111111112, z=0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.03, z=-0.1)>	COMP<159>
[1740780075.5428107]	Q_Header<(2621443, 23522, 257, 173, 250, 8, 58, 4, 46)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 93, 164, 168, 117, 253, 253, 253, 253, 253, 154, 253, 253, 253, 253, 253, 253, 253, 253, 253, 221, 122, 53, 113, 97, 66, 63, 68, 70, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23858329636500328, y=-0.9666010909523042, z=0.09350463290641725, w=-0.0041503361864467184)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.021111111111111112, z=0.03)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.03, z=-0.1)>	COMP<159>
[1740780075.5527508]	Q_Header<(2621443, 23523, 257, 173, 250, 8, 58, 5, 58)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 137, 227, 194, 253, 253, 253, 253, 253, 105, 253, 253, 253, 253, 181, 253, 253, 253, 253, 198, 146, 195, 223, 171, 122, 138, 36, 0, 0, 11, 29, 0, 0, 0, 0, 0, 0, 0, 51, 159, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 17, 0, 94, 163, 115, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2380334755266569, y=-0.9667821159851911, z=0.09301615812887824, w=-0.00451653261255708)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.01888888888888889, z=0.028888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.04, z=-0.11)>	COMP<158>
[1740780075.5713058]	Q_Header<(2621443, 23524, 257, 173, 250, 8, 58, 6, 60)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 122, 212, 186, 253, 253, 253, 253, 253, 148, 233, 253, 253, 237, 110, 227, 253, 253, 253, 136, 150, 253, 253, 253, 253, 253, 168, 117, 16, 0, 14, 58, 22, 0, 0, 0, 0, 0, 127, 253, 243, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 134, 223, 160, 65, 131, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2380334755266569, y=-0.9667821159851911, z=0.09301615812887824, w=-0.00451653261255708)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01888888888888889, y=-0.01888888888888889, z=0.028888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.04, z=-0.11)>	COMP<158>
[1740780075.5752475]	Q_Header<(2621443, 23525, 257, 173, 250, 8, 58, 7, 70)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 20, 89, 159, 136, 253, 253, 253, 253, 253, 158, 203, 253, 253, 243, 89, 192, 123, 182, 223, 66, 184, 253, 253, 253, 253, 253, 253, 253, 151, 78, 57, 131, 57, 0, 0, 0, 0, 52, 171, 253, 253, 127, 12, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 37, 44, 0, 0, 0, 146, 235, 145, 0, 132, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23779296387783702, y=-0.9668578903462055, z=0.09283447075415557, w=-0.004699706934957251)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.017777777777777778, y=-0.023333333333333334, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.05, z=0.01)>	COMP<163>
[1740780075.585811]	Q_Header<(2621443, 23526, 257, 173, 250, 8, 58, 8, 54)>	Q_Data<(0, 0, 65, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 121, 127, 188, 253, 253, 253, 253, 103, 253, 253, 253, 253, 126, 145, 75, 131, 121, 32, 178, 253, 253, 253, 253, 253, 253, 253, 242, 179, 161, 165, 25, 0, 0, 0, 0, 97, 194, 145, 226, 113, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 249, 243, 82, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23779296387783702, y=-0.9668578903462055, z=0.09283447075415557, w=-0.004699706934957251)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.017777777777777778, y=-0.023333333333333334, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.05, z=0.01)>	COMP<163>
[1740780075.5927105]	Q_Header<(2621443, 23527, 257, 173, 250, 8, 58, 9, 55)>	Q_Data<(0, 0, 68, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 91, 154, 133, 128, 253, 253, 253, 100, 253, 253, 253, 253, 187, 69, 85, 129, 72, 34, 138, 220, 253, 240, 253, 253, 253, 253, 253, 253, 253, 202, 47, 0, 0, 0, 31, 133, 218, 123, 152, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 253, 253, 207, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23779296387783702, y=-0.9668578903462055, z=0.09283447075415557, w=-0.004699706934957251)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.017777777777777778, y=-0.023333333333333334, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.05, z=0.01)>	COMP<163>
[1740780075.602802]	Q_Header<(2621443, 23528, 257, 173, 250, 8, 58, 10, 61)>	Q_Data<(0, 0, 67, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 72, 145, 68, 175, 253, 253, 231, 228, 201, 253, 253, 253, 209, 81, 73, 169, 52, 52, 90, 112, 174, 147, 253, 253, 253, 253, 215, 253, 253, 141, 150, 25, 0, 0, 106, 235, 253, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 253, 253, 253, 115, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.23779296387783702, y=-0.9668578903462055, z=0.09283447075415557, w=-0.004699706934957251)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.017777777777777778, y=-0.023333333333333334, z=0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.05, z=0.01)>	COMP<163>
