[1740780407.9649992]	Q_Header<(2621443, 56768, 257, 173, 250, 8, 58, 0, 23)>	Q_Data<(0, 0, 0, 79, 82, 83, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31, 29, 38, 23, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5228178475259885, y=-0.8478242727041216, z=0.0831894380315109, w=-0.030578069298449712)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.0022222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.15, z=-0.11)>	COMP<118>
[1740780407.9750783]	Q_Header<(2621443, 56769, 257, 173, 250, 8, 58, 1, 21)>	Q_Data<(0, 0, 0, 63, 66, 64, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35, 29, 32, 24, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5236125651209712, y=-0.8473380628947946, z=0.08318964054783586, w=-0.030456075299611217)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.0033333333333333335, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.12, z=-0.11)>	COMP<118>
[1740780407.9849808]	Q_Header<(2621443, 56770, 257, 173, 250, 8, 58, 2, 16)>	Q_Data<(0, 0, 0, 78, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 38, 17, 25, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5236125651209712, y=-0.8473380628947946, z=0.08318964054783586, w=-0.030456075299611217)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.0033333333333333335, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.12, z=-0.11)>	COMP<118>
[1740780407.995021]	Q_Header<(2621443, 56771, 257, 173, 250, 8, 58, 3, 21)>	Q_Data<(0, 0, 0, 79, 66, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 35, 18, 24, 18, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5236125651209712, y=-0.8473380628947946, z=0.08318964054783586, w=-0.030456075299611217)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.0033333333333333335, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.12, z=-0.11)>	COMP<118>
[1740780408.0050125]	Q_Header<(2621443, 56772, 257, 173, 250, 8, 58, 4, 18)>	Q_Data<(0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 31, 8, 28, 25, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5236125651209712, y=-0.8473380628947946, z=0.08318964054783586, w=-0.030456075299611217)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0022222222222222222, y=0.0033333333333333335, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.12, z=-0.11)>	COMP<118>
[1740780408.0151052]	Q_Header<(2621443, 56773, 257, 173, 250, 8, 58, 5, 24)>	Q_Data<(0, 0, 0, 79, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 26, 0, 35, 24, 16, 0, 32, 7, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5241746181458381, y=-0.8469924517943405, z=0.08319166331308539, w=-0.030395780139337143)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.006666666666666667, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.1, z=-0.05)>	COMP<117>
[1740780408.0250137]	Q_Header<(2621443, 56774, 257, 173, 250, 8, 58, 6, 21)>	Q_Data<(0, 0, 63, 59, 8, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 25, 15, 37, 23, 22, 0, 37, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5241746181458381, y=-0.8469924517943405, z=0.08319166331308539, w=-0.030395780139337143)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.006666666666666667, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.1, z=-0.05)>	COMP<117>
[1740780408.0350618]	Q_Header<(2621443, 56775, 257, 173, 250, 8, 58, 7, 25)>	Q_Data<(0, 0, 62, 79, 57, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 54, 25, 32, 19, 18, 0, 42, 44, 18, 7, 12, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5241746181458381, y=-0.8469924517943405, z=0.08319166331308539, w=-0.030395780139337143)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.006666666666666667, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.1, z=-0.05)>	COMP<117>
[1740780408.0451674]	Q_Header<(2621443, 56776, 257, 173, 250, 8, 58, 8, 29)>	Q_Data<(0, 0, 54, 57, 82, 57, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 121, 77, 20, 23, 6, 9, 0, 59, 65, 16, 10, 10, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5247057149942616, y=-0.84665786651162, z=0.08324980752031788, w=-0.030394724446567673)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.0044444444444444444, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.08, z=-0.05)>	COMP<121>
[1740780408.0555253]	Q_Header<(2621443, 56777, 257, 173, 250, 8, 58, 9, 25)>	Q_Data<(0, 0, 71, 59, 81, 12, 42, 36, 0, 0, 0, 0, 0, 0, 0, 0, 142, 65, 11, 23, 0, 0, 3, 63, 63, 16, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5247057149942616, y=-0.84665786651162, z=0.08324980752031788, w=-0.030394724446567673)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.0044444444444444444, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.08, z=-0.05)>	COMP<121>
[1740780408.0649889]	Q_Header<(2621443, 56778, 257, 173, 250, 8, 58, 10, 23)>	Q_Data<(0, 0, 0, 79, 81, 58, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 134, 139, 91, 40, 0, 0, 0, 35, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5247057149942616, y=-0.84665786651162, z=0.08324980752031788, w=-0.030394724446567673)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0022222222222222222, y=0.0044444444444444444, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.08, z=-0.05)>	COMP<121>
