[1740779698.0711517]	Q_Header<(2621443, 51304, 257, 173, 250, 8, 58, 0, 40)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 172, 253, 246, 253, 203, 249, 253, 98, 0, 38, 28, 110, 184, 253, 253, 126, 126, 232, 136, 25, 0, 0, 114, 175, 181, 180, 210, 231, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7579991958970584, y=-0.6463653663378572, z=0.03625505454246338, w=0.07959022074641792)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.042222222222222223, y=-0.016666666666666666, z=-0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.13, z=0.12)>	COMP<169>
[1740779698.087253]	Q_Header<(2621443, 51305, 257, 173, 250, 8, 58, 1, 40)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 125, 253, 253, 253, 218, 186, 182, 157, 59, 48, 38, 164, 253, 253, 167, 66, 86, 147, 81, 0, 0, 35, 187, 253, 235, 251, 208, 186, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7577015157583117, y=-0.6466159060692407, z=0.036926809814224144, w=0.08007929665497865)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.051111111111111114, y=-0.01888888888888889, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.15, z=0.15)>	COMP<169>
[1740779698.0899782]	Q_Header<(2621443, 51306, 257, 173, 250, 8, 58, 2, 40)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 168, 162, 253, 253, 213, 146, 188, 146, 100, 42, 70, 196, 253, 253, 253, 241, 95, 65, 59, 0, 8, 80, 230, 253, 197, 85, 193, 136, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7577015157583117, y=-0.6466159060692407, z=0.036926809814224144, w=0.08007929665497865)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.051111111111111114, y=-0.01888888888888889, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.15, z=0.15)>	COMP<169>
[1740779698.0999317]	Q_Header<(2621443, 51307, 257, 173, 250, 8, 58, 3, 40)>	Q_Data<(0, 0, 57, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 149, 166, 253, 229, 202, 213, 231, 118, 154, 104, 82, 181, 253, 253, 253, 253, 81, 86, 44, 24, 17, 139, 251, 253, 195, 237, 108, 75, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7577015157583117, y=-0.6466159060692407, z=0.036926809814224144, w=0.08007929665497865)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.051111111111111114, y=-0.01888888888888889, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.15, z=0.15)>	COMP<169>
[1740779698.109949]	Q_Header<(2621443, 51308, 257, 173, 250, 8, 58, 4, 40)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 99, 133, 229, 253, 118, 218, 253, 253, 166, 217, 157, 91, 119, 253, 253, 253, 253, 40, 77, 0, 32, 32, 190, 253, 196, 183, 224, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7573698067761734, y=-0.6468984271110211, z=0.0377189572558365, w=0.08056476307071873)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.057777777777777775, y=-0.01888888888888889, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.14, z=0.19)>	COMP<168>
[1740779698.1199682]	Q_Header<(2621443, 51309, 257, 173, 250, 8, 58, 5, 49)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 253, 253, 252, 174, 253, 253, 253, 150, 217, 229, 125, 128, 240, 177, 253, 253, 94, 47, 74, 44, 39, 213, 253, 140, 110, 91, 49, 15, 0, 13, 0, 0, 0, 0, 14, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7573698067761734, y=-0.6468984271110211, z=0.0377189572558365, w=0.08056476307071873)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.057777777777777775, y=-0.01888888888888889, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.14, z=0.19)>	COMP<168>
[1740779698.130016]	Q_Header<(2621443, 51310, 257, 173, 250, 8, 58, 6, 51)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 253, 221, 253, 177, 253, 253, 253, 249, 253, 253, 160, 129, 235, 138, 253, 231, 107, 74, 107, 67, 75, 198, 253, 122, 81, 0, 0, 39, 7, 12, 0, 0, 0, 0, 25, 81, 58, 41, 31, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7573698067761734, y=-0.6468984271110211, z=0.0377189572558365, w=0.08056476307071873)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.057777777777777775, y=-0.01888888888888889, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.14, z=0.19)>	COMP<168>
[1740779698.1400895]	Q_Header<(2621443, 51311, 257, 173, 250, 8, 58, 7, 51)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 177, 253, 228, 253, 252, 253, 253, 253, 253, 253, 253, 169, 98, 178, 163, 161, 85, 44, 129, 114, 61, 81, 151, 190, 82, 0, 0, 0, 31, 42, 57, 0, 0, 7, 78, 105, 153, 137, 22, 119, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7573698067761734, y=-0.6468984271110211, z=0.0377189572558365, w=0.08056476307071873)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.057777777777777775, y=-0.01888888888888889, z=-0.02666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.14, z=0.19)>	COMP<168>
[1740779698.1499636]	Q_Header<(2621443, 51312, 257, 173, 250, 8, 58, 8, 52)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 138, 253, 253, 253, 249, 253, 229, 228, 197, 253, 229, 142, 93, 104, 145, 211, 138, 74, 138, 166, 80, 91, 95, 109, 0, 0, 0, 0, 0, 91, 86, 0, 0, 59, 162, 195, 179, 201, 89, 179, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7569594783885458, y=-0.6472180542519061, z=0.03887947006398191, w=0.08129898606785543)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06, y=-0.02, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.13, z=0.25)>	COMP<165>
[1740779698.1600742]	Q_Header<(2621443, 51313, 257, 173, 250, 8, 58, 9, 66)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 94, 228, 253, 253, 154, 169, 90, 219, 253, 164, 145, 120, 146, 88, 126, 220, 160, 109, 243, 253, 125, 123, 61, 49, 0, 0, 0, 24, 78, 107, 65, 0, 0, 78, 199, 252, 234, 229, 211, 191, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7569594783885458, y=-0.6472180542519061, z=0.03887947006398191, w=0.08129898606785543)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06, y=-0.02, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.13, z=0.25)>	COMP<165>
[1740779698.1700158]	Q_Header<(2621443, 51314, 257, 173, 250, 8, 58, 10, 65)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 89, 191, 253, 253, 253, 201, 180, 227, 253, 253, 181, 164, 201, 115, 124, 191, 128, 152, 253, 253, 226, 136, 59, 0, 32, 0, 16, 91, 147, 140, 53, 36, 21, 32, 184, 253, 253, 188, 253, 201, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 86, 105, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7569594783885458, y=-0.6472180542519061, z=0.03887947006398191, w=0.08129898606785543)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.06, y=-0.02, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.08, y=-0.13, z=0.25)>	COMP<165>
