[1740780100.502837]	Q_Header<(2621443, 26018, 257, 173, 250, 8, 58, 0, 49)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 172, 213, 220, 253, 253, 253, 253, 167, 90, 77, 38, 53, 85, 78, 50, 14, 0, 0, 51, 107, 128, 253, 240, 253, 159, 82, 41, 0, 0, 38, 150, 172, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 33, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.36009834157324505, y=-0.9286264859384615, z=0.08788840879075811, w=-0.016051841327756517)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=-0.016666666666666666, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.17, z=0.09)>	COMP<134>
[1740780100.5129976]	Q_Header<(2621443, 26019, 257, 173, 250, 8, 58, 1, 53)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 171, 242, 253, 253, 253, 253, 253, 195, 81, 83, 53, 56, 68, 66, 75, 23, 0, 0, 19, 53, 90, 156, 135, 221, 91, 94, 77, 59, 0, 30, 140, 159, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 51, 51, 30, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3609528444843394, y=-0.9283214008466016, z=0.08758324853483716, w=-0.016173910008175505)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=-0.022222222222222223, z=-0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.15, z=0.15)>	COMP<133>
[1740780100.5229964]	Q_Header<(2621443, 26020, 257, 173, 250, 8, 58, 2, 61)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 142, 205, 253, 253, 238, 253, 210, 253, 78, 125, 94, 97, 61, 86, 113, 58, 16, 0, 0, 29, 83, 118, 121, 129, 181, 172, 107, 107, 0, 20, 96, 112, 0, 72, 40, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 22, 79, 3, 78, 56, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3609528444843394, y=-0.9283214008466016, z=0.08758324853483716, w=-0.016173910008175505)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=-0.022222222222222223, z=-0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.15, z=0.15)>	COMP<133>
[1740780100.5331297]	Q_Header<(2621443, 26021, 257, 173, 250, 8, 58, 3, 56)>	Q_Data<(0, 0, 52, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 114, 179, 253, 253, 133, 167, 216, 253, 152, 163, 137, 172, 137, 151, 170, 115, 19, 0, 0, 14, 73, 104, 91, 117, 253, 253, 30, 150, 56, 0, 63, 63, 57, 150, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 100, 0, 80, 37, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3609528444843394, y=-0.9283214008466016, z=0.08758324853483716, w=-0.016173910008175505)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=-0.022222222222222223, z=-0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.15, z=0.15)>	COMP<133>
[1740780100.5429823]	Q_Header<(2621443, 26022, 257, 173, 250, 8, 58, 4, 57)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 95, 189, 253, 253, 253, 153, 173, 168, 220, 169, 150, 227, 197, 229, 224, 172, 55, 0, 0, 11, 23, 59, 57, 111, 253, 253, 137, 156, 60, 0, 35, 24, 80, 188, 149, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 101, 28, 81, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.36198975802717337, y=-0.9279535122315198, z=0.08715585473997699, w=-0.016418014653399027)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.022222222222222223, z=-0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.19, z=0.07)>	COMP<133>
[1740780100.5528915]	Q_Header<(2621443, 26023, 257, 173, 250, 8, 58, 5, 56)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 99, 209, 253, 253, 253, 207, 120, 209, 253, 183, 113, 213, 225, 253, 253, 206, 45, 41, 0, 9, 0, 0, 0, 78, 253, 253, 206, 140, 53, 0, 11, 0, 76, 183, 150, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 56, 61, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.36198975802717337, y=-0.9279535122315198, z=0.08715585473997699, w=-0.016418014653399027)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.022222222222222223, z=-0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.19, z=0.07)>	COMP<133>
[1740780100.562899]	Q_Header<(2621443, 26024, 257, 173, 250, 8, 58, 6, 54)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 95, 207, 253, 253, 253, 253, 205, 253, 253, 173, 132, 128, 253, 253, 253, 211, 41, 86, 29, 0, 0, 0, 0, 39, 167, 152, 221, 110, 40, 0, 0, 0, 44, 143, 116, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.36198975802717337, y=-0.9279535122315198, z=0.08715585473997699, w=-0.016418014653399027)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.022222222222222223, z=-0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.19, z=0.07)>	COMP<133>
[1740780100.572845]	Q_Header<(2621443, 26025, 257, 173, 250, 8, 58, 7, 43)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 91, 233, 253, 253, 253, 253, 253, 253, 253, 230, 229, 236, 242, 210, 231, 165, 45, 112, 79, 0, 0, 0, 7, 14, 68, 68, 161, 0, 31, 0, 0, 0, 0, 85, 61, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.36198975802717337, y=-0.9279535122315198, z=0.08715585473997699, w=-0.016418014653399027)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.022222222222222223, z=-0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.19, z=0.07)>	COMP<133>
[1740780100.5829499]	Q_Header<(2621443, 26026, 257, 173, 250, 8, 58, 8, 53)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 101, 244, 253, 244, 253, 253, 253, 253, 165, 253, 253, 253, 132, 253, 253, 131, 53, 97, 105, 48, 0, 0, 0, 0, 0, 59, 56, 40, 15, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3627386854615432, y=-0.9276906074928478, z=0.08679360772779983, w=-0.016662907812721065)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=-0.03111111111111111, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.21, z=-0.01)>	COMP<134>
[1740780100.5928965]	Q_Header<(2621443, 26027, 257, 173, 250, 8, 58, 9, 37)>	Q_Data<(0, 0, 68, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 253, 253, 253, 253, 253, 253, 195, 253, 253, 253, 226, 253, 253, 253, 253, 77, 113, 118, 93, 0, 0, 0, 0, 0, 62, 87, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3627386854615432, y=-0.9276906074928478, z=0.08679360772779983, w=-0.016662907812721065)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=-0.03111111111111111, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.21, z=-0.01)>	COMP<134>
[1740780100.60289]	Q_Header<(2621443, 26028, 257, 173, 250, 8, 58, 10, 35)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 223, 253, 253, 253, 253, 253, 253, 253, 253, 253, 167, 253, 253, 253, 253, 243, 253, 113, 63, 19, 9, 0, 0, 0, 58, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3627386854615432, y=-0.9276906074928478, z=0.08679360772779983, w=-0.016662907812721065)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.013333333333333334, y=-0.03111111111111111, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.21, z=-0.01)>	COMP<134>
