[1740780125.5030851]	Q_Header<(2621443, 28518, 257, 173, 250, 8, 58, 0, 59)>	Q_Data<(0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 107, 177, 116, 165, 253, 253, 253, 175, 253, 103, 90, 253, 253, 253, 253, 217, 253, 253, 253, 158, 113, 70, 184, 241, 157, 253, 188, 88, 7, 0, 0, 19, 47, 0, 0, 0, 0, 15, 89, 87, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19573512102214843, y=-0.9764173576901561, z=0.0910623013922811, w=-0.002136179992446272)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.025555555555555557, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=-0.03)>	COMP<100>
[1740780125.513126]	Q_Header<(2621443, 28519, 257, 173, 250, 8, 58, 1, 50)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 87, 218, 223, 253, 253, 253, 252, 253, 106, 160, 253, 253, 253, 253, 56, 208, 253, 253, 78, 89, 79, 230, 253, 253, 253, 253, 227, 91, 0, 9, 57, 0, 0, 0, 0, 0, 0, 157, 194, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19574147720754792, y=-0.9763880295881334, z=0.0913704369752726, w=-0.0017700351852257216)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.02666666666666667, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.1, z=0.0)>	COMP<100>
[1740780125.5231938]	Q_Header<(2621443, 28520, 257, 173, 250, 8, 58, 2, 54)>	Q_Data<(0, 0, 5, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 123, 253, 253, 253, 253, 253, 253, 143, 187, 170, 253, 253, 157, 194, 58, 97, 180, 146, 34, 59, 56, 228, 253, 253, 253, 253, 253, 160, 10, 13, 135, 0, 0, 0, 0, 0, 45, 85, 188, 83, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 173, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19574147720754792, y=-0.9763880295881334, z=0.0913704369752726, w=-0.0017700351852257216)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.02666666666666667, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.1, z=0.0)>	COMP<100>
[1740780125.533523]	Q_Header<(2621443, 28521, 257, 173, 250, 8, 58, 3, 59)>	Q_Data<(0, 0, 55, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 126, 253, 253, 253, 253, 253, 253, 253, 196, 138, 244, 110, 253, 253, 68, 117, 165, 107, 36, 0, 81, 180, 253, 253, 253, 253, 253, 196, 124, 149, 196, 130, 31, 0, 0, 0, 72, 63, 116, 87, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 250, 173, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19574147720754792, y=-0.9763880295881334, z=0.0913704369752726, w=-0.0017700351852257216)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.02666666666666667, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.1, z=0.0)>	COMP<100>
[1740780125.5431678]	Q_Header<(2621443, 28522, 257, 173, 250, 8, 58, 4, 67)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33, 90, 194, 253, 165, 253, 253, 253, 253, 144, 186, 242, 253, 253, 253, 106, 178, 211, 91, 91, 47, 53, 136, 241, 248, 253, 253, 253, 174, 172, 240, 253, 207, 71, 0, 0, 0, 89, 131, 142, 88, 32, 51, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 246, 183, 31, 17, 0, 0, 63, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19568074075821293, y=-0.9763895227414636, z=0.09149264828339401, w=-0.001281751577018862)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.03111111111111111, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.1, z=-0.05)>	COMP<103>
[1740780125.5530493]	Q_Header<(2621443, 28523, 257, 173, 250, 8, 58, 5, 72)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 33, 44, 121, 221, 114, 253, 253, 253, 253, 197, 251, 253, 253, 253, 253, 129, 232, 253, 127, 146, 142, 191, 150, 173, 163, 253, 253, 253, 136, 157, 215, 253, 235, 59, 0, 0, 71, 145, 157, 132, 69, 68, 17, 91, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 80, 166, 119, 70, 47, 0, 0, 78, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19568074075821293, y=-0.9763895227414636, z=0.09149264828339401, w=-0.001281751577018862)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.03111111111111111, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.1, z=-0.05)>	COMP<103>
[1740780125.563276]	Q_Header<(2621443, 28524, 257, 173, 250, 8, 58, 6, 74)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 24, 51, 138, 162, 253, 253, 164, 253, 253, 253, 253, 253, 253, 253, 162, 235, 253, 200, 230, 243, 253, 202, 110, 108, 241, 253, 199, 184, 127, 126, 211, 218, 8, 0, 0, 72, 188, 213, 137, 141, 58, 36, 83, 74, 85, 8, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 35, 55, 30, 52, 8, 0, 0, 59, 87, 0, 11, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19568074075821293, y=-0.9763895227414636, z=0.09149264828339401, w=-0.001281751577018862)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0077777777777777776, y=0.03111111111111111, z=0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.1, z=-0.05)>	COMP<103>
[1740780125.5741735]	Q_Header<(2621443, 28525, 257, 173, 250, 8, 58, 7, 72)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 20, 206, 253, 253, 253, 253, 229, 253, 253, 253, 253, 253, 198, 178, 206, 239, 253, 253, 253, 230, 114, 57, 126, 176, 216, 253, 196, 175, 253, 163, 51, 35, 0, 135, 253, 253, 253, 253, 210, 134, 60, 94, 61, 0, 33, 11, 0, 0, 0, 0, 0, 0, 0, 55, 27, 0, 4, 0, 0, 41, 0, 0, 0, 0, 0, 0, 59, 103, 113, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1956188687274774, y=-0.976385348840392, z=0.0916753637530955, w=-0.0007324263415693382)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.025555555555555557, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.1, z=-0.09)>	COMP<103>
[1740780125.5831852]	Q_Header<(2621443, 28526, 257, 173, 250, 8, 58, 8, 79)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 17, 56, 179, 253, 253, 253, 253, 253, 186, 253, 253, 253, 253, 251, 89, 159, 219, 253, 253, 253, 207, 98, 12, 34, 107, 253, 253, 217, 195, 253, 100, 70, 46, 47, 170, 253, 253, 253, 253, 253, 154, 147, 43, 131, 78, 44, 57, 21, 0, 0, 0, 0, 55, 0, 133, 98, 63, 0, 31, 0, 0, 0, 15, 0, 0, 0, 0, 3, 133, 253, 253, 90, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1956188687274774, y=-0.976385348840392, z=0.0916753637530955, w=-0.0007324263415693382)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.025555555555555557, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.1, z=-0.09)>	COMP<103>
[1740780125.5931954]	Q_Header<(2621443, 28527, 257, 173, 250, 8, 58, 9, 85)>	Q_Data<(0, 0, 67, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 0, 0, 39, 112, 225, 253, 253, 253, 253, 189, 253, 253, 253, 253, 253, 34, 161, 186, 205, 222, 253, 154, 0, 31, 0, 100, 253, 253, 207, 131, 133, 49, 112, 130, 122, 253, 253, 253, 253, 253, 253, 147, 253, 232, 253, 214, 0, 71, 125, 72, 69, 0, 0, 172, 147, 133, 114, 87, 147, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 253, 253, 192, 106, 141, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1956188687274774, y=-0.976385348840392, z=0.0916753637530955, w=-0.0007324263415693382)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.025555555555555557, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.1, z=-0.09)>	COMP<103>
[1740780125.6032684]	Q_Header<(2621443, 28528, 257, 173, 250, 8, 58, 10, 83)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 13, 0, 7, 43, 138, 221, 251, 253, 253, 206, 253, 253, 253, 253, 253, 168, 218, 223, 207, 153, 156, 120, 153, 100, 54, 140, 253, 253, 176, 105, 119, 74, 174, 203, 161, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 111, 136, 246, 169, 95, 0, 51, 253, 253, 86, 75, 229, 253, 196, 0, 99, 76, 0, 0, 0, 0, 0, 0, 162, 253, 253, 218, 127, 194, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 143, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1956188687274774, y=-0.976385348840392, z=0.0916753637530955, w=-0.0007324263415693382)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.025555555555555557, z=0.005555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.1, z=-0.09)>	COMP<103>
