[1740779274.006857]	Q_Header<(2621443, 8804, 257, 173, 250, 8, 58, 0, 56)>	Q_Data<(0, 0, 8, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 23, 129, 253, 253, 253, 197, 253, 253, 199, 253, 174, 169, 67, 61, 21, 9, 63, 106, 40, 94, 184, 185, 86, 75, 38, 77, 77, 13, 0, 0, 0, 0, 6, 0, 44, 128, 97, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45599646882891726, y=0.8847100542999806, z=-0.07537888355022257, w=-0.06060828450637329)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.012222222222222223, y=0.0011111111111111111, z=0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.06, z=-0.16)>	COMP<198>
[1740779274.0170186]	Q_Header<(2621443, 8805, 257, 173, 250, 8, 58, 1, 66)>	Q_Data<(0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 16, 79, 196, 249, 192, 253, 253, 198, 253, 253, 129, 167, 99, 71, 52, 68, 87, 99, 105, 103, 134, 229, 195, 147, 90, 146, 137, 85, 0, 0, 0, 33, 40, 0, 116, 218, 167, 0, 62, 13, 0, 61, 0, 96, 59, 77, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4562970653953297, y=0.8845791022972864, z=-0.07519502201271351, w=-0.06048560618068108)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.0033333333333333335, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.07, z=-0.06)>	COMP<199>
[1740779274.0272682]	Q_Header<(2621443, 8806, 257, 173, 250, 8, 58, 2, 61)>	Q_Data<(0, 0, 39, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 25, 54, 167, 253, 170, 253, 253, 253, 253, 253, 67, 129, 91, 54, 91, 130, 131, 109, 120, 121, 154, 253, 251, 221, 124, 176, 183, 88, 22, 0, 9, 36, 35, 0, 156, 253, 225, 67, 90, 84, 0, 88, 0, 159, 120, 147, 0, 0, 0, 0, 0, 0, 0, 75, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4562970653953297, y=0.8845791022972864, z=-0.07519502201271351, w=-0.06048560618068108)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.0033333333333333335, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.07, z=-0.06)>	COMP<199>
[1740779274.0370293]	Q_Header<(2621443, 8807, 257, 173, 250, 8, 58, 3, 72)>	Q_Data<(0, 0, 64, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 67, 187, 253, 206, 253, 253, 253, 253, 240, 48, 102, 64, 60, 98, 85, 137, 64, 126, 136, 152, 227, 243, 199, 99, 180, 152, 82, 110, 10, 52, 99, 95, 118, 188, 253, 251, 116, 106, 32, 39, 108, 36, 174, 143, 178, 51, 25, 0, 0, 0, 0, 0, 46, 127, 88, 32, 89, 61, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4562970653953297, y=0.8845791022972864, z=-0.07519502201271351, w=-0.06048560618068108)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.015555555555555555, y=-0.0033333333333333335, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.07, z=-0.06)>	COMP<199>
[1740779274.0469446]	Q_Header<(2621443, 8808, 257, 173, 250, 8, 58, 4, 69)>	Q_Data<(0, 0, 70, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 57, 171, 200, 226, 253, 253, 253, 253, 201, 48, 67, 27, 38, 81, 168, 248, 146, 121, 128, 210, 253, 160, 253, 253, 94, 229, 199, 126, 75, 109, 239, 69, 253, 239, 253, 253, 217, 143, 55, 12, 39, 57, 152, 144, 197, 135, 22, 0, 0, 0, 0, 0, 44, 113, 143, 114, 135, 132, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45667222429183435, y=0.8844133293221972, z=-0.0750133872834355, w=-0.06030368318635824)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.005555555555555556, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.04, z=-0.02)>	COMP<216>
[1740779274.056983]	Q_Header<(2621443, 8809, 257, 173, 250, 8, 58, 5, 68)>	Q_Data<(0, 0, 70, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 15, 123, 155, 253, 253, 253, 253, 167, 174, 62, 55, 35, 36, 64, 249, 253, 223, 107, 156, 253, 253, 237, 253, 253, 253, 253, 252, 148, 104, 160, 253, 253, 253, 253, 253, 253, 253, 183, 130, 58, 0, 97, 149, 137, 234, 177, 0, 0, 30, 48, 31, 9, 9, 79, 104, 21, 161, 159, 66, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45667222429183435, y=0.8844133293221972, z=-0.0750133872834355, w=-0.06030368318635824)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.005555555555555556, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.04, z=-0.02)>	COMP<216>
[1740779274.0669074]	Q_Header<(2621443, 8810, 257, 173, 250, 8, 58, 6, 66)>	Q_Data<(0, 0, 69, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 62, 189, 253, 253, 253, 253, 195, 173, 139, 47, 57, 0, 66, 70, 232, 253, 234, 107, 184, 253, 253, 253, 253, 253, 253, 253, 191, 182, 125, 189, 253, 253, 253, 253, 213, 253, 253, 169, 107, 109, 85, 122, 162, 155, 223, 192, 12, 0, 0, 49, 56, 96, 80, 103, 97, 85, 114, 118, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45667222429183435, y=0.8844133293221972, z=-0.0750133872834355, w=-0.06030368318635824)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.011111111111111112, y=-0.005555555555555556, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.04, z=-0.02)>	COMP<216>
[1740779274.0769594]	Q_Header<(2621443, 8811, 257, 173, 250, 8, 58, 7, 65)>	Q_Data<(0, 0, 69, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 8, 102, 253, 253, 253, 253, 253, 154, 161, 162, 111, 40, 0, 63, 64, 155, 206, 188, 205, 248, 253, 253, 253, 253, 253, 253, 253, 243, 199, 105, 167, 253, 253, 246, 180, 128, 253, 253, 153, 102, 128, 79, 94, 177, 156, 188, 136, 91, 56, 67, 120, 106, 131, 113, 49, 113, 22, 93, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4569026445405261, y=0.8843257302628483, z=-0.07488906556922596, w=-0.05999670045195527)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.012222222222222223, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.04, z=-0.12)>	COMP<216>
[1740779274.0869074]	Q_Header<(2621443, 8812, 257, 173, 250, 8, 58, 8, 58)>	Q_Data<(0, 0, 71, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 21, 116, 253, 253, 253, 253, 236, 121, 162, 253, 240, 103, 42, 45, 56, 51, 90, 119, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 207, 88, 150, 243, 253, 215, 90, 62, 240, 253, 155, 88, 91, 76, 60, 125, 167, 186, 233, 172, 142, 154, 137, 89, 100, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4569026445405261, y=0.8843257302628483, z=-0.07488906556922596, w=-0.05999670045195527)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.012222222222222223, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.04, z=-0.12)>	COMP<216>
[1740779274.0968602]	Q_Header<(2621443, 8813, 257, 173, 250, 8, 58, 9, 60)>	Q_Data<(0, 0, 72, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 115, 253, 253, 253, 253, 206, 176, 214, 253, 253, 178, 95, 134, 157, 71, 71, 0, 253, 253, 143, 180, 253, 253, 253, 253, 253, 253, 225, 101, 181, 182, 179, 154, 60, 138, 253, 253, 150, 16, 66, 0, 0, 77, 141, 248, 253, 227, 100, 120, 128, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4569026445405261, y=0.8843257302628483, z=-0.07488906556922596, w=-0.05999670045195527)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.012222222222222223, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.04, z=-0.12)>	COMP<216>
[1740779274.1068594]	Q_Header<(2621443, 8814, 257, 173, 250, 8, 58, 10, 56)>	Q_Data<(0, 0, 72, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 105, 232, 253, 253, 253, 185, 184, 253, 253, 253, 213, 117, 177, 237, 143, 68, 86, 191, 242, 163, 215, 253, 253, 253, 253, 253, 253, 204, 108, 232, 253, 101, 96, 3, 131, 222, 232, 107, 0, 0, 0, 0, 0, 124, 253, 253, 236, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4569026445405261, y=0.8843257302628483, z=-0.07488906556922596, w=-0.05999670045195527)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.012222222222222223, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.12, y=0.04, z=-0.12)>	COMP<216>
