[1740780110.5029926]	Q_Header<(2621443, 27018, 257, 173, 250, 8, 58, 0, 61)>	Q_Data<(0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 234, 253, 253, 246, 253, 253, 159, 253, 253, 253, 231, 253, 226, 234, 142, 167, 253, 253, 147, 85, 122, 253, 253, 248, 106, 69, 60, 0, 0, 0, 0, 105, 202, 191, 168, 166, 232, 182, 144, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 37, 46, 0, 55, 82, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5062721159940007, y=-0.8573362764759165, z=0.08788810693566738, w=-0.030638770612295158)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=0.022222222222222223, z=0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.06, z=0.06)>	COMP<148>
[1740780110.5130613]	Q_Header<(2621443, 27019, 257, 173, 250, 8, 58, 1, 64)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 219, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 240, 156, 253, 241, 120, 253, 253, 118, 75, 87, 222, 238, 186, 103, 96, 80, 24, 0, 0, 0, 140, 253, 253, 253, 136, 174, 132, 73, 40, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 26, 55, 0, 53, 94, 53, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5054465580443305, y=-0.8578125741764305, z=0.08807624480835273, w=-0.03039637554716539)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.022222222222222223, z=0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.06, z=0.03)>	COMP<149>
[1740780110.5229895]	Q_Header<(2621443, 27020, 257, 173, 250, 8, 58, 2, 62)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 201, 253, 253, 207, 253, 253, 253, 249, 253, 253, 253, 253, 25, 253, 253, 101, 223, 222, 77, 50, 30, 160, 177, 148, 114, 54, 61, 42, 59, 21, 0, 150, 253, 253, 253, 189, 128, 118, 13, 0, 0, 0, 0, 43, 123, 61, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5054465580443305, y=-0.8578125741764305, z=0.08807624480835273, w=-0.03039637554716539)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.022222222222222223, z=0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.06, z=0.03)>	COMP<149>
[1740780110.5333295]	Q_Header<(2621443, 27021, 257, 173, 250, 8, 58, 3, 61)>	Q_Data<(0, 0, 52, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 253, 213, 199, 253, 253, 253, 249, 173, 183, 111, 213, 219, 82, 253, 253, 113, 139, 128, 59, 0, 0, 68, 67, 36, 130, 231, 253, 149, 107, 40, 0, 142, 253, 253, 253, 253, 71, 115, 0, 25, 0, 0, 0, 64, 149, 115, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5054465580443305, y=-0.8578125741764305, z=0.08807624480835273, w=-0.03039637554716539)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0, y=0.022222222222222223, z=0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.06, z=0.03)>	COMP<149>
[1740780110.5430715]	Q_Header<(2621443, 27022, 257, 173, 250, 8, 58, 4, 57)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227, 253, 253, 178, 253, 253, 253, 237, 147, 137, 180, 148, 136, 86, 221, 230, 93, 70, 56, 46, 30, 77, 86, 211, 252, 227, 253, 253, 253, 148, 54, 0, 125, 209, 253, 253, 253, 39, 105, 9, 0, 0, 0, 0, 35, 133, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5046421751527398, y=-0.8582823254714353, z=0.08819641304979549, w=-0.030151576502836657)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.023333333333333334, z=0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.06, z=0.03)>	COMP<148>
[1740780110.5530171]	Q_Header<(2621443, 27023, 257, 173, 250, 8, 58, 5, 56)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 253, 253, 253, 253, 253, 240, 243, 162, 165, 171, 155, 81, 93, 127, 137, 29, 0, 127, 149, 113, 128, 164, 253, 253, 253, 253, 253, 253, 154, 60, 0, 88, 181, 253, 253, 240, 23, 74, 0, 39, 0, 0, 0, 0, 74, 61, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5046421751527398, y=-0.8582823254714353, z=0.08819641304979549, w=-0.030151576502836657)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.023333333333333334, z=0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.06, z=0.03)>	COMP<148>
[1740780110.563017]	Q_Header<(2621443, 27024, 257, 173, 250, 8, 58, 6, 57)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 253, 231, 253, 253, 253, 253, 253, 224, 154, 101, 126, 55, 159, 135, 28, 17, 68, 222, 253, 207, 172, 214, 253, 253, 253, 253, 253, 253, 130, 17, 0, 16, 137, 193, 253, 132, 0, 28, 0, 34, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 32, 31, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5046421751527398, y=-0.8582823254714353, z=0.08819641304979549, w=-0.030151576502836657)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.023333333333333334, z=0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.06, z=0.03)>	COMP<148>
[1740780110.5741973]	Q_Header<(2621443, 27025, 257, 173, 250, 8, 58, 7, 57)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 253, 199, 253, 253, 253, 253, 246, 215, 151, 27, 82, 88, 238, 227, 113, 17, 94, 253, 253, 253, 241, 253, 253, 253, 253, 253, 253, 221, 65, 0, 0, 0, 79, 114, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 20, 0, 58, 0, 49, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5034902963687584, y=-0.8589670191292929, z=0.08825881543814094, w=-0.029724787772043317)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.02666666666666667, z=0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.06, z=-0.09)>	COMP<148>
[1740780110.5830805]	Q_Header<(2621443, 27026, 257, 173, 250, 8, 58, 8, 51)>	Q_Data<(0, 0, 65, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 252, 253, 253, 253, 253, 253, 179, 200, 142, 43, 52, 88, 242, 246, 125, 0, 91, 253, 253, 253, 253, 253, 253, 253, 159, 253, 241, 123, 32, 0, 0, 0, 47, 82, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 61, 0, 66, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5034902963687584, y=-0.8589670191292929, z=0.08825881543814094, w=-0.029724787772043317)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.02666666666666667, z=0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.06, z=-0.09)>	COMP<148>
[1740780110.5929356]	Q_Header<(2621443, 27027, 257, 173, 250, 8, 58, 9, 49)>	Q_Data<(0, 0, 67, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 183, 253, 253, 253, 253, 253, 162, 214, 119, 41, 25, 108, 218, 215, 90, 0, 73, 203, 253, 253, 253, 253, 253, 253, 105, 180, 131, 75, 7, 25, 0, 74, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 105, 10, 47, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5034902963687584, y=-0.8589670191292929, z=0.08825881543814094, w=-0.029724787772043317)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.02666666666666667, z=0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.06, z=-0.09)>	COMP<148>
[1740780110.6029987]	Q_Header<(2621443, 27028, 257, 173, 250, 8, 58, 10, 54)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 197, 253, 253, 189, 253, 253, 179, 169, 110, 67, 5, 130, 231, 195, 64, 0, 48, 142, 214, 217, 250, 253, 190, 155, 112, 118, 91, 16, 0, 22, 9, 102, 107, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.5034902963687584, y=-0.8589670191292929, z=0.08825881543814094, w=-0.029724787772043317)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=0.02666666666666667, z=0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.06, z=-0.09)>	COMP<148>
