[1740780402.9649644]	Q_Header<(2621443, 56268, 257, 173, 250, 8, 58, 0, 23)>	Q_Data<(0, 0, 78, 77, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 55, 45, 27, 0, 0, 54, 128, 119, 47, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42340900376701424, y=-0.9015065569610495, z=0.08673262135691613, w=-0.022095150549756255)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04666666666666667, y=-0.04111111111111111, z=-0.06)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.14, z=0.42)>	COMP<111>
[1740780402.9750483]	Q_Header<(2621443, 56269, 257, 173, 250, 8, 58, 1, 21)>	Q_Data<(0, 0, 76, 79, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 83, 78, 31, 0, 0, 42, 108, 100, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42418913860049134, y=-0.9010509716775618, z=0.08746230728266247, w=-0.02282686875346529)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.051111111111111114, y=-0.03, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.18, z=0.35)>	COMP<109>
[1740780402.9849615]	Q_Header<(2621443, 56270, 257, 173, 250, 8, 58, 2, 27)>	Q_Data<(0, 0, 0, 79, 81, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 215, 141, 150, 25, 25, 24, 11, 49, 45, 18, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42418913860049134, y=-0.9010509716775618, z=0.08746230728266247, w=-0.02282686875346529)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.051111111111111114, y=-0.03, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.18, z=0.35)>	COMP<109>
[1740780402.9949114]	Q_Header<(2621443, 56271, 257, 173, 250, 8, 58, 3, 21)>	Q_Data<(0, 0, 55, 79, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 214, 167, 201, 24, 45, 36, 0, 17, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42418913860049134, y=-0.9010509716775618, z=0.08746230728266247, w=-0.02282686875346529)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.051111111111111114, y=-0.03, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.18, z=0.35)>	COMP<109>
[1740780403.0049882]	Q_Header<(2621443, 56272, 257, 173, 250, 8, 58, 4, 29)>	Q_Data<(0, 0, 76, 7, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 183, 150, 213, 42, 55, 34, 0, 9, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42418913860049134, y=-0.9010509716775618, z=0.08746230728266247, w=-0.02282686875346529)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.051111111111111114, y=-0.03, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.18, z=0.35)>	COMP<109>
[1740780403.0150583]	Q_Header<(2621443, 56273, 257, 173, 250, 8, 58, 5, 18)>	Q_Data<(0, 0, 76, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 97, 179, 18, 58, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42492679105499004, y=-0.9005738009216285, z=0.08856201864705408, w=-0.023681642477640926)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.052222222222222225, y=-0.016666666666666666, z=-0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=0.29)>	COMP<109>
[1740780403.0249379]	Q_Header<(2621443, 56274, 257, 173, 250, 8, 58, 6, 22)>	Q_Data<(0, 0, 0, 0, 52, 73, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 33, 111, 47, 46, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42492679105499004, y=-0.9005738009216285, z=0.08856201864705408, w=-0.023681642477640926)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.052222222222222225, y=-0.016666666666666666, z=-0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=0.29)>	COMP<109>
[1740780403.0350392]	Q_Header<(2621443, 56275, 257, 173, 250, 8, 58, 7, 34)>	Q_Data<(0, 0, 17, 0, 82, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 20, 48, 69, 48, 0, 0, 12, 0, 0, 0, 5, 0, 0, 0, 21, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42492679105499004, y=-0.9005738009216285, z=0.08856201864705408, w=-0.023681642477640926)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.052222222222222225, y=-0.016666666666666666, z=-0.04)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.11, z=0.29)>	COMP<109>
[1740780403.0451136]	Q_Header<(2621443, 56276, 257, 173, 250, 8, 58, 8, 38)>	Q_Data<(0, 0, 77, 64, 74, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 69, 52, 52, 91, 82, 17, 0, 26, 23, 0, 11, 4, 0, 7, 0, 18, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4254099075906985, y=-0.9002576954035586, z=0.0893543909200549, w=-0.0240475614907798)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04777777777777778, y=-0.0044444444444444444, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.1, z=0.32)>	COMP<109>
[1740780403.05502]	Q_Header<(2621443, 56277, 257, 173, 250, 8, 58, 9, 35)>	Q_Data<(0, 0, 76, 55, 63, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 55, 67, 114, 91, 24, 23, 26, 23, 0, 16, 0, 0, 11, 0, 0, 23, 20, 28, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4254099075906985, y=-0.9002576954035586, z=0.0893543909200549, w=-0.0240475614907798)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04777777777777778, y=-0.0044444444444444444, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.1, z=0.32)>	COMP<109>
[1740780403.0650072]	Q_Header<(2621443, 56278, 257, 173, 250, 8, 58, 10, 39)>	Q_Data<(0, 0, 58, 16, 82, 81, 77, 0, 58, 0, 0, 0, 7, 0, 0, 0, 44, 26, 101, 151, 96, 60, 23, 22, 30, 0, 0, 0, 0, 0, 0, 18, 15, 0, 16, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4254099075906985, y=-0.9002576954035586, z=0.0893543909200549, w=-0.0240475614907798)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.04777777777777778, y=-0.0044444444444444444, z=-0.03222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.1, z=0.32)>	COMP<109>
[1740780403.0751076]	Q_Header<(2621443, 56279, 257, 173, 250, 8, 58, 11, 31)>	Q_Data<(0, 0, 0, 0, 50, 62, 62, 34, 84, 0, 0, 0, 26, 0, 0, 0, 31, 27, 121, 181, 93, 117, 16, 0, 32, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4257258299449128, y=-0.9000362850706357, z=0.09002804289157654, w=-0.024231276629122635)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03222222222222222, y=0.006666666666666667, z=-0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.08, z=0.29)>	COMP<110>
[1740780403.0849812]	Q_Header<(2621443, 56280, 257, 173, 250, 8, 58, 12, 33)>	Q_Data<(0, 0, 75, 78, 82, 84, 0, 79, 55, 0, 0, 0, 0, 0, 0, 0, 37, 18, 135, 203, 125, 147, 67, 15, 27, 5, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4257258299449128, y=-0.9000362850706357, z=0.09002804289157654, w=-0.024231276629122635)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03222222222222222, y=0.006666666666666667, z=-0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.08, z=0.29)>	COMP<110>
