[1740780685.2218242]	Q_Header<(2621443, 14833, 257, 173, 250, 8, 58, 0, 17)>	Q_Data<(0, 0, 55, 79, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3853821779478758, y=-0.9177393771973806, z=0.09485015909581866, w=-0.015442143018817325)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03111111111111111, y=-0.0022222222222222222, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=0.0, z=0.21)>	COMP<196>
[1740780685.2319384]	Q_Header<(2621443, 14834, 257, 173, 250, 8, 58, 1, 16)>	Q_Data<(0, 0, 77, 79, 63, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 42, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3853762019577675, y=-0.9177251461255926, z=0.09503179386256635, w=-0.01531983317887229)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=-0.0033333333333333335, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.01, z=0.16)>	COMP<192>
[1740780685.242444]	Q_Header<(2621443, 14835, 257, 173, 250, 8, 58, 2, 16)>	Q_Data<(0, 0, 76, 60, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 32, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3853762019577675, y=-0.9177251461255926, z=0.09503179386256635, w=-0.01531983317887229)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=-0.0033333333333333335, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.01, z=0.16)>	COMP<192>
[1740780685.2517893]	Q_Header<(2621443, 14836, 257, 173, 250, 8, 58, 3, 16)>	Q_Data<(0, 0, 76, 34, 67, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 27, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3853762019577675, y=-0.9177251461255926, z=0.09503179386256635, w=-0.01531983317887229)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=-0.0033333333333333335, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.17, y=-0.01, z=0.16)>	COMP<192>
[1740780685.2618842]	Q_Header<(2621443, 14837, 257, 173, 250, 8, 58, 4, 17)>	Q_Data<(0, 0, 57, 58, 60, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 5, 21, 14, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.38542995463727253, y=-0.9177078064807648, z=0.0950299983167432, w=-0.015014373529812991)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.0, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.04, z=0.07)>	COMP<192>
[1740780685.2718227]	Q_Header<(2621443, 14838, 257, 173, 250, 8, 58, 5, 17)>	Q_Data<(0, 0, 62, 80, 63, 71, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 31, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.38542995463727253, y=-0.9177078064807648, z=0.0950299983167432, w=-0.015014373529812991)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.0, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.04, z=0.07)>	COMP<192>
[1740780685.2817757]	Q_Header<(2621443, 14839, 257, 173, 250, 8, 58, 6, 17)>	Q_Data<(0, 0, 62, 66, 81, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 28, 38, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.38542995463727253, y=-0.9177078064807648, z=0.0950299983167432, w=-0.015014373529812991)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.01, y=0.0, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.04, z=0.07)>	COMP<192>
[1740780685.2918937]	Q_Header<(2621443, 14840, 257, 173, 250, 8, 58, 7, 19)>	Q_Data<(0, 0, 62, 57, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 27, 33, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3854354760705663, y=-0.9177209530003221, z=0.094909289832103, w=-0.0148314838772997)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.027777777777777776, y=0.0, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.04, z=0.07)>	COMP<192>
[1740780685.3015547]	Q_Header<(2621443, 14841, 257, 173, 250, 8, 58, 8, 20)>	Q_Data<(0, 0, 62, 56, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 34, 22, 8, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3854354760705663, y=-0.9177209530003221, z=0.094909289832103, w=-0.0148314838772997)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.027777777777777776, y=0.0, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.04, z=0.07)>	COMP<192>
[1740780685.3118305]	Q_Header<(2621443, 14842, 257, 173, 250, 8, 58, 9, 26)>	Q_Data<(0, 0, 62, 58, 67, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 37, 36, 19, 0, 0, 0, 9, 0, 0, 23, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3854354760705663, y=-0.9177209530003221, z=0.094909289832103, w=-0.0148314838772997)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.027777777777777776, y=0.0, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.04, z=0.07)>	COMP<192>
[1740780685.3130798]	Q_Header<(2621443, 14843, 257, 173, 250, 8, 58, 10, 29)>	Q_Data<(0, 0, 57, 53, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 75, 46, 0, 0, 0, 12, 10, 0, 0, 19, 0, 0, 34, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.3854354760705663, y=-0.9177209530003221, z=0.094909289832103, w=-0.0148314838772997)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.027777777777777776, y=0.0, z=0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.15, y=-0.04, z=0.07)>	COMP<192>
