[1740780015.5023203]	Q_Header<(2621443, 17518, 257, 173, 250, 8, 58, 0, 61)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 106, 247, 253, 235, 253, 157, 114, 253, 233, 117, 73, 76, 61, 67, 56, 41, 0, 0, 0, 113, 253, 253, 253, 253, 175, 0, 0, 30, 0, 18, 102, 253, 237, 54, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 65, 31, 0, 61, 78, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30510979671093147, y=-0.9471281907101889, z=0.09911948586888432, w=-0.005615143288138767)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.027777777777777776, z=-0.0077777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.1, y=0.0, z=-0.19)>	COMP<192>
[1740780015.5127442]	Q_Header<(2621443, 17519, 257, 173, 250, 8, 58, 1, 59)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 123, 253, 253, 253, 253, 189, 250, 253, 253, 136, 124, 151, 110, 83, 105, 37, 0, 0, 0, 61, 152, 224, 253, 253, 178, 47, 0, 0, 0, 3, 105, 253, 226, 62, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 32, 75, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30516868630188826, y=-0.94706050106928, z=0.09960705920893632, w=-0.0051878676671321)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=0.027777777777777776, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.02, z=-0.25)>	COMP<194>
[1740780015.5222764]	Q_Header<(2621443, 17520, 257, 173, 250, 8, 58, 2, 59)>	Q_Data<(0, 0, 10, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 221, 253, 253, 253, 253, 253, 253, 253, 245, 187, 221, 136, 104, 158, 77, 9, 0, 0, 34, 66, 67, 149, 179, 147, 86, 56, 0, 0, 26, 81, 200, 162, 35, 0, 0, 0, 14, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 35, 0, 43, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30516868630188826, y=-0.94706050106928, z=0.09960705920893632, w=-0.0051878676671321)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=0.027777777777777776, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.02, z=-0.25)>	COMP<194>
[1740780015.5334733]	Q_Header<(2621443, 17521, 257, 173, 250, 8, 58, 3, 53)>	Q_Data<(0, 0, 62, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 184, 235, 253, 253, 253, 253, 253, 253, 253, 211, 251, 133, 116, 203, 103, 41, 0, 11, 0, 0, 40, 112, 101, 84, 82, 47, 14, 0, 0, 17, 96, 64, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 33, 43, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30516868630188826, y=-0.94706050106928, z=0.09960705920893632, w=-0.0051878676671321)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.014444444444444444, y=0.027777777777777776, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.02, z=-0.25)>	COMP<194>
[1740780015.5422792]	Q_Header<(2621443, 17522, 257, 173, 250, 8, 58, 4, 42)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 87, 175, 200, 253, 253, 253, 253, 253, 253, 253, 172, 220, 143, 170, 210, 112, 14, 11, 6, 0, 0, 7, 60, 55, 0, 54, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 40, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30510823391761377, y=-0.9470623056010429, z=0.09979035056117194, w=-0.004882708284338688)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.022222222222222223, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.02, z=-0.3)>	COMP<194>
[1740780015.5522203]	Q_Header<(2621443, 17523, 257, 173, 250, 8, 58, 5, 48)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 77, 198, 232, 237, 253, 253, 215, 253, 253, 253, 86, 130, 215, 253, 233, 100, 81, 64, 36, 0, 0, 0, 0, 0, 0, 0, 62, 50, 14, 32, 47, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 38, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30510823391761377, y=-0.9470623056010429, z=0.09979035056117194, w=-0.004882708284338688)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.022222222222222223, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.02, z=-0.3)>	COMP<194>
[1740780015.5623305]	Q_Header<(2621443, 17524, 257, 173, 250, 8, 58, 6, 48)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 244, 253, 253, 253, 253, 253, 253, 216, 226, 187, 168, 253, 253, 229, 68, 93, 114, 58, 0, 0, 8, 0, 0, 0, 0, 44, 79, 42, 39, 59, 27, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 59, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30510823391761377, y=-0.9470623056010429, z=0.09979035056117194, w=-0.004882708284338688)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.022222222222222223, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.02, z=-0.3)>	COMP<194>
[1740780015.5722594]	Q_Header<(2621443, 17525, 257, 173, 250, 8, 58, 7, 46)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 234, 253, 253, 227, 253, 253, 253, 253, 253, 253, 202, 253, 253, 173, 118, 97, 147, 74, 0, 10, 0, 0, 8, 0, 0, 29, 88, 57, 35, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 27, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30510823391761377, y=-0.9470623056010429, z=0.09979035056117194, w=-0.004882708284338688)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.008888888888888889, y=0.022222222222222223, z=-0.006666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.13, y=0.02, z=-0.3)>	COMP<194>
[1740780015.5822964]	Q_Header<(2621443, 17526, 257, 173, 250, 8, 58, 8, 38)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 215, 253, 253, 253, 253, 253, 253, 253, 253, 253, 209, 253, 253, 253, 201, 154, 180, 93, 26, 38, 0, 13, 10, 0, 0, 0, 57, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30512259206090286, y=-0.9470458368507639, z=0.09991712006475255, w=-0.004577754431799903)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.021111111111111112, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.02, z=-0.23)>	COMP<190>
[1740780015.5921378]	Q_Header<(2621443, 17527, 257, 173, 250, 8, 58, 9, 27)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 175, 253, 253, 253, 253, 253, 177, 253, 253, 207, 213, 253, 253, 253, 253, 253, 253, 127, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30512259206090286, y=-0.9470458368507639, z=0.09991712006475255, w=-0.004577754431799903)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.021111111111111112, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.02, z=-0.23)>	COMP<190>
[1740780015.603113]	Q_Header<(2621443, 17528, 257, 173, 250, 8, 58, 10, 36)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 122, 215, 253, 253, 253, 193, 253, 253, 253, 129, 243, 253, 253, 253, 253, 253, 253, 253, 75, 0, 0, 32, 62, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.30512259206090286, y=-0.9470458368507639, z=0.09991712006475255, w=-0.004577754431799903)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.021111111111111112, z=-0.008888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.14, y=0.02, z=-0.23)>	COMP<190>
