[1740780455.4653597]	Q_Header<(2621443, 61518, 257, 173, 250, 8, 58, 0, 23)>	Q_Data<(0, 0, 0, 79, 61, 32, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 79, 34, 46, 8, 16, 0, 0, 27, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4957899585183437, y=-0.8634057310353921, z=0.0875246584408845, w=-0.032592864440329376)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0044444444444444444, y=0.01, z=-0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.09, y=-0.06, z=-0.01)>	COMP<110>
[1740780455.4759564]	Q_Header<(2621443, 61519, 257, 173, 250, 8, 58, 1, 26)>	Q_Data<(0, 0, 0, 79, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 54, 57, 17, 15, 0, 5, 35, 33, 0, 0, 0, 0, 10, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.49675124118886865, y=-0.8628298681271699, z=0.08788816652069921, w=-0.032225661057589707)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.02, z=-0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.09, z=-0.08)>	COMP<110>
[1740780455.4853606]	Q_Header<(2621443, 61520, 257, 173, 250, 8, 58, 2, 24)>	Q_Data<(0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 73, 101, 46, 24, 0, 16, 36, 25, 0, 0, 0, 14, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.49675124118886865, y=-0.8628298681271699, z=0.08788816652069921, w=-0.032225661057589707)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.02, z=-0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.09, z=-0.08)>	COMP<110>
[1740780455.4953656]	Q_Header<(2621443, 61521, 257, 173, 250, 8, 58, 3, 23)>	Q_Data<(0, 0, 0, 78, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 187, 170, 88, 26, 15, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.49675124118886865, y=-0.8628298681271699, z=0.08788816652069921, w=-0.032225661057589707)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.02, z=-0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.09, z=-0.08)>	COMP<110>
[1740780455.5053954]	Q_Header<(2621443, 61522, 257, 173, 250, 8, 58, 4, 25)>	Q_Data<(0, 0, 48, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 245, 211, 114, 28, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.49675124118886865, y=-0.8628298681271699, z=0.08788816652069921, w=-0.032225661057589707)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.011111111111111112, y=0.02, z=-0.058888888888888886)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.09, z=-0.08)>	COMP<110>
[1740780455.5154412]	Q_Header<(2621443, 61523, 257, 173, 250, 8, 58, 5, 32)>	Q_Data<(0, 0, 51, 79, 67, 33, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 228, 230, 205, 113, 32, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 28, 0, 0, 33, 43, 26, 0, 7, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4973774541859396, y=-0.8624301666029361, z=0.08837925557261511, w=-0.03192151288983267)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.03333333333333333, z=-0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.12, z=0.05)>	COMP<109>
[1740780455.525386]	Q_Header<(2621443, 61524, 257, 173, 250, 8, 58, 6, 34)>	Q_Data<(0, 0, 0, 24, 64, 18, 0, 0, 0, 0, 0, 54, 73, 0, 0, 0, 183, 178, 158, 84, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 11, 0, 50, 46, 36, 17, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4973774541859396, y=-0.8624301666029361, z=0.08837925557261511, w=-0.03192151288983267)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.03333333333333333, z=-0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.12, z=0.05)>	COMP<109>
[1740780455.53559]	Q_Header<(2621443, 61525, 257, 173, 250, 8, 58, 7, 32)>	Q_Data<(0, 0, 0, 80, 67, 85, 77, 14, 0, 0, 0, 0, 76, 0, 0, 0, 120, 96, 91, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 26, 0, 23, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4973774541859396, y=-0.8624301666029361, z=0.08837925557261511, w=-0.03192151288983267)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.016666666666666666, y=0.03333333333333333, z=-0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.12, z=0.05)>	COMP<109>
[1740780455.5454335]	Q_Header<(2621443, 61526, 257, 173, 250, 8, 58, 8, 26)>	Q_Data<(0, 0, 0, 79, 65, 68, 36, 0, 0, 0, 0, 0, 100, 0, 0, 0, 63, 31, 0, 48, 38, 36, 26, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4979789824536646, y=-0.8620486760847602, z=0.08886596377650885, w=-0.03149370694277374)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=0.03888888888888889, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.05, z=0.13)>	COMP<113>
[1740780455.5554376]	Q_Header<(2621443, 61527, 257, 173, 250, 8, 58, 9, 26)>	Q_Data<(0, 0, 63, 60, 0, 81, 15, 84, 0, 0, 0, 0, 102, 0, 0, 0, 60, 58, 26, 69, 58, 50, 37, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4979789824536646, y=-0.8620486760847602, z=0.08886596377650885, w=-0.03149370694277374)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=0.03888888888888889, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.05, z=0.13)>	COMP<113>
[1740780455.5653605]	Q_Header<(2621443, 61528, 257, 173, 250, 8, 58, 10, 27)>	Q_Data<(0, 0, 62, 58, 83, 0, 36, 70, 0, 0, 0, 68, 87, 0, 0, 0, 58, 42, 54, 65, 60, 53, 42, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4979789824536646, y=-0.8620486760847602, z=0.08886596377650885, w=-0.03149370694277374)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=0.03888888888888889, z=-0.04888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.05, z=0.13)>	COMP<113>
