[1740780023.0023942]	Q_Header<(2621443, 18268, 257, 173, 250, 8, 58, 0, 52)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 253, 253, 253, 253, 253, 230, 253, 182, 139, 66, 141, 127, 58, 75, 37, 0, 42, 0, 0, 117, 238, 202, 214, 142, 48, 48, 32, 0, 0, 131, 234, 151, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 42, 54, 76, 112, 19, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2941234057543593, y=-0.9516439390998072, z=0.08813326372884309, w=-0.009887526817224778)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0033333333333333335, y=0.01, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.14, z=0.01)>	COMP<196>
[1740780023.0124867]	Q_Header<(2621443, 18269, 257, 173, 250, 8, 58, 1, 53)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 253, 253, 253, 253, 253, 148, 253, 177, 242, 194, 143, 152, 108, 188, 139, 34, 13, 0, 8, 63, 151, 151, 115, 61, 68, 66, 32, 18, 0, 70, 145, 69, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 56, 67, 0, 86, 118, 51, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2941225243016803, y=-0.9516410871367088, z=0.08819403353723346, w=-0.009643361452514109)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.02, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.17, z=0.05)>	COMP<190>
[1740780023.022356]	Q_Header<(2621443, 18270, 257, 173, 250, 8, 58, 2, 54)>	Q_Data<(0, 0, 7, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 226, 237, 235, 247, 253, 253, 230, 253, 253, 253, 51, 112, 138, 207, 176, 63, 0, 0, 20, 49, 105, 79, 73, 63, 29, 127, 83, 0, 0, 2, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 21, 63, 0, 91, 104, 25, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2941225243016803, y=-0.9516410871367088, z=0.08819403353723346, w=-0.009643361452514109)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.02, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.17, z=0.05)>	COMP<190>
[1740780023.0322878]	Q_Header<(2621443, 18271, 257, 173, 250, 8, 58, 3, 47)>	Q_Data<(0, 0, 57, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 155, 222, 253, 225, 253, 253, 253, 253, 253, 253, 145, 66, 182, 124, 91, 30, 34, 6, 28, 0, 37, 0, 32, 36, 108, 147, 102, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 60, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2941225243016803, y=-0.9516410871367088, z=0.08819403353723346, w=-0.009643361452514109)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.02, z=0.0)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.17, z=0.05)>	COMP<190>
[1740780023.0424116]	Q_Header<(2621443, 18272, 257, 173, 250, 8, 58, 4, 50)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 75, 122, 219, 253, 253, 253, 253, 253, 253, 133, 253, 159, 160, 204, 202, 118, 120, 78, 30, 38, 9, 5, 46, 15, 0, 61, 89, 51, 50, 26, 13, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 45, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29406286677397914, y=-0.9516455414570117, z=0.08837754900139515, w=-0.00933823549531316)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.02, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.16, z=0.04)>	COMP<194>
[1740780023.0523133]	Q_Header<(2621443, 18273, 257, 173, 250, 8, 58, 5, 50)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 122, 152, 253, 253, 215, 253, 253, 253, 253, 208, 192, 197, 253, 173, 41, 156, 147, 109, 64, 32, 7, 28, 0, 0, 0, 0, 87, 77, 50, 45, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 17, 20, 31, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29406286677397914, y=-0.9516455414570117, z=0.08837754900139515, w=-0.00933823549531316)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.02, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.16, z=0.04)>	COMP<194>
[1740780023.0623305]	Q_Header<(2621443, 18274, 257, 173, 250, 8, 58, 6, 51)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 114, 111, 208, 216, 212, 227, 253, 253, 253, 212, 235, 253, 253, 253, 77, 71, 166, 138, 76, 32, 0, 12, 0, 0, 0, 25, 98, 74, 53, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 50, 25, 19, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29406286677397914, y=-0.9516455414570117, z=0.08837754900139515, w=-0.00933823549531316)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.02, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.16, z=0.04)>	COMP<194>
[1740780023.072334]	Q_Header<(2621443, 18275, 257, 173, 250, 8, 58, 7, 53)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 83, 147, 244, 253, 253, 186, 253, 253, 253, 238, 213, 253, 253, 253, 156, 213, 161, 106, 45, 29, 0, 0, 0, 0, 0, 28, 78, 34, 31, 16, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35, 0, 0, 13, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29406286677397914, y=-0.9516455414570117, z=0.08837754900139515, w=-0.00933823549531316)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.005555555555555556, y=0.02, z=-0.0022222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.16, z=0.04)>	COMP<194>
[1740780023.0823805]	Q_Header<(2621443, 18276, 257, 173, 250, 8, 58, 8, 47)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 54, 158, 248, 253, 243, 253, 251, 253, 253, 217, 170, 240, 253, 253, 177, 253, 241, 195, 121, 49, 15, 38, 0, 31, 0, 17, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29401754841476924, y=-0.9516353741612346, z=0.08868746062832877, w=-0.008850434818381055)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=0.028888888888888888, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.16, z=0.0)>	COMP<194>
[1740780023.0922341]	Q_Header<(2621443, 18277, 257, 173, 250, 8, 58, 9, 31)>	Q_Data<(0, 0, 67, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 179, 253, 253, 253, 253, 253, 253, 253, 246, 245, 253, 253, 253, 253, 253, 253, 253, 250, 36, 53, 69, 54, 18, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29401754841476924, y=-0.9516353741612346, z=0.08868746062832877, w=-0.008850434818381055)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=0.028888888888888888, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.16, z=0.0)>	COMP<194>
[1740780023.1023068]	Q_Header<(2621443, 18278, 257, 173, 250, 8, 58, 10, 30)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 194, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 66, 82, 79, 116, 89, 38, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.29401754841476924, y=-0.9516353741612346, z=0.08868746062832877, w=-0.008850434818381055)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.01, y=0.028888888888888888, z=-0.0011111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.16, z=0.0)>	COMP<194>
