[1740779678.0699506]	Q_Header<(2621443, 49304, 257, 173, 250, 8, 58, 0, 80)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 202, 131, 131, 125, 49, 0, 117, 127, 138, 218, 237, 135, 253, 253, 253, 253, 224, 65, 219, 253, 209, 172, 173, 253, 253, 50, 250, 179, 135, 214, 192, 178, 253, 253, 253, 249, 237, 148, 0, 99, 58, 0, 0, 0, 0, 156, 253, 253, 202, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 32, 0, 169, 253, 253, 253, 253, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9031617903762748, y=-0.4195060475269403, z=0.0181279348342065, w=0.0893579010009371)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.0011111111111111111, y=-0.03888888888888889, z=-0.03111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.07, z=-0.03)>	COMP<162>
[1740779678.0799623]	Q_Header<(2621443, 49305, 257, 173, 250, 8, 58, 1, 81)>	Q_Data<(0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 230, 253, 198, 159, 91, 25, 91, 157, 156, 196, 232, 156, 241, 253, 253, 253, 253, 123, 219, 253, 248, 253, 253, 253, 253, 134, 253, 227, 61, 119, 159, 253, 253, 253, 253, 253, 253, 173, 64, 122, 62, 0, 30, 0, 66, 152, 253, 253, 211, 94, 49, 62, 77, 75, 0, 31, 0, 0, 64, 119, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 131, 253, 253, 253, 253, 85, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9029274600318015, y=-0.42003155197639974, z=0.018554140046618064, w=0.08916973226351642)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.034444444444444444, z=-0.03666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.07, z=-0.06)>	COMP<162>
[1740779678.0897365]	Q_Header<(2621443, 49306, 257, 173, 250, 8, 58, 2, 78)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 97, 225, 253, 206, 167, 95, 102, 105, 226, 210, 152, 191, 133, 192, 199, 212, 253, 253, 164, 249, 248, 247, 253, 253, 253, 253, 233, 253, 208, 77, 70, 145, 253, 253, 253, 253, 253, 252, 161, 78, 115, 62, 122, 141, 12, 37, 111, 253, 253, 192, 126, 91, 163, 180, 137, 0, 28, 0, 0, 56, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 65, 253, 253, 253, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9029274600318015, y=-0.42003155197639974, z=0.018554140046618064, w=0.08916973226351642)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.034444444444444444, z=-0.03666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.07, z=-0.06)>	COMP<162>
[1740779678.0999289]	Q_Header<(2621443, 49307, 257, 173, 250, 8, 58, 3, 75)>	Q_Data<(0, 0, 39, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 116, 160, 253, 199, 176, 121, 217, 153, 248, 230, 91, 134, 131, 112, 108, 127, 177, 253, 236, 253, 187, 207, 253, 253, 253, 253, 253, 175, 119, 119, 128, 127, 253, 253, 253, 253, 197, 154, 102, 52, 47, 74, 226, 253, 108, 0, 73, 214, 179, 175, 139, 112, 228, 253, 175, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 200, 170, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9029274600318015, y=-0.42003155197639974, z=0.018554140046618064, w=0.08916973226351642)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=-0.034444444444444444, z=-0.03666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.07, z=-0.06)>	COMP<162>
[1740779678.110006]	Q_Header<(2621443, 49308, 257, 173, 250, 8, 58, 4, 80)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 97, 140, 229, 152, 214, 208, 253, 212, 212, 194, 168, 96, 154, 99, 76, 79, 129, 253, 253, 251, 168, 222, 253, 253, 253, 253, 253, 186, 140, 142, 183, 109, 253, 253, 253, 253, 135, 115, 14, 48, 116, 115, 253, 253, 147, 125, 96, 131, 77, 113, 97, 114, 221, 253, 173, 57, 60, 0, 26, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 25, 0, 103, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9025564726409794, y=-0.42085121247444063, z=0.019165667979256614, w=0.08893114091011747)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.03777777777777778, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.08, z=-0.01)>	COMP<159>
[1740779678.1199143]	Q_Header<(2621443, 49309, 257, 173, 250, 8, 58, 5, 71)>	Q_Data<(0, 0, 61, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 248, 249, 253, 253, 253, 231, 109, 131, 208, 154, 189, 178, 124, 75, 41, 198, 227, 194, 86, 253, 253, 253, 253, 253, 253, 237, 225, 182, 231, 110, 207, 228, 241, 164, 133, 139, 19, 112, 246, 245, 253, 253, 146, 168, 130, 0, 35, 0, 32, 71, 169, 223, 104, 91, 91, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 62, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9025564726409794, y=-0.42085121247444063, z=0.019165667979256614, w=0.08893114091011747)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.03777777777777778, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.08, z=-0.01)>	COMP<159>
[1740779678.1299973]	Q_Header<(2621443, 49310, 257, 173, 250, 8, 58, 6, 73)>	Q_Data<(0, 0, 62, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 191, 250, 253, 253, 253, 253, 238, 154, 159, 226, 241, 214, 232, 100, 94, 72, 121, 160, 135, 169, 242, 214, 253, 253, 253, 243, 253, 226, 170, 246, 124, 105, 97, 63, 76, 109, 114, 66, 130, 253, 253, 253, 253, 49, 170, 156, 80, 16, 93, 0, 0, 104, 81, 144, 53, 180, 209, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9025564726409794, y=-0.42085121247444063, z=0.019165667979256614, w=0.08893114091011747)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=-0.03777777777777778, z=-0.043333333333333335)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.08, z=-0.01)>	COMP<159>
[1740779678.1407027]	Q_Header<(2621443, 49311, 257, 173, 250, 8, 58, 7, 78)>	Q_Data<(0, 0, 62, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189, 238, 191, 253, 253, 119, 253, 247, 174, 249, 253, 211, 225, 143, 170, 110, 34, 84, 142, 224, 179, 134, 238, 253, 142, 226, 253, 161, 203, 244, 129, 163, 172, 96, 27, 72, 65, 84, 98, 253, 253, 169, 253, 123, 131, 151, 61, 63, 86, 41, 0, 76, 53, 171, 188, 253, 253, 127, 70, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9022345762655564, y=-0.4215758502412527, z=0.01953152918447964, w=0.08868534970327786)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=-0.03222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.08, z=0.08)>	COMP<158>
[1740779678.1498642]	Q_Header<(2621443, 49312, 257, 173, 250, 8, 58, 8, 80)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 234, 253, 247, 253, 253, 253, 252, 128, 253, 253, 170, 162, 185, 188, 127, 90, 19, 121, 199, 147, 208, 209, 175, 253, 205, 205, 87, 227, 231, 128, 227, 245, 107, 31, 21, 0, 96, 70, 253, 253, 112, 140, 153, 57, 121, 0, 40, 15, 0, 0, 138, 224, 253, 253, 253, 253, 120, 60, 0, 0, 0, 0, 121, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 253, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9022345762655564, y=-0.4215758502412527, z=0.01953152918447964, w=0.08868534970327786)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=-0.03222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.08, z=0.08)>	COMP<158>
[1740779678.1599112]	Q_Header<(2621443, 49313, 257, 173, 250, 8, 58, 9, 83)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 247, 253, 253, 188, 253, 253, 253, 236, 253, 241, 91, 113, 138, 136, 127, 126, 0, 80, 122, 94, 127, 143, 253, 253, 161, 90, 149, 159, 179, 96, 230, 252, 93, 0, 0, 0, 84, 74, 176, 185, 0, 123, 107, 0, 62, 0, 0, 0, 0, 0, 185, 253, 253, 253, 253, 253, 143, 61, 94, 0, 0, 19, 218, 253, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 129, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9022345762655564, y=-0.4215758502412527, z=0.01953152918447964, w=0.08868534970327786)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=-0.03222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.08, z=0.08)>	COMP<158>
[1740779678.169866]	Q_Header<(2621443, 49314, 257, 173, 250, 8, 58, 10, 76)>	Q_Data<(0, 0, 65, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 242, 253, 253, 173, 253, 138, 253, 253, 253, 253, 176, 197, 34, 35, 122, 136, 42, 55, 98, 114, 155, 213, 225, 252, 91, 135, 191, 51, 99, 144, 207, 200, 71, 0, 0, 18, 43, 0, 71, 0, 0, 173, 76, 0, 0, 0, 0, 0, 0, 0, 194, 253, 253, 253, 253, 253, 178, 0, 129, 0, 0, 50, 253, 253, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 253, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.9022345762655564, y=-0.4215758502412527, z=0.01953152918447964, w=0.08868534970327786)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=-0.03222222222222222, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.08, z=0.08)>	COMP<158>
