[1740779688.0698018]	Q_Header<(2621443, 50304, 257, 173, 250, 8, 58, 0, 42)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 23, 181, 176, 253, 253, 197, 253, 253, 253, 212, 65, 0, 26, 58, 173, 253, 253, 206, 191, 173, 154, 44, 23, 0, 0, 34, 154, 226, 195, 117, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7661286690242628, y=-0.6362432477620232, z=0.04443448622129249, w=0.07916418767722028)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0033333333333333335, y=0.01888888888888889, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.09, z=-0.05)>	COMP<167>
[1740779688.0798917]	Q_Header<(2621443, 50305, 257, 173, 250, 8, 58, 1, 46)>	Q_Data<(0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 137, 163, 190, 253, 253, 247, 193, 253, 253, 242, 97, 64, 91, 54, 142, 253, 253, 250, 170, 168, 125, 0, 41, 0, 77, 115, 234, 253, 253, 151, 3, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7655643769505703, y=-0.6369021983161286, z=0.04406740653418734, w=0.07952885140449599)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=0.03222222222222222, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.08, z=0.08)>	COMP<172>
[1740779688.0898476]	Q_Header<(2621443, 50306, 257, 173, 250, 8, 58, 2, 46)>	Q_Data<(0, 0, 4, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 135, 163, 251, 253, 253, 253, 140, 253, 253, 253, 84, 96, 118, 29, 162, 245, 253, 251, 166, 121, 79, 0, 41, 0, 150, 206, 253, 253, 253, 124, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7655643769505703, y=-0.6369021983161286, z=0.04406740653418734, w=0.07952885140449599)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=0.03222222222222222, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.08, z=0.08)>	COMP<172>
[1740779688.0997875]	Q_Header<(2621443, 50307, 257, 173, 250, 8, 58, 3, 44)>	Q_Data<(0, 0, 54, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 252, 253, 253, 230, 186, 215, 253, 253, 72, 107, 118, 121, 112, 253, 253, 165, 127, 94, 78, 0, 36, 0, 208, 253, 253, 253, 247, 96, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7655643769505703, y=-0.6369021983161286, z=0.04406740653418734, w=0.07952885140449599)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=0.03222222222222222, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.12, y=-0.08, z=0.08)>	COMP<172>
[1740779688.1099133]	Q_Header<(2621443, 50308, 257, 173, 250, 8, 58, 4, 42)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 137, 227, 253, 253, 171, 229, 184, 253, 253, 125, 139, 121, 159, 89, 253, 226, 253, 51, 23, 64, 0, 50, 45, 204, 253, 233, 198, 138, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7649319737730742, y=-0.63761623952823, z=0.043394768479426776, w=0.08025895998656288)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.04, z=-0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.07, z=0.09)>	COMP<168>
[1740779688.1198592]	Q_Header<(2621443, 50309, 257, 173, 250, 8, 58, 5, 42)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 178, 253, 253, 236, 253, 232, 170, 189, 249, 83, 215, 142, 214, 166, 253, 253, 253, 160, 90, 40, 20, 91, 188, 150, 231, 189, 69, 51, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7649319737730742, y=-0.63761623952823, z=0.043394768479426776, w=0.08025895998656288)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.04, z=-0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.07, z=0.09)>	COMP<168>
[1740779688.1299033]	Q_Header<(2621443, 50310, 257, 173, 250, 8, 58, 6, 43)>	Q_Data<(0, 0, 61, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 253, 253, 253, 253, 234, 238, 179, 204, 195, 253, 146, 233, 177, 253, 253, 253, 191, 115, 42, 54, 57, 234, 231, 136, 137, 36, 20, 30, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7649319737730742, y=-0.63761623952823, z=0.043394768479426776, w=0.08025895998656288)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.04, z=-0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.07, z=0.09)>	COMP<168>
[1740779688.140003]	Q_Header<(2621443, 50311, 257, 173, 250, 8, 58, 7, 51)>	Q_Data<(0, 0, 62, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 228, 253, 253, 253, 253, 201, 253, 251, 253, 253, 247, 118, 189, 122, 253, 253, 253, 168, 65, 47, 117, 132, 166, 180, 90, 71, 0, 5, 33, 33, 21, 0, 0, 0, 26, 0, 44, 80, 37, 7, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7649319737730742, y=-0.63761623952823, z=0.043394768479426776, w=0.08025895998656288)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.005555555555555556, y=0.04, z=-0.05444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.07, z=0.09)>	COMP<168>
[1740779688.1498754]	Q_Header<(2621443, 50312, 257, 173, 250, 8, 58, 8, 53)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 195, 253, 237, 253, 237, 171, 253, 253, 253, 253, 144, 146, 106, 51, 193, 253, 221, 102, 117, 76, 162, 198, 104, 65, 50, 0, 0, 41, 88, 134, 93, 0, 0, 57, 124, 84, 51, 53, 55, 94, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7644533229084997, y=-0.6381735684096824, z=0.04272393820646305, w=0.08074824321021516)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.05444444444444444, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.07, z=0.04)>	COMP<168>
[1740779688.1598773]	Q_Header<(2621443, 50313, 257, 173, 250, 8, 58, 9, 58)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 130, 200, 253, 253, 246, 206, 253, 253, 214, 253, 246, 174, 84, 98, 153, 167, 68, 57, 188, 194, 180, 198, 72, 30, 34, 0, 0, 59, 170, 240, 180, 38, 0, 108, 200, 121, 191, 206, 159, 103, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7644533229084997, y=-0.6381735684096824, z=0.04272393820646305, w=0.08074824321021516)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.05444444444444444, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.07, z=0.04)>	COMP<168>
[1740779688.1717017]	Q_Header<(2621443, 50314, 257, 173, 250, 8, 58, 10, 65)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 42, 207, 253, 253, 253, 253, 174, 253, 253, 253, 253, 200, 162, 112, 153, 208, 176, 155, 253, 241, 153, 150, 70, 32, 24, 0, 0, 106, 221, 253, 206, 83, 0, 125, 219, 100, 253, 253, 253, 26, 14, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 179, 183, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.7644533229084997, y=-0.6381735684096824, z=0.04272393820646305, w=0.08074824321021516)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0077777777777777776, y=0.05444444444444444, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.07, z=0.04)>	COMP<168>
