[1740780025.5023825]	Q_Header<(2621443, 18518, 257, 173, 250, 8, 58, 0, 49)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 186, 245, 253, 253, 253, 232, 253, 253, 253, 202, 203, 167, 91, 157, 99, 0, 0, 0, 0, 0, 57, 0, 28, 84, 140, 203, 149, 42, 0, 48, 91, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 39, 64, 103, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2864457872418158, y=-0.9539444297469292, z=0.08880857030403622, w=-0.007202344533248297)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.024444444444444446, y=0.0011111111111111111, z=0.027777777777777776)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.14, z=-0.2)>	COMP<194>
[1740780025.5123897]	Q_Header<(2621443, 18519, 257, 173, 250, 8, 58, 1, 48)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 88, 159, 189, 253, 253, 253, 223, 253, 253, 253, 253, 243, 221, 100, 194, 130, 29, 0, 0, 0, 6, 31, 80, 23, 100, 91, 157, 122, 41, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 128, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2860689921763854, y=-0.9540922734587702, z=0.08843908036346969, w=-0.007141043756056558)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.0, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.14, z=-0.07)>	COMP<188>
[1740780025.522379]	Q_Header<(2621443, 18520, 257, 173, 250, 8, 58, 2, 46)>	Q_Data<(0, 0, 26, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 54, 109, 240, 253, 253, 253, 253, 253, 253, 253, 211, 215, 123, 150, 114, 13, 34, 0, 0, 32, 28, 58, 30, 82, 115, 106, 84, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 59, 0, 0, 0, 128, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2860689921763854, y=-0.9540922734587702, z=0.08843908036346969, w=-0.007141043756056558)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.0, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.14, z=-0.07)>	COMP<188>
[1740780025.5341911]	Q_Header<(2621443, 18521, 257, 173, 250, 8, 58, 3, 47)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 143, 219, 185, 253, 253, 253, 253, 253, 253, 174, 118, 181, 228, 182, 89, 84, 34, 0, 0, 14, 48, 50, 42, 30, 70, 62, 29, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 47, 0, 0, 0, 110, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2860689921763854, y=-0.9540922734587702, z=0.08843908036346969, w=-0.007141043756056558)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.023333333333333334, y=0.0, z=0.025555555555555557)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.14, z=-0.07)>	COMP<188>
[1740780025.5464528]	Q_Header<(2621443, 18522, 257, 173, 250, 8, 58, 4, 48)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 152, 215, 145, 253, 253, 253, 253, 253, 253, 149, 228, 253, 253, 210, 154, 106, 100, 39, 17, 0, 33, 46, 16, 26, 0, 20, 0, 82, 64, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 82, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2856376206461821, y=-0.954261580940824, z=0.08801056601961421, w=-0.007079906836529299)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.0033333333333333335, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.14, z=-0.13)>	COMP<195>
[1740780025.556332]	Q_Header<(2621443, 18523, 257, 173, 250, 8, 58, 5, 48)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 118, 177, 149, 253, 253, 241, 253, 253, 253, 230, 244, 253, 253, 253, 253, 122, 113, 87, 0, 0, 0, 31, 0, 0, 0, 28, 0, 76, 53, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 19, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2856376206461821, y=-0.954261580940824, z=0.08801056601961421, w=-0.007079906836529299)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.0033333333333333335, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.14, z=-0.13)>	COMP<195>
[1740780025.5623236]	Q_Header<(2621443, 18524, 257, 173, 250, 8, 58, 6, 50)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 98, 173, 226, 132, 253, 253, 253, 249, 250, 228, 239, 253, 253, 253, 253, 228, 195, 100, 7, 28, 0, 40, 0, 0, 0, 0, 14, 30, 11, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 5, 74, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.2856376206461821, y=-0.954261580940824, z=0.08801056601961421, w=-0.007079906836529299)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.021111111111111112, y=-0.0033333333333333335, z=0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.14, z=-0.13)>	COMP<195>
[1740780025.5765696]	Q_Header<(2621443, 18525, 257, 173, 250, 8, 58, 7, 38)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 82, 167, 253, 253, 253, 253, 253, 178, 227, 221, 253, 253, 253, 253, 253, 253, 253, 115, 74, 30, 6, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 63, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.285403003473176, y=-0.9543544401853251, z=0.08776935821095533, w=-0.007019107228275287)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.008888888888888889, z=0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.16, z=-0.21)>	COMP<195>
[1740780025.5863528]	Q_Header<(2621443, 18526, 257, 173, 250, 8, 58, 8, 37)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 55, 134, 215, 253, 253, 253, 253, 237, 209, 253, 253, 252, 253, 253, 253, 253, 253, 126, 98, 38, 62, 52, 86, 45, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.285403003473176, y=-0.9543544401853251, z=0.08776935821095533, w=-0.007019107228275287)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.008888888888888889, z=0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.16, z=-0.21)>	COMP<195>
[1740780025.5922115]	Q_Header<(2621443, 18527, 257, 173, 250, 8, 58, 9, 33)>	Q_Data<(0, 0, 66, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 43, 157, 200, 125, 253, 253, 253, 253, 211, 253, 253, 253, 253, 253, 253, 253, 253, 253, 175, 100, 77, 71, 139, 114, 37, 46, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.285403003473176, y=-0.9543544401853251, z=0.08776935821095533, w=-0.007019107228275287)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.008888888888888889, z=0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.16, z=-0.21)>	COMP<195>
[1740780025.606266]	Q_Header<(2621443, 18528, 257, 173, 250, 8, 58, 10, 43)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 193, 253, 253, 253, 253, 205, 253, 231, 224, 253, 253, 253, 253, 253, 253, 253, 253, 253, 151, 58, 115, 119, 131, 74, 72, 44, 0, 0, 0, 0, 83, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 100, 30, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.285403003473176, y=-0.9543544401853251, z=0.08776935821095533, w=-0.007019107228275287)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.014444444444444444, y=-0.008888888888888889, z=0.014444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.06, y=-0.16, z=-0.21)>	COMP<195>
