[1740780065.502714]	Q_Header<(2621443, 22518, 257, 173, 250, 8, 58, 0, 68)>	Q_Data<(0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 87, 225, 253, 253, 253, 231, 253, 253, 190, 253, 253, 253, 218, 253, 236, 142, 99, 145, 170, 158, 131, 68, 193, 253, 215, 149, 84, 71, 69, 0, 21, 0, 0, 65, 175, 188, 167, 150, 29, 89, 128, 0, 0, 31, 0, 0, 0, 0, 0, 0, 105, 217, 180, 96, 141, 40, 19, 105, 174, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4690529435362312, y=-0.8788410323979432, z=0.08294638259801408, w=-0.02734361987042701)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.028888888888888888, y=-0.027777777777777776, z=-0.06222222222222222)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.1, y=-0.18, z=-0.14)>	COMP<198>
[1740780065.51276]	Q_Header<(2621443, 22519, 257, 173, 250, 8, 58, 1, 67)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 89, 216, 253, 253, 253, 243, 253, 253, 253, 253, 253, 253, 223, 234, 253, 186, 93, 131, 87, 137, 5, 25, 115, 180, 228, 152, 117, 106, 98, 0, 0, 0, 0, 79, 185, 248, 235, 185, 75, 74, 78, 0, 22, 0, 0, 0, 79, 0, 7, 0, 9, 95, 46, 0, 107, 0, 0, 73, 148, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4702173775854307, y=-0.8782395958043565, z=0.0827030823764614, w=-0.02740493283175732)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.017777777777777778, z=-0.06555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.19, z=-0.12)>	COMP<201>
[1740780065.522658]	Q_Header<(2621443, 22520, 257, 173, 250, 8, 58, 2, 56)>	Q_Data<(0, 0, 15, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 79, 166, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 229, 231, 253, 171, 91, 100, 41, 86, 49, 34, 0, 121, 187, 128, 107, 66, 99, 0, 0, 0, 0, 120, 64, 232, 253, 204, 99, 51, 0, 0, 0, 0, 0, 82, 117, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 86, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4702173775854307, y=-0.8782395958043565, z=0.0827030823764614, w=-0.02740493283175732)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.017777777777777778, z=-0.06555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.19, z=-0.12)>	COMP<201>
[1740780065.5333886]	Q_Header<(2621443, 22521, 257, 173, 250, 8, 58, 3, 57)>	Q_Data<(0, 0, 60, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 97, 170, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 238, 214, 184, 70, 133, 59, 40, 53, 0, 64, 71, 102, 83, 118, 0, 121, 81, 84, 66, 0, 28, 156, 245, 253, 242, 206, 85, 50, 0, 0, 0, 0, 0, 89, 129, 71, 0, 0, 0, 0, 0, 0, 45, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4702173775854307, y=-0.8782395958043565, z=0.0827030823764614, w=-0.02740493283175732)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.02, y=-0.017777777777777778, z=-0.06555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.11, y=-0.19, z=-0.12)>	COMP<201>
[1740780065.5427272]	Q_Header<(2621443, 22522, 257, 173, 250, 8, 58, 4, 64)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 137, 239, 239, 253, 253, 253, 248, 215, 253, 193, 253, 177, 208, 155, 83, 147, 144, 32, 25, 55, 66, 101, 86, 90, 155, 101, 178, 253, 253, 169, 116, 0, 17, 164, 253, 253, 193, 191, 48, 50, 0, 0, 0, 0, 0, 64, 106, 78, 0, 0, 0, 0, 0, 0, 54, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4710827884699253, y=-0.8777716482231143, z=0.08276603539326494, w=-0.027344530867391362)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.0077777777777777776, z=-0.06666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.19, z=-0.06)>	COMP<197>
[1740780065.5526645]	Q_Header<(2621443, 22523, 257, 173, 250, 8, 58, 5, 61)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 154, 253, 211, 199, 253, 210, 242, 160, 220, 211, 147, 138, 158, 98, 86, 147, 115, 10, 72, 134, 134, 170, 174, 199, 248, 209, 253, 253, 253, 237, 126, 0, 0, 122, 253, 253, 198, 148, 0, 36, 0, 0, 0, 0, 0, 0, 44, 28, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4710827884699253, y=-0.8777716482231143, z=0.08276603539326494, w=-0.027344530867391362)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.0077777777777777776, z=-0.06666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.19, z=-0.06)>	COMP<197>
[1740780065.5626385]	Q_Header<(2621443, 22524, 257, 173, 250, 8, 58, 6, 52)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 138, 246, 253, 253, 253, 253, 253, 253, 253, 144, 39, 128, 124, 102, 49, 89, 61, 0, 99, 200, 177, 249, 247, 253, 253, 253, 253, 253, 253, 253, 113, 0, 0, 41, 162, 253, 168, 86, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 29, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4710827884699253, y=-0.8777716482231143, z=0.08276603539326494, w=-0.027344530867391362)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.0077777777777777776, z=-0.06666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.19, z=-0.06)>	COMP<197>
[1740780065.5746453]	Q_Header<(2621443, 22525, 257, 173, 250, 8, 58, 7, 51)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 239, 253, 253, 253, 253, 253, 253, 253, 134, 106, 90, 138, 186, 146, 45, 0, 0, 116, 228, 91, 253, 253, 253, 253, 253, 253, 253, 253, 216, 75, 0, 0, 0, 31, 156, 104, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4710827884699253, y=-0.8777716482231143, z=0.08276603539326494, w=-0.027344530867391362)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.0077777777777777776, z=-0.06666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.19, z=-0.06)>	COMP<197>
[1740780065.5826604]	Q_Header<(2621443, 22526, 257, 173, 250, 8, 58, 8, 53)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 253, 253, 253, 253, 253, 253, 253, 253, 177, 112, 63, 166, 233, 173, 84, 30, 0, 114, 187, 238, 253, 253, 237, 210, 253, 253, 253, 249, 138, 11, 0, 4, 0, 33, 78, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 88, 35, 17, 0, 52, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.47191930120299674, y=-0.8773109202653745, z=0.08294598167807457, w=-0.02716038399318851)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.0, z=-0.06666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.17, z=-0.05)>	COMP<198>
[1740780065.5926156]	Q_Header<(2621443, 22527, 257, 173, 250, 8, 58, 9, 54)>	Q_Data<(0, 0, 66, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 253, 253, 253, 253, 253, 176, 253, 253, 222, 109, 49, 156, 243, 215, 65, 34, 0, 90, 58, 253, 253, 253, 236, 116, 185, 203, 112, 127, 59, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 100, 95, 97, 0, 68, 36, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.47191930120299674, y=-0.8773109202653745, z=0.08294598167807457, w=-0.02716038399318851)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.0, z=-0.06666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.17, z=-0.05)>	COMP<198>
[1740780065.6026292]	Q_Header<(2621443, 22528, 257, 173, 250, 8, 58, 10, 54)>	Q_Data<(0, 0, 66, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 239, 253, 253, 253, 253, 161, 253, 253, 209, 105, 39, 111, 231, 233, 46, 31, 0, 58, 99, 253, 253, 253, 253, 119, 134, 40, 74, 85, 0, 0, 47, 78, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 91, 133, 129, 0, 69, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.47191930120299674, y=-0.8773109202653745, z=0.08294598167807457, w=-0.02716038399318851)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0044444444444444444, y=0.0, z=-0.06666666666666667)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.17, z=-0.05)>	COMP<198>
