[1740780123.0030708]	Q_Header<(2621443, 28268, 257, 173, 250, 8, 58, 0, 56)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 61, 132, 119, 253, 253, 253, 253, 253, 253, 102, 185, 253, 253, 253, 193, 253, 253, 253, 253, 253, 86, 71, 138, 223, 253, 253, 227, 169, 17, 23, 50, 72, 33, 0, 0, 0, 0, 49, 145, 165, 127, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.1900058252026721, y=-0.9776785442005786, z=0.08966224131793295, w=-0.0017700510539278799)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.006666666666666667, z=-0.028888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.16, y=-0.09, z=0.18)>	COMP<100>
[1740780123.013106]	Q_Header<(2621443, 28269, 257, 173, 250, 8, 58, 1, 53)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 88, 85, 252, 253, 253, 253, 253, 253, 191, 210, 253, 253, 122, 49, 158, 175, 173, 253, 214, 66, 93, 225, 253, 253, 253, 253, 253, 127, 19, 86, 49, 0, 0, 0, 0, 0, 75, 132, 164, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19049609835559797, y=-0.9775666489148532, z=0.08984628541475174, w=-0.0015259219669624957)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.01, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.1, z=0.15)>	COMP<100>
[1740780123.023415]	Q_Header<(2621443, 28270, 257, 173, 250, 8, 58, 2, 57)>	Q_Data<(0, 0, 27, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 51, 44, 176, 253, 253, 253, 253, 253, 241, 253, 253, 253, 204, 157, 111, 116, 86, 184, 138, 33, 107, 253, 253, 253, 253, 253, 253, 206, 98, 178, 91, 18, 0, 0, 0, 0, 134, 182, 100, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 32, 0, 0, 0, 66, 65, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19049609835559797, y=-0.9775666489148532, z=0.08984628541475174, w=-0.0015259219669624957)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.01, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.1, z=0.15)>	COMP<100>
[1740780123.0330923]	Q_Header<(2621443, 28271, 257, 173, 250, 8, 58, 3, 63)>	Q_Data<(0, 0, 63, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 24, 44, 83, 151, 234, 253, 253, 253, 253, 248, 253, 253, 253, 253, 210, 122, 135, 134, 123, 93, 0, 96, 253, 253, 253, 253, 253, 253, 237, 203, 235, 253, 143, 54, 0, 0, 10, 220, 253, 223, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 30, 0, 0, 0, 136, 75, 98, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19049609835559797, y=-0.9775666489148532, z=0.08984628541475174, w=-0.0015259219669624957)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.006666666666666667, y=0.01, z=-0.035555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.13, y=-0.1, z=0.15)>	COMP<100>
[1740780123.0431957]	Q_Header<(2621443, 28272, 257, 173, 250, 8, 58, 4, 64)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 21, 72, 151, 195, 253, 253, 253, 253, 253, 252, 253, 253, 253, 209, 142, 233, 233, 125, 42, 6, 82, 232, 253, 253, 253, 253, 253, 219, 253, 182, 253, 239, 106, 0, 0, 36, 226, 253, 205, 66, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 200, 243, 132, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19110187369530302, y=-0.9774210812381291, z=0.09014930292173827, w=-0.0010986374086603176)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.023333333333333334, z=-0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.1, z=0.18)>	COMP<101>
[1740780123.0531232]	Q_Header<(2621443, 28273, 257, 173, 250, 8, 58, 5, 69)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 136, 141, 232, 253, 253, 253, 253, 175, 253, 253, 253, 102, 134, 253, 253, 138, 149, 71, 62, 156, 232, 221, 173, 253, 253, 174, 253, 166, 253, 253, 121, 48, 0, 60, 208, 253, 161, 46, 101, 0, 0, 19, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 211, 253, 162, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19110187369530302, y=-0.9774210812381291, z=0.09014930292173827, w=-0.0010986374086603176)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.023333333333333334, z=-0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.1, z=0.18)>	COMP<101>
[1740780123.0631294]	Q_Header<(2621443, 28274, 257, 173, 250, 8, 58, 6, 72)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 33, 112, 83, 190, 253, 153, 253, 253, 253, 253, 253, 253, 224, 115, 253, 253, 159, 209, 112, 168, 91, 128, 121, 149, 253, 221, 145, 216, 235, 253, 253, 107, 10, 0, 98, 222, 253, 173, 146, 87, 48, 60, 45, 0, 18, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 159, 226, 101, 0, 0, 0, 0, 0, 97, 0, 0, 70, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19110187369530302, y=-0.9774210812381291, z=0.09014930292173827, w=-0.0010986374086603176)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.023333333333333334, z=-0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.1, z=0.18)>	COMP<101>
[1740780123.0731843]	Q_Header<(2621443, 28275, 257, 173, 250, 8, 58, 7, 74)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 66, 61, 155, 253, 253, 253, 253, 253, 148, 253, 253, 253, 135, 244, 236, 162, 214, 162, 253, 145, 106, 87, 84, 123, 179, 253, 221, 181, 253, 205, 69, 0, 0, 150, 253, 253, 253, 253, 205, 150, 104, 21, 0, 0, 13, 0, 18, 0, 0, 0, 0, 0, 49, 0, 0, 0, 44, 83, 0, 0, 0, 0, 0, 0, 47, 0, 0, 213, 253, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19110187369530302, y=-0.9774210812381291, z=0.09014930292173827, w=-0.0010986374086603176)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.012222222222222223, y=0.023333333333333334, z=-0.04777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.08, y=-0.1, z=0.18)>	COMP<101>
[1740780123.0832617]	Q_Header<(2621443, 28276, 257, 173, 250, 8, 58, 8, 79)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 57, 168, 253, 253, 253, 253, 253, 232, 253, 253, 193, 153, 186, 174, 126, 158, 178, 253, 196, 77, 62, 0, 97, 239, 253, 253, 151, 163, 130, 19, 0, 80, 234, 253, 253, 253, 253, 253, 253, 253, 244, 78, 0, 0, 0, 0, 8, 0, 0, 24, 0, 149, 109, 87, 67, 0, 0, 68, 0, 0, 0, 0, 0, 30, 0, 72, 253, 253, 235, 52, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19201691272640495, y=-0.9771744350762057, z=0.09088149492994818, w=-0.0004272467861045247)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03111111111111111, y=0.034444444444444444, z=-0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.12, z=0.11)>	COMP<98>
[1740780123.09314]	Q_Header<(2621443, 28277, 257, 173, 250, 8, 58, 9, 82)>	Q_Data<(0, 0, 66, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 0, 8, 0, 26, 36, 157, 253, 253, 253, 253, 253, 253, 241, 206, 222, 167, 198, 171, 98, 85, 145, 253, 175, 79, 59, 59, 163, 253, 253, 253, 220, 165, 81, 69, 104, 151, 253, 253, 253, 253, 253, 253, 253, 253, 253, 230, 71, 0, 81, 141, 0, 54, 0, 0, 133, 213, 162, 94, 0, 96, 86, 74, 0, 0, 0, 0, 0, 0, 0, 88, 253, 253, 253, 130, 51, 0, 81, 42, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19201691272640495, y=-0.9771744350762057, z=0.09088149492994818, w=-0.0004272467861045247)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03111111111111111, y=0.034444444444444444, z=-0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.12, z=0.11)>	COMP<98>
[1740780123.10318]	Q_Header<(2621443, 28278, 257, 173, 250, 8, 58, 10, 88)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 6, 13, 0, 19, 33, 114, 203, 231, 253, 172, 253, 253, 240, 253, 253, 166, 225, 237, 163, 175, 145, 179, 116, 152, 53, 75, 184, 253, 252, 253, 253, 191, 71, 124, 179, 198, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 169, 43, 179, 253, 80, 85, 0, 32, 233, 253, 163, 32, 159, 253, 175, 44, 64, 79, 0, 0, 0, 0, 0, 68, 253, 253, 253, 100, 64, 0, 136, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.19201691272640495, y=-0.9771744350762057, z=0.09088149492994818, w=-0.0004272467861045247)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03111111111111111, y=0.034444444444444444, z=-0.05333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.12, z=0.11)>	COMP<98>
