[1740779815.5409]	Q_Header<(2621443, 63054, 257, 173, 250, 8, 58, 0, 40)>	Q_Data<(0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 139, 165, 233, 253, 253, 253, 193, 253, 253, 131, 146, 253, 253, 253, 253, 248, 231, 65, 67, 0, 0, 0, 0, 0, 0, 80, 155, 106, 96, 80, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.5243626665002118, y=-0.8461459254676331, z=0.06933721209920156, w=0.0653698540125395)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04777777777777778, y=0.012222222222222223, z=0.09333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.05, z=0.0)>	COMP<160>
[1740779815.5508351]	Q_Header<(2621443, 63055, 257, 173, 250, 8, 58, 1, 46)>	Q_Data<(0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 161, 157, 253, 248, 253, 253, 253, 226, 62, 98, 96, 224, 203, 253, 253, 253, 253, 120, 80, 8, 22, 0, 0, 0, 0, 137, 244, 153, 184, 120, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.5258887693726927, y=-0.8452917324793896, z=0.06842169341536543, w=0.06512573316163685)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=0.022222222222222223, z=0.08444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.05, z=-0.09)>	COMP<160>
[1740779815.560839]	Q_Header<(2621443, 63056, 257, 173, 250, 8, 58, 2, 45)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 191, 183, 253, 161, 253, 253, 194, 253, 130, 68, 33, 164, 131, 167, 253, 253, 253, 168, 88, 24, 40, 24, 11, 0, 0, 179, 253, 199, 243, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.5258887693726927, y=-0.8452917324793896, z=0.06842169341536543, w=0.06512573316163685)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=0.022222222222222223, z=0.08444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.05, z=-0.09)>	COMP<160>
[1740779815.5708616]	Q_Header<(2621443, 63057, 257, 173, 250, 8, 58, 3, 49)>	Q_Data<(0, 0, 56, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 196, 138, 231, 253, 207, 222, 225, 253, 50, 99, 75, 56, 74, 140, 165, 253, 253, 219, 86, 0, 0, 0, 0, 0, 0, 177, 253, 231, 240, 120, 0, 0, 0, 0, 10, 0, 0, 0, 0, 83, 57, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.5258887693726927, y=-0.8452917324793896, z=0.06842169341536543, w=0.06512573316163685)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=0.022222222222222223, z=0.08444444444444445)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.05, z=-0.09)>	COMP<160>
[1740779815.5809271]	Q_Header<(2621443, 63058, 257, 173, 250, 8, 58, 4, 54)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 184, 133, 131, 253, 253, 209, 253, 253, 95, 157, 149, 72, 26, 80, 83, 242, 219, 249, 46, 100, 53, 0, 20, 0, 42, 199, 236, 213, 185, 90, 0, 0, 14, 0, 0, 0, 0, 41, 76, 147, 142, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.5269597960787519, y=-0.8446981211176658, z=0.06768570927163955, w=0.0649392197159824)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=0.027777777777777776, z=0.0811111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.06, z=0.0)>	COMP<162>
[1740779815.5907714]	Q_Header<(2621443, 63059, 257, 173, 250, 8, 58, 5, 50)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 194, 189, 190, 253, 253, 253, 253, 253, 173, 190, 233, 106, 67, 70, 101, 131, 129, 235, 116, 210, 124, 43, 54, 41, 0, 55, 89, 143, 102, 50, 0, 0, 0, 0, 0, 0, 0, 156, 213, 171, 177, 103, 119, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.5269597960787519, y=-0.8446981211176658, z=0.06768570927163955, w=0.0649392197159824)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=0.027777777777777776, z=0.0811111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.06, z=0.0)>	COMP<162>
[1740779815.6007843]	Q_Header<(2621443, 63060, 257, 173, 250, 8, 58, 6, 54)>	Q_Data<(0, 0, 61, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 189, 217, 232, 253, 253, 253, 253, 253, 239, 247, 253, 197, 136, 93, 68, 116, 189, 191, 166, 253, 194, 81, 68, 70, 52, 126, 132, 72, 50, 0, 0, 0, 57, 57, 48, 0, 64, 253, 253, 227, 208, 160, 131, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.5269597960787519, y=-0.8446981211176658, z=0.06768570927163955, w=0.0649392197159824)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.05, y=0.027777777777777776, z=0.0811111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.01, y=-0.06, z=0.0)>	COMP<162>
[1740779815.6134832]	Q_Header<(2621443, 63061, 257, 173, 250, 8, 58, 7, 60)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 161, 217, 241, 253, 253, 253, 253, 253, 242, 253, 253, 252, 190, 116, 21, 144, 192, 119, 122, 253, 220, 87, 51, 14, 70, 91, 54, 0, 0, 0, 0, 93, 174, 140, 85, 31, 91, 253, 253, 245, 253, 233, 149, 46, 0, 0, 0, 0, 0, 0, 0, 27, 77, 78, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.527962510741098, y=-0.844129655901663, z=0.06695663286508491, w=0.06494244062757552)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.043333333333333335, y=0.035555555555555556, z=0.07555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.1, z=-0.03)>	COMP<160>
[1740779815.6207945]	Q_Header<(2621443, 63062, 257, 173, 250, 8, 58, 8, 58)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 152, 203, 196, 253, 253, 253, 253, 253, 187, 175, 253, 253, 161, 106, 120, 87, 136, 82, 132, 210, 185, 79, 116, 165, 88, 57, 0, 0, 0, 0, 0, 150, 226, 217, 167, 62, 87, 238, 253, 198, 253, 213, 126, 0, 0, 0, 0, 0, 0, 0, 0, 87, 208, 235, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.527962510741098, y=-0.844129655901663, z=0.06695663286508491, w=0.06494244062757552)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.043333333333333335, y=0.035555555555555556, z=0.07555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.1, z=-0.03)>	COMP<160>
[1740779815.6306324]	Q_Header<(2621443, 63063, 257, 173, 250, 8, 58, 9, 77)>	Q_Data<(0, 0, 66, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 129, 77, 159, 224, 253, 253, 253, 253, 84, 134, 253, 251, 165, 186, 173, 111, 72, 118, 163, 180, 117, 138, 253, 253, 167, 46, 0, 21, 39, 0, 63, 168, 219, 238, 201, 107, 84, 135, 199, 129, 166, 124, 31, 0, 0, 17, 0, 0, 0, 0, 0, 138, 253, 253, 157, 48, 104, 0, 0, 0, 0, 0, 0, 0, 95, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 116, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.527962510741098, y=-0.844129655901663, z=0.06695663286508491, w=0.06494244062757552)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.043333333333333335, y=0.035555555555555556, z=0.07555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.1, z=-0.03)>	COMP<160>
[1740779815.640942]	Q_Header<(2621443, 63064, 257, 173, 250, 8, 58, 10, 86)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 121, 247, 238, 123, 237, 253, 199, 171, 230, 235, 241, 178, 253, 253, 195, 146, 91, 82, 123, 143, 95, 193, 253, 253, 253, 95, 24, 64, 105, 58, 102, 181, 182, 182, 189, 253, 244, 0, 119, 31, 64, 64, 0, 0, 24, 18, 0, 0, 0, 0, 0, 128, 253, 253, 172, 59, 106, 0, 0, 28, 0, 0, 0, 95, 141, 184, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 207, 253, 25, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.527962510741098, y=-0.844129655901663, z=0.06695663286508491, w=0.06494244062757552)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.043333333333333335, y=0.035555555555555556, z=0.07555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.1, z=-0.03)>	COMP<160>
