[1740780467.965417]	Q_Header<(2621443, 62768, 257, 173, 250, 8, 58, 0, 18)>	Q_Data<(0, 0, 76, 0, 53, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7493657177871293, y=-0.6561680104194028, z=0.07299571579030842, w=-0.05065756196150166)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.015555555555555555, z=0.07111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.15, z=-0.09)>	COMP<144>
[1740780467.97572]	Q_Header<(2621443, 62769, 257, 173, 250, 8, 58, 1, 19)>	Q_Data<(0, 0, 76, 53, 0, 85, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 52, 58, 46, 8, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7484747414875739, y=-0.6572881424675595, z=0.07226568489939553, w=-0.05035404564358219)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=-0.012222222222222223, z=0.07555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.14, z=-0.1)>	COMP<147>
[1740780467.985403]	Q_Header<(2621443, 62770, 257, 173, 250, 8, 58, 2, 19)>	Q_Data<(0, 0, 48, 65, 77, 3, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 82, 74, 28, 19, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7484747414875739, y=-0.6572881424675595, z=0.07226568489939553, w=-0.05035404564358219)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=-0.012222222222222223, z=0.07555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.14, z=-0.1)>	COMP<147>
[1740780467.9954004]	Q_Header<(2621443, 62771, 257, 173, 250, 8, 58, 3, 15)>	Q_Data<(0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 70, 91, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7484747414875739, y=-0.6572881424675595, z=0.07226568489939553, w=-0.05035404564358219)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=-0.012222222222222223, z=0.07555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.14, z=-0.1)>	COMP<147>
[1740780468.0055013]	Q_Header<(2621443, 62772, 257, 173, 250, 8, 58, 4, 22)>	Q_Data<(0, 0, 14, 79, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 0, 0, 0, 0, 63, 75, 50, 73, 38, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7484747414875739, y=-0.6572881424675595, z=0.07226568489939553, w=-0.05035404564358219)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=-0.012222222222222223, z=0.07555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.03, y=-0.14, z=-0.1)>	COMP<147>
[1740780468.0159633]	Q_Header<(2621443, 62773, 257, 173, 250, 8, 58, 5, 21)>	Q_Data<(0, 0, 63, 70, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 15, 0, 14, 0, 28, 109, 123, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7477283720876474, y=-0.6581913937305681, z=0.07189813258666629, w=-0.05017000423280109)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.008888888888888889, z=0.07777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.17, z=-0.18)>	COMP<147>
[1740780468.025439]	Q_Header<(2621443, 62774, 257, 173, 250, 8, 58, 6, 22)>	Q_Data<(0, 0, 62, 61, 81, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 38, 23, 12, 24, 7, 66, 143, 145, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7477283720876474, y=-0.6581913937305681, z=0.07189813258666629, w=-0.05017000423280109)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.008888888888888889, z=0.07777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.17, z=-0.18)>	COMP<147>
[1740780468.0354338]	Q_Header<(2621443, 62775, 257, 173, 250, 8, 58, 7, 22)>	Q_Data<(0, 0, 62, 57, 81, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 41, 28, 12, 29, 11, 90, 145, 130, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7477283720876474, y=-0.6581913937305681, z=0.07189813258666629, w=-0.05017000423280109)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.025555555555555557, y=-0.008888888888888889, z=0.07777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.02, y=-0.17, z=-0.18)>	COMP<147>
[1740780468.0455549]	Q_Header<(2621443, 62776, 257, 173, 250, 8, 58, 8, 27)>	Q_Data<(0, 0, 62, 59, 0, 85, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 43, 30, 0, 3, 33, 90, 114, 83, 9, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7469942811437911, y=-0.6590443866157902, z=0.07171486888993828, w=-0.05016989125747171)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.0033333333333333335, z=0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.16, z=-0.11)>	COMP<147>
[1740780468.0554416]	Q_Header<(2621443, 62777, 257, 173, 250, 8, 58, 9, 23)>	Q_Data<(0, 0, 62, 54, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 47, 37, 0, 11, 43, 68, 67, 37, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7469942811437911, y=-0.6590443866157902, z=0.07171486888993828, w=-0.05016989125747171)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.0033333333333333335, z=0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.16, z=-0.11)>	COMP<147>
[1740780468.0654173]	Q_Header<(2621443, 62778, 257, 173, 250, 8, 58, 10, 23)>	Q_Data<(0, 0, 62, 21, 57, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 48, 43, 0, 0, 35, 35, 45, 20, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7469942811437911, y=-0.6590443866157902, z=0.07171486888993828, w=-0.05016989125747171)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.008888888888888889, y=-0.0033333333333333335, z=0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.16, z=-0.11)>	COMP<147>
[1740780468.0757709]	Q_Header<(2621443, 62779, 257, 173, 250, 8, 58, 11, 23)>	Q_Data<(0, 0, 57, 0, 55, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 49, 35, 0, 0, 0, 21, 46, 31, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7459658133698994, y=-0.660212093210784, z=0.07159367526451416, w=-0.050292573246342426)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.0011111111111111111, z=0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.16, z=-0.07)>	COMP<148>
[1740780468.0855048]	Q_Header<(2621443, 62780, 257, 173, 250, 8, 58, 12, 25)>	Q_Data<(0, 0, 56, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 51, 33, 0, 0, 0, 22, 30, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7459658133698994, y=-0.660212093210784, z=0.07159367526451416, w=-0.050292573246342426)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.0011111111111111111, z=0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.16, z=-0.07)>	COMP<148>
[1740780468.0955703]	Q_Header<(2621443, 62781, 257, 173, 250, 8, 58, 13, 28)>	Q_Data<(0, 0, 0, 0, 61, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 53, 34, 11, 0, 0, 2, 0, 11, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7459658133698994, y=-0.660212093210784, z=0.07159367526451416, w=-0.050292573246342426)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.0011111111111111111, z=0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.16, z=-0.07)>	COMP<148>
[1740780468.1055]	Q_Header<(2621443, 62782, 257, 173, 250, 8, 58, 14, 23)>	Q_Data<(0, 0, 0, 80, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 55, 35, 15, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.7459658133698994, y=-0.660212093210784, z=0.07159367526451416, w=-0.050292573246342426)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.0011111111111111111, y=0.0011111111111111111, z=0.07888888888888888)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.16, z=-0.07)>	COMP<148>
