[1740780103.0029469]	Q_Header<(2621443, 26268, 257, 173, 250, 8, 58, 0, 54)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 224, 232, 253, 253, 253, 222, 253, 253, 249, 81, 53, 91, 169, 137, 127, 28, 0, 131, 162, 148, 253, 229, 253, 253, 253, 253, 253, 230, 81, 53, 0, 0, 83, 96, 40, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 47, 0, 58, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4250545658007804, y=-0.9007079591502177, z=0.08728145162192935, w=-0.02087430521307681)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.052222222222222225, y=0.0033333333333333335, z=-0.06444444444444444)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.14, z=-0.18)>	COMP<147>
[1740780103.0129085]	Q_Header<(2621443, 26269, 257, 173, 250, 8, 58, 1, 48)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 170, 227, 253, 252, 253, 253, 253, 253, 253, 116, 35, 115, 227, 170, 139, 48, 0, 123, 139, 149, 253, 253, 253, 253, 253, 253, 253, 139, 0, 0, 0, 0, 0, 22, 15, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 84, 0, 57, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4261998066016921, y=-0.9002502001109778, z=0.08654608703439773, w=-0.020324292653352925)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04777777777777778, y=-0.008888888888888889, z=-0.06111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.16, z=-0.29)>	COMP<145>
[1740780103.022939]	Q_Header<(2621443, 26270, 257, 173, 250, 8, 58, 2, 54)>	Q_Data<(0, 0, 12, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 253, 253, 253, 249, 219, 253, 253, 253, 253, 109, 56, 119, 225, 153, 123, 46, 0, 107, 136, 228, 128, 253, 253, 253, 253, 253, 175, 63, 0, 0, 0, 0, 0, 0, 19, 37, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 88, 0, 0, 37, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4261998066016921, y=-0.9002502001109778, z=0.08654608703439773, w=-0.020324292653352925)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04777777777777778, y=-0.008888888888888889, z=-0.06111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.16, z=-0.29)>	COMP<145>
[1740780103.032917]	Q_Header<(2621443, 26271, 257, 173, 250, 8, 58, 3, 59)>	Q_Data<(0, 0, 61, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 168, 253, 253, 253, 253, 175, 253, 253, 253, 213, 77, 54, 93, 175, 98, 99, 27, 22, 98, 166, 253, 249, 253, 253, 253, 101, 142, 57, 7, 0, 0, 14, 52, 61, 0, 0, 35, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 82, 0, 0, 34, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4261998066016921, y=-0.9002502001109778, z=0.08654608703439773, w=-0.020324292653352925)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04777777777777778, y=-0.008888888888888889, z=-0.06111111111111111)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.16, z=-0.29)>	COMP<145>
[1740780103.0430427]	Q_Header<(2621443, 26272, 257, 173, 250, 8, 58, 4, 58)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 235, 253, 253, 253, 246, 253, 253, 253, 122, 36, 18, 55, 106, 79, 68, 17, 0, 82, 151, 253, 253, 253, 253, 251, 85, 0, 38, 0, 0, 26, 94, 94, 81, 0, 0, 25, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42701246489994, y=-0.8999244972105082, z=0.08593961557734642, w=-0.020264170718522025)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.042222222222222223, y=-0.021111111111111112, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.16, z=-0.33)>	COMP<145>
[1740780103.053865]	Q_Header<(2621443, 26273, 257, 173, 250, 8, 58, 5, 52)>	Q_Data<(0, 0, 64, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 115, 253, 253, 253, 253, 253, 253, 223, 55, 0, 0, 0, 22, 52, 44, 15, 31, 50, 102, 196, 238, 253, 253, 253, 140, 37, 33, 0, 0, 52, 141, 131, 75, 31, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42701246489994, y=-0.8999244972105082, z=0.08593961557734642, w=-0.020264170718522025)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.042222222222222223, y=-0.021111111111111112, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.16, z=-0.33)>	COMP<145>
[1740780103.0629108]	Q_Header<(2621443, 26274, 257, 173, 250, 8, 58, 6, 52)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 223, 253, 253, 253, 253, 253, 253, 178, 82, 60, 22, 0, 56, 74, 80, 6, 41, 34, 33, 120, 150, 211, 253, 253, 129, 63, 23, 11, 0, 59, 150, 142, 40, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 72, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42701246489994, y=-0.8999244972105082, z=0.08593961557734642, w=-0.020264170718522025)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.042222222222222223, y=-0.021111111111111112, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.16, z=-0.33)>	COMP<145>
[1740780103.0734665]	Q_Header<(2621443, 26275, 257, 173, 250, 8, 58, 7, 58)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 221, 253, 253, 253, 150, 253, 253, 223, 102, 90, 43, 4, 41, 67, 56, 6, 36, 33, 0, 59, 107, 139, 241, 253, 72, 91, 77, 0, 0, 39, 125, 120, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 48, 61, 38, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42785002367642117, y=-0.8995836660437619, z=0.08532586777455589, w=-0.020324401980634555)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03333333333333333, y=-0.03222222222222222, z=-0.05555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.17, z=-0.3)>	COMP<144>
[1740780103.0829175]	Q_Header<(2621443, 26276, 257, 173, 250, 8, 58, 8, 55)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 166, 253, 253, 129, 253, 253, 253, 253, 152, 88, 78, 70, 34, 100, 116, 46, 0, 36, 12, 35, 88, 124, 122, 173, 31, 87, 132, 85, 0, 0, 72, 80, 0, 68, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 58, 0, 0, 52, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42785002367642117, y=-0.8995836660437619, z=0.08532586777455589, w=-0.020324401980634555)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03333333333333333, y=-0.03222222222222222, z=-0.05555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.17, z=-0.3)>	COMP<144>
[1740780103.0928948]	Q_Header<(2621443, 26277, 257, 173, 250, 8, 58, 9, 55)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 89, 239, 253, 227, 253, 253, 253, 253, 199, 67, 97, 133, 79, 156, 208, 99, 65, 21, 0, 0, 48, 96, 66, 123, 102, 169, 170, 134, 25, 0, 0, 50, 28, 127, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 77, 11, 0, 70, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42785002367642117, y=-0.8995836660437619, z=0.08532586777455589, w=-0.020324401980634555)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03333333333333333, y=-0.03222222222222222, z=-0.05555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.17, z=-0.3)>	COMP<144>
[1740780103.1029387]	Q_Header<(2621443, 26278, 257, 173, 250, 8, 58, 10, 58)>	Q_Data<(0, 0, 66, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 103, 208, 253, 239, 253, 253, 253, 253, 253, 143, 49, 181, 165, 191, 253, 104, 98, 0, 0, 0, 0, 54, 27, 147, 170, 203, 174, 145, 43, 0, 0, 22, 58, 139, 122, 11, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 84, 0, 0, 77, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.42785002367642117, y=-0.8995836660437619, z=0.08532586777455589, w=-0.020324401980634555)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.03333333333333333, y=-0.03222222222222222, z=-0.05555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.17, z=-0.3)>	COMP<144>
