[1740779760.5309713]	Q_Header<(2621443, 57554, 257, 173, 250, 8, 58, 0, 88)>	Q_Data<(0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 221, 159, 69, 107, 38, 73, 218, 229, 150, 253, 253, 253, 253, 253, 253, 239, 140, 212, 253, 245, 253, 187, 48, 139, 227, 253, 253, 183, 97, 102, 126, 253, 253, 121, 220, 253, 253, 106, 253, 253, 213, 75, 0, 114, 118, 50, 0, 84, 240, 253, 253, 253, 228, 172, 124, 243, 237, 0, 0, 34, 0, 112, 126, 123, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 48, 253, 253, 123, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8073088493809382, y=-0.5829444938714251, z=0.0338743790282317, w=0.08532681420084309)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.024444444444444446, y=-0.05555555555555555, z=-0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.1, z=0.06)>	COMP<147>
[1740779760.540621]	Q_Header<(2621443, 57555, 257, 173, 250, 8, 58, 1, 82)>	Q_Data<(0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 189, 138, 129, 177, 114, 152, 192, 194, 134, 253, 253, 253, 253, 253, 253, 182, 170, 253, 253, 213, 182, 127, 84, 227, 253, 253, 253, 253, 128, 117, 136, 170, 186, 57, 253, 253, 253, 52, 210, 249, 200, 38, 29, 100, 112, 0, 49, 51, 219, 253, 253, 253, 238, 195, 197, 253, 253, 44, 0, 5, 0, 0, 0, 0, 14, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 212, 171, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8070648855941404, y=-0.5832497955636092, z=0.034728875436970875, w=0.08520476293499357)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=-0.051111111111111114, z=-0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.09, z=0.1)>	COMP<146>
[1740779760.5504916]	Q_Header<(2621443, 57556, 257, 173, 250, 8, 58, 2, 75)>	Q_Data<(0, 0, 5, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 180, 179, 199, 227, 144, 208, 160, 117, 105, 217, 253, 251, 205, 253, 253, 104, 168, 253, 253, 185, 72, 190, 131, 253, 253, 253, 253, 253, 253, 238, 165, 154, 0, 174, 253, 253, 168, 48, 145, 144, 172, 121, 0, 0, 99, 0, 77, 0, 143, 239, 253, 253, 196, 146, 219, 253, 253, 81, 95, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 71, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8070648855941404, y=-0.5832497955636092, z=0.034728875436970875, w=0.08520476293499357)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=-0.051111111111111114, z=-0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.09, z=0.1)>	COMP<146>
[1740779760.5603285]	Q_Header<(2621443, 57557, 257, 173, 250, 8, 58, 3, 76)>	Q_Data<(0, 0, 59, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 143, 135, 211, 240, 170, 213, 182, 73, 67, 114, 171, 135, 136, 253, 253, 117, 147, 222, 253, 205, 185, 221, 150, 253, 253, 253, 253, 253, 253, 253, 253, 253, 174, 253, 253, 253, 120, 56, 242, 253, 151, 140, 100, 209, 238, 128, 76, 94, 104, 159, 144, 181, 116, 0, 203, 253, 253, 0, 116, 103, 13, 46, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8070648855941404, y=-0.5832497955636092, z=0.034728875436970875, w=0.08520476293499357)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=-0.051111111111111114, z=-0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.09, z=0.1)>	COMP<146>
[1740779760.5704715]	Q_Header<(2621443, 57558, 257, 173, 250, 8, 58, 4, 72)>	Q_Data<(0, 0, 62, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 104, 194, 141, 202, 253, 204, 160, 111, 0, 43, 148, 162, 164, 243, 222, 112, 130, 127, 164, 232, 253, 196, 135, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 133, 43, 251, 253, 113, 68, 94, 253, 253, 198, 86, 132, 105, 123, 74, 68, 0, 28, 149, 253, 228, 119, 0, 132, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8070648855941404, y=-0.5832497955636092, z=0.034728875436970875, w=0.08520476293499357)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02666666666666667, y=-0.051111111111111114, z=-0.021111111111111112)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.04, y=-0.09, z=0.1)>	COMP<146>
[1740779760.5805807]	Q_Header<(2621443, 57559, 257, 173, 250, 8, 58, 5, 80)>	Q_Data<(0, 0, 61, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 147, 253, 251, 203, 253, 233, 128, 76, 75, 83, 133, 184, 163, 166, 179, 173, 179, 70, 66, 208, 251, 145, 159, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 253, 214, 127, 87, 218, 237, 0, 110, 133, 253, 253, 247, 218, 130, 85, 110, 48, 3, 0, 44, 84, 185, 151, 242, 224, 120, 117, 0, 16, 0, 0, 0, 0, 34, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 154, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8067582578387419, y=-0.5836149539608148, z=0.03570537001328976, w=0.0852046094676111)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=-0.04111111111111111, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.08, z=0.08)>	COMP<146>
[1740779760.5904808]	Q_Header<(2621443, 57560, 257, 173, 250, 8, 58, 6, 80)>	Q_Data<(0, 0, 61, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 127, 253, 253, 236, 253, 253, 132, 119, 136, 103, 156, 185, 171, 146, 194, 253, 253, 129, 50, 143, 182, 79, 181, 253, 253, 205, 253, 253, 253, 253, 253, 120, 253, 253, 253, 253, 134, 84, 148, 166, 69, 196, 208, 253, 253, 253, 253, 182, 0, 87, 0, 0, 0, 0, 0, 123, 253, 253, 253, 253, 115, 120, 104, 105, 0, 0, 0, 143, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 253, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8067582578387419, y=-0.5836149539608148, z=0.03570537001328976, w=0.0852046094676111)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=-0.04111111111111111, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.08, z=0.08)>	COMP<146>
[1740779760.6005213]	Q_Header<(2621443, 57561, 257, 173, 250, 8, 58, 7, 89)>	Q_Data<(0, 0, 62, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 84, 216, 253, 229, 253, 253, 174, 187, 137, 97, 161, 151, 215, 119, 200, 253, 253, 238, 78, 64, 74, 45, 171, 253, 253, 160, 253, 253, 253, 227, 253, 253, 219, 251, 41, 253, 188, 63, 67, 78, 101, 213, 170, 247, 253, 253, 253, 189, 108, 20, 0, 0, 0, 0, 0, 135, 253, 253, 253, 253, 212, 232, 252, 195, 0, 0, 58, 208, 216, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 143, 248, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8067582578387419, y=-0.5836149539608148, z=0.03570537001328976, w=0.0852046094676111)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.028888888888888888, y=-0.04111111111111111, z=-0.022222222222222223)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.0, y=-0.08, z=0.08)>	COMP<146>
[1740779760.6105857]	Q_Header<(2621443, 57562, 257, 173, 250, 8, 58, 8, 86)>	Q_Data<(0, 0, 64, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47, 147, 203, 195, 253, 253, 212, 165, 80, 135, 161, 149, 253, 208, 146, 253, 253, 253, 114, 58, 58, 43, 149, 239, 180, 201, 253, 253, 253, 142, 253, 253, 144, 138, 164, 253, 187, 0, 38, 27, 97, 176, 97, 87, 207, 253, 253, 159, 86, 40, 0, 0, 0, 0, 0, 129, 253, 253, 253, 253, 253, 253, 253, 253, 0, 0, 73, 209, 232, 110, 0, 0, 0, 0, 0, 0, 0, 46, 0, 72, 0, 0, 0, 0, 0, 0, 0, 114, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8064596691081757, y=-0.5839859315845777, z=0.03637705008616308, w=0.08520530523537526)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03, y=-0.03333333333333333, z=-0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.09, z=0.09)>	COMP<148>
[1740779760.62055]	Q_Header<(2621443, 57563, 257, 173, 250, 8, 58, 9, 85)>	Q_Data<(0, 0, 65, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 63, 101, 142, 136, 199, 205, 100, 187, 191, 187, 114, 253, 253, 166, 226, 253, 253, 162, 91, 55, 62, 135, 228, 225, 253, 253, 249, 253, 170, 253, 253, 139, 129, 130, 222, 132, 0, 60, 46, 64, 102, 26, 28, 236, 253, 253, 127, 0, 36, 0, 0, 0, 0, 0, 96, 253, 253, 253, 253, 253, 253, 253, 252, 65, 0, 28, 154, 168, 64, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8064596691081757, y=-0.5839859315845777, z=0.03637705008616308, w=0.08520530523537526)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03, y=-0.03333333333333333, z=-0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.09, z=0.09)>	COMP<148>
[1740779760.6304748]	Q_Header<(2621443, 57564, 257, 173, 250, 8, 58, 10, 81)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 17, 42, 41, 75, 103, 136, 160, 120, 206, 206, 183, 62, 253, 253, 198, 203, 253, 253, 200, 100, 162, 114, 121, 253, 253, 251, 253, 253, 253, 142, 228, 173, 109, 66, 78, 108, 66, 71, 89, 66, 59, 23, 32, 0, 201, 253, 236, 87, 0, 0, 0, 0, 0, 0, 0, 0, 160, 232, 253, 253, 239, 195, 253, 184, 43, 0, 0, 49, 88, 0, 0, 0, 105, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.8064596691081757, y=-0.5839859315845777, z=0.03637705008616308, w=0.08520530523537526)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.03, y=-0.03333333333333333, z=-0.023333333333333334)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.03, y=-0.09, z=0.09)>	COMP<148>
