[1740779875.5312567]	Q_Header<(2621443, 3518, 257, 173, 250, 8, 58, 0, 39)>	Q_Data<(0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 166, 253, 253, 253, 150, 253, 130, 224, 247, 201, 253, 253, 253, 253, 206, 126, 68, 60, 37, 22, 15, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.22546129750121852, y=-0.9700206825086264, z=0.0809927292323002, w=0.040832054149516836)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.034444444444444444, y=-0.03111111111111111, z=-0.01888888888888889)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.05, y=-0.11, z=-0.08)>	COMP<159>
[1740779875.5420368]	Q_Header<(2621443, 3519, 257, 173, 250, 8, 58, 1, 37)>	Q_Data<(0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 225, 253, 202, 253, 189, 204, 220, 253, 253, 253, 253, 253, 253, 253, 253, 90, 33, 87, 64, 0, 25, 0, 12, 0, 0, 15, 17, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.22515662048332605, y=-0.9701448854926722, z=0.08068773442096965, w=0.040160763425868405)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=-0.044444444444444446, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.13, z=-0.09)>	COMP<159>
[1740779875.5511627]	Q_Header<(2621443, 3520, 257, 173, 250, 8, 58, 2, 38)>	Q_Data<(0, 0, 17, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 250, 226, 253, 253, 179, 220, 241, 253, 253, 253, 217, 253, 253, 253, 253, 142, 20, 68, 61, 30, 19, 0, 15, 0, 0, 20, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.22515662048332605, y=-0.9701448854926722, z=0.08068773442096965, w=0.040160763425868405)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=-0.044444444444444446, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.13, z=-0.09)>	COMP<159>
[1740779875.5611498]	Q_Header<(2621443, 3521, 257, 173, 250, 8, 58, 3, 30)>	Q_Data<(0, 0, 62, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 243, 211, 253, 253, 253, 253, 239, 253, 253, 253, 253, 253, 253, 253, 253, 253, 91, 108, 75, 54, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.22515662048332605, y=-0.9701448854926722, z=0.08068773442096965, w=0.040160763425868405)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=-0.044444444444444446, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.13, z=-0.09)>	COMP<159>
[1740779875.571145]	Q_Header<(2621443, 3522, 257, 173, 250, 8, 58, 4, 41)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 252, 199, 253, 253, 253, 253, 253, 212, 253, 253, 250, 253, 253, 253, 253, 253, 180, 253, 212, 91, 22, 0, 23, 0, 0, 0, 0, 8, 0, 10, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.22515662048332605, y=-0.9701448854926722, z=0.08068773442096965, w=0.040160763425868405)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.035555555555555556, y=-0.044444444444444446, z=-0.015555555555555555)>	LIN_ACC<geometry_msgs.msg.Vector3(x=-0.02, y=-0.13, z=-0.09)>	COMP<159>
[1740779875.5812845]	Q_Header<(2621443, 3523, 257, 173, 250, 8, 58, 5, 42)>	Q_Data<(0, 0, 63, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 234, 239, 134, 179, 253, 253, 253, 195, 253, 253, 141, 199, 253, 253, 253, 253, 253, 253, 253, 176, 55, 54, 58, 0, 0, 0, 0, 31, 0, 47, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.22485287776133583, y=-0.9702731264310412, z=0.0803830727501844, w=0.03936756410316548)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04, y=-0.056666666666666664, z=-0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.16, z=-0.1)>	COMP<161>
[1740779875.5912042]	Q_Header<(2621443, 3524, 257, 173, 250, 8, 58, 6, 44)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 245, 253, 123, 253, 202, 253, 253, 253, 253, 253, 209, 70, 121, 90, 253, 253, 253, 253, 253, 217, 122, 91, 66, 24, 34, 0, 23, 33, 0, 45, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.22485287776133583, y=-0.9702731264310412, z=0.0803830727501844, w=0.03936756410316548)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04, y=-0.056666666666666664, z=-0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.16, z=-0.1)>	COMP<161>
[1740779875.6012428]	Q_Header<(2621443, 3525, 257, 173, 250, 8, 58, 7, 45)>	Q_Data<(0, 0, 63, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 240, 253, 165, 253, 253, 253, 253, 253, 253, 229, 200, 35, 100, 143, 182, 127, 253, 253, 253, 247, 141, 102, 59, 30, 39, 17, 37, 58, 56, 53, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.22485287776133583, y=-0.9702731264310412, z=0.0803830727501844, w=0.03936756410316548)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04, y=-0.056666666666666664, z=-0.02)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.16, z=-0.1)>	COMP<161>
[1740779875.6113033]	Q_Header<(2621443, 3526, 257, 173, 250, 8, 58, 8, 51)>	Q_Data<(0, 0, 65, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 216, 253, 149, 253, 253, 253, 253, 253, 253, 253, 127, 40, 94, 141, 34, 128, 253, 253, 253, 193, 128, 77, 43, 11, 11, 55, 53, 110, 103, 39, 0, 0, 0, 0, 0, 13, 0, 0, 0, 47, 73, 138, 172, 143, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2243091018344553, y=-0.9704801956919291, z=0.08001883877686283, w=0.03808676994413608)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.06333333333333334, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.15, z=-0.06)>	COMP<158>
[1740779875.621263]	Q_Header<(2621443, 3527, 257, 173, 250, 8, 58, 9, 54)>	Q_Data<(0, 0, 66, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 183, 253, 181, 246, 140, 253, 253, 253, 253, 253, 74, 114, 99, 81, 83, 102, 253, 253, 253, 194, 63, 54, 0, 0, 26, 69, 0, 33, 13, 20, 0, 0, 0, 0, 45, 106, 16, 0, 0, 103, 110, 253, 253, 227, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2243091018344553, y=-0.9704801956919291, z=0.08001883877686283, w=0.03808676994413608)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.06333333333333334, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.15, z=-0.06)>	COMP<158>
[1740779875.6312482]	Q_Header<(2621443, 3528, 257, 173, 250, 8, 58, 10, 56)>	Q_Data<(0, 0, 66, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 123, 198, 159, 167, 253, 253, 175, 151, 202, 253, 82, 220, 186, 95, 68, 77, 212, 253, 135, 154, 125, 113, 42, 0, 33, 90, 56, 81, 34, 0, 0, 0, 0, 35, 142, 180, 88, 0, 32, 91, 186, 253, 253, 253, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=-0.2243091018344553, y=-0.9704801956919291, z=0.08001883877686283, w=0.03808676994413608)>	ANG_VEL<geometry_msgs.msg.Vector3(x=-0.04111111111111111, y=-0.06333333333333334, z=-0.024444444444444446)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.01, y=-0.15, z=-0.06)>	COMP<158>
