[1740780430.4651735]	Q_Header<(2621443, 59018, 257, 173, 250, 8, 58, 0, 25)>	Q_Data<(0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 56, 32, 17, 22, 27, 39, 91, 84, 0, 19, 21, 7, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.45984626167397125, y=-0.8834980936727812, z=0.08551162896273343, w=-0.02569621398523253)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.015555555555555555, y=-0.04111111111111111, z=-0.052222222222222225)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.07, y=-0.03, z=0.09)>	COMP<187>
[1740780430.4753203]	Q_Header<(2621443, 59019, 257, 173, 250, 8, 58, 1, 26)>	Q_Data<(0, 0, 0, 80, 77, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 103, 91, 46, 0, 24, 26, 33, 86, 83, 0, 19, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4605634610990663, y=-0.8831026661333675, z=0.08556983467544275, w=-0.026244671120142928)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02, y=-0.03666666666666667, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.03, z=0.2)>	COMP<186>
[1740780430.4851785]	Q_Header<(2621443, 59020, 257, 173, 250, 8, 58, 2, 23)>	Q_Data<(0, 0, 0, 66, 65, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 94, 125, 100, 0, 35, 21, 7, 58, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4605634610990663, y=-0.8831026661333675, z=0.08556983467544275, w=-0.026244671120142928)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02, y=-0.03666666666666667, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.03, z=0.2)>	COMP<186>
[1740780430.4952073]	Q_Header<(2621443, 59021, 257, 173, 250, 8, 58, 3, 26)>	Q_Data<(0, 0, 0, 79, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 159, 158, 37, 56, 6, 0, 41, 33, 0, 0, 0, 0, 5, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4605634610990663, y=-0.8831026661333675, z=0.08556983467544275, w=-0.026244671120142928)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02, y=-0.03666666666666667, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.03, z=0.2)>	COMP<186>
[1740780430.5051603]	Q_Header<(2621443, 59022, 257, 173, 250, 8, 58, 4, 27)>	Q_Data<(0, 0, 29, 28, 42, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 128, 173, 192, 59, 75, 15, 0, 29, 22, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.4605634610990663, y=-0.8831026661333675, z=0.08556983467544275, w=-0.026244671120142928)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.02, y=-0.03666666666666667, z=-0.057777777777777775)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.05, y=-0.03, z=0.2)>	COMP<186>
[1740780430.5153677]	Q_Header<(2621443, 59023, 257, 173, 250, 8, 58, 5, 27)>	Q_Data<(0, 0, 77, 80, 60, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 157, 152, 186, 65, 75, 19, 0, 30, 17, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.46173677961846366, y=-0.882457417015697, z=0.0856944399979277, w=-0.026916843332682416)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.035555555555555556, z=-0.06555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.08, z=0.2)>	COMP<194>
[1740780430.5252023]	Q_Header<(2621443, 59024, 257, 173, 250, 8, 58, 6, 23)>	Q_Data<(0, 0, 60, 55, 82, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 162, 103, 143, 67, 59, 18, 0, 32, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.46173677961846366, y=-0.882457417015697, z=0.0856944399979277, w=-0.026916843332682416)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.035555555555555556, z=-0.06555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.08, z=0.2)>	COMP<194>
[1740780430.5353618]	Q_Header<(2621443, 59025, 257, 173, 250, 8, 58, 7, 27)>	Q_Data<(0, 0, 42, 0, 58, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 140, 55, 87, 58, 32, 8, 16, 35, 23, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.46173677961846366, y=-0.882457417015697, z=0.0856944399979277, w=-0.026916843332682416)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.022222222222222223, y=-0.035555555555555556, z=-0.06555555555555556)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.08, z=0.2)>	COMP<194>
[1740780430.545303]	Q_Header<(2621443, 59026, 257, 173, 250, 8, 58, 8, 31)>	Q_Data<(0, 0, 0, 80, 65, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 115, 33, 42, 33, 2, 30, 25, 31, 25, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.46264563641904094, y=-0.8819563913265358, z=0.08581527240173767, w=-0.027343699883341736)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.024444444444444446, y=-0.02666666666666667, z=-0.06777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.1, z=0.21)>	COMP<194>
[1740780430.5552955]	Q_Header<(2621443, 59027, 257, 173, 250, 8, 58, 9, 34)>	Q_Data<(0, 0, 0, 79, 58, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 85, 42, 40, 63, 70, 48, 32, 27, 19, 0, 0, 0, 0, 17, 0, 0, 0, 0, 22, 15, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.46264563641904094, y=-0.8819563913265358, z=0.08581527240173767, w=-0.027343699883341736)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.024444444444444446, y=-0.02666666666666667, z=-0.06777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.1, z=0.21)>	COMP<194>
[1740780430.5653148]	Q_Header<(2621443, 59028, 257, 173, 250, 8, 58, 10, 44)>	Q_Data<(0, 0, 0, 79, 60, 0, 0, 33, 0, 0, 0, 32, 0, 0, 0, 0, 45, 52, 42, 114, 105, 72, 45, 17, 0, 0, 0, 7, 0, 9, 0, 16, 22, 0, 24, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)>	ORIENT<geometry_msgs.msg.Quaternion(x=0.46264563641904094, y=-0.8819563913265358, z=0.08581527240173767, w=-0.027343699883341736)>	ANG_VEL<geometry_msgs.msg.Vector3(x=0.024444444444444446, y=-0.02666666666666667, z=-0.06777777777777778)>	LIN_ACC<geometry_msgs.msg.Vector3(x=0.04, y=-0.1, z=0.21)>	COMP<194>
